experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
lr_0p001_l1_0,50,0.001,0.0,0,foreign,773,194,0.6343720995207808,0.6391752577319587,0.6088709677419355,0.6445252895355225
lr_0p001_l1_0,50,0.001,0.0,0,institution,773,194,0.6882427044087517,0.5412371134020618,0.5397574303611888,0.6954767107963562
lr_0p001_l1_0,50,0.001,0.0,0,retail,773,194,0.6581411479669894,0.5670103092783505,0.5212128334704431,0.7043932676315308
lr_0p001_l1_0,50,0.001,0.0,1,foreign,766,194,0.6363578110388614,0.6804123711340206,0.6787393162393163,0.6201661825180054
lr_0p001_l1_0,50,0.001,0.0,1,institution,766,194,0.6858227277860318,0.5309278350515464,0.5309153713298791,0.6884937286376953
lr_0p001_l1_0,50,0.001,0.0,1,retail,766,194,0.6601870543962982,0.5824742268041238,0.5799631124535565,0.6707830429077148
lr_0p001_l1_0,50,0.001,0.0,2,foreign,766,194,0.6341835490717278,0.654639175257732,0.653525256564041,0.6312490105628967
lr_0p001_l1_0,50,0.001,0.0,2,institution,766,194,0.682286069847585,0.5154639175257731,0.5129273504273505,0.6973296999931335
lr_0p001_l1_0,50,0.001,0.0,2,retail,766,194,0.6649817229873518,0.6288659793814433,0.6269230769230769,0.6584570407867432
lr_0p001_l1_0,50,0.001,0.0,3,foreign,766,194,0.633541950202175,0.6443298969072165,0.6337319068596601,0.6367785334587097
lr_0p001_l1_0,50,0.001,0.0,3,institution,766,194,0.6849929919130808,0.5721649484536082,0.5541464765332964,0.6887363791465759
lr_0p001_l1_0,50,0.001,0.0,3,retail,766,194,0.6652450737380483,0.6494845360824743,0.6430735930735931,0.6569540500640869
lr_0p001_l1_0,50,0.001,0.0,4,foreign,766,194,0.6348602258194209,0.634020618556701,0.6231154403918242,0.6345704197883606
lr_0p001_l1_0,50,0.001,0.0,4,institution,766,194,0.6845530822445145,0.5257731958762887,0.5184025903939558,0.6927639842033386
lr_0p001_l1_0,50,0.001,0.0,4,retail,766,194,0.6539880471503454,0.5051546391752577,0.4831834831834832,0.6997090578079224
lr_0p001_l1_0,50,0.001,0.0,5,foreign,766,194,0.6451523554542979,0.6958762886597938,0.6625092142120006,0.5966066718101501
lr_0p001_l1_0,50,0.001,0.0,5,institution,766,194,0.6786075049218558,0.5051546391752577,0.4913143231727302,0.7211322784423828
lr_0p001_l1_0,50,0.001,0.0,5,retail,766,194,0.6675639191433281,0.6443298969072165,0.6179249322106465,0.6553081274032593
lr_0p001_l1_0,50,0.001,0.0,6,foreign,766,194,0.636384512207838,0.6752577319587629,0.6369738913476104,0.636451780796051
lr_0p001_l1_0,50,0.001,0.0,6,institution,766,194,0.6827144043875114,0.5154639175257731,0.5019119414399651,0.705258846282959
lr_0p001_l1_0,50,0.001,0.0,6,retail,766,194,0.6611445443437243,0.634020618556701,0.5967208315034402,0.6702589988708496
lr_0p001_l1_0,50,0.001,0.0,7,foreign,766,194,0.6340753583932981,0.6443298969072165,0.6408853118712274,0.6264645457267761
lr_0p001_l1_0,50,0.001,0.0,7,institution,766,194,0.682901603590415,0.5154639175257731,0.5051557581678063,0.6960909366607666
lr_0p001_l1_0,50,0.001,0.0,7,retail,766,194,0.6575604650743948,0.5773195876288659,0.570750134916352,0.6765814423561096
lr_0p001_l1_0,50,0.001,0.0,8,foreign,769,197,0.6368114915718803,0.649746192893401,0.6497100889060689,0.6735511422157288
lr_0p001_l1_0,50,0.001,0.0,8,institution,769,197,0.6876851081538108,0.5380710659898477,0.5378805454592324,0.6896993517875671
lr_0p001_l1_0,50,0.001,0.0,8,retail,769,197,0.6611242204400746,0.5583756345177665,0.5579655946148092,0.6892126798629761
lr_0p001_l1_0,50,0.001,0.0,9,foreign,772,194,0.632317474469002,0.6185567010309279,0.6170916462178598,0.6555444002151489
lr_0p001_l1_0,50,0.001,0.0,9,institution,772,194,0.6903898326844131,0.5567010309278351,0.5565124933545986,0.6887196898460388
lr_0p001_l1_0,50,0.001,0.0,9,retail,772,194,0.6598547440736405,0.5360824742268041,0.5358851674641147,0.7074339389801025
lr_0p001_l1_0,50,0.001,0.0,10,foreign,765,194,0.6258940337530149,0.6134020618556701,0.5988088344776243,0.6660986542701721
lr_0p001_l1_0,50,0.001,0.0,10,institution,765,194,0.6847731669743856,0.5463917525773195,0.5393416082029142,0.6907105445861816
lr_0p001_l1_0,50,0.001,0.0,10,retail,765,194,0.6618236604858847,0.5979381443298969,0.5866928875778433,0.6866127252578735
lr_0p001_l1_0,50,0.001,0.0,11,foreign,765,194,0.6270912359742558,0.5979381443298969,0.5958333333333333,0.6564691066741943
lr_0p001_l1_0,50,0.001,0.0,11,institution,765,194,0.6871187513949825,0.6185567010309279,0.5890301156532692,0.6834820508956909
lr_0p001_l1_0,50,0.001,0.0,11,retail,765,194,0.663169360628315,0.6237113402061856,0.6224976675996268,0.6770176291465759
lr_0p001_l1_0,50,0.001,0.0,12,foreign,765,194,0.6285036633217257,0.6082474226804123,0.6061965811965812,0.6543528437614441
lr_0p001_l1_0,50,0.001,0.0,12,institution,765,194,0.6876334254258598,0.5721649484536082,0.5541464765332964,0.6834670305252075
lr_0p001_l1_0,50,0.001,0.0,12,retail,765,194,0.6508939667464861,0.5051546391752577,0.4974635725849973,0.7261739373207092
lr_0p001_l1_0,50,0.001,0.0,13,foreign,765,194,0.6399040299303391,0.634020618556701,0.6202056966388176,0.6101643443107605
lr_0p001_l1_0,50,0.001,0.0,13,institution,765,194,0.6825044899204977,0.5412371134020618,0.5219161013429323,0.7023380994796753
lr_0p001_l1_0,50,0.001,0.0,13,retail,765,194,0.6672509025124943,0.6443298969072165,0.6373045763676267,0.6584409475326538
lr_0p001_l1_0,50,0.001,0.0,14,foreign,765,194,0.6315952723322351,0.6443298969072165,0.6309041277194143,0.64789217710495
lr_0p001_l1_0,50,0.001,0.0,14,institution,765,194,0.6854279352948557,0.5463917525773195,0.5193693693693694,0.6984434127807617
lr_0p001_l1_0,50,0.001,0.0,14,retail,765,194,0.6568065393204783,0.5773195876288659,0.5521396396396396,0.7385549545288086
lr_0p001_l1_0,50,0.001,0.0,15,foreign,765,194,0.6253631586342855,0.6237113402061856,0.6237013418360569,0.66377192735672
lr_0p001_l1_0,50,0.001,0.0,15,institution,765,194,0.6856001263350443,0.5567010309278351,0.5349018733273863,0.6889345049858093
lr_0p001_l1_0,50,0.001,0.0,15,retail,765,194,0.6547006933517705,0.5463917525773195,0.545619078036836,0.7032633423805237
lr_0p001_l1_0,50,0.001,0.0,16,foreign,768,197,0.6143471598625183,0.5939086294416244,0.5882967607105538,0.7299626469612122
lr_0p001_l1_0,50,0.001,0.0,16,institution,768,197,0.6843971610069275,0.5532994923857868,0.5519023986765922,0.7013164162635803
