experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,0,foreign,773,194,0.6912192702293396,0.6288659793814433,0.6087394957983193,0.6910191178321838
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,0,institution,773,194,0.6926458477973938,0.5309278350515464,0.5299161230195713,0.6929645538330078
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,0,retail,773,194,0.6915442943572998,0.5876288659793815,0.5501449275362319,0.6926382780075073
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,1,foreign,766,194,0.6912198662757874,0.654639175257732,0.6497156870671301,0.6906558871269226
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,1,institution,766,194,0.6926537156105042,0.5773195876288659,0.5751068376068376,0.6924130320549011
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,1,retail,766,194,0.691777229309082,0.5773195876288659,0.5744248261102194,0.6917247176170349
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,2,foreign,766,194,0.6912112832069397,0.6288659793814433,0.6278772378516624,0.6908465623855591
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,2,institution,766,194,0.6925479769706726,0.5360824742268041,0.5356382978723404,0.6929013133049011
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,2,retail,766,194,0.6918556690216064,0.6134020618556701,0.6110769559755153,0.6914204359054565
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,3,foreign,766,194,0.6912049651145935,0.6649484536082474,0.6592904812082894,0.6905497312545776
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,3,institution,766,194,0.6925962567329407,0.5670103092783505,0.554900032776139,0.6926483511924744
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,3,retail,766,194,0.6919147968292236,0.6597938144329897,0.650278597181252,0.6914101839065552
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,4,foreign,766,194,0.6912046074867249,0.6237113402061856,0.616278754707779,0.6905645132064819
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,4,institution,766,194,0.6926814317703247,0.5979381443298969,0.5963938973647711,0.6923273801803589
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,4,retail,766,194,0.6916376352310181,0.5257731958762887,0.4920309653916211,0.6924663186073303
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,5,foreign,766,194,0.6915141940116882,0.6855670103092784,0.6580855797289878,0.6886764764785767
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,5,institution,766,194,0.6924358010292053,0.520618556701031,0.5149348030649281,0.6933143734931946
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,5,retail,766,194,0.6919460892677307,0.5824742268041238,0.5775238607339697,0.6916184425354004
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,6,foreign,766,194,0.6911919116973877,0.6649484536082474,0.6356649620062986,0.6910575032234192
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,6,institution,766,194,0.6925719976425171,0.5103092783505154,0.4938342808491939,0.6930962204933167
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,6,retail,766,194,0.6917464733123779,0.6030927835051546,0.5710799092657994,0.6918660402297974
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,7,foreign,766,194,0.6912221312522888,0.6288659793814433,0.6209703679583198,0.690571129322052
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,7,institution,766,194,0.6925352215766907,0.5154639175257731,0.5066017316017316,0.6928219199180603
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,7,retail,766,194,0.6916955709457397,0.5824742268041238,0.5799631124535565,0.6917262077331543
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,8,foreign,769,197,0.6909533739089966,0.6040609137055838,0.5995100083402836,0.691457986831665
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,8,institution,769,197,0.6925867199897766,0.5279187817258884,0.5181854043392505,0.6924455761909485
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,8,retail,769,197,0.6916699409484863,0.5888324873096447,0.5888324873096447,0.6913974285125732
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,9,foreign,772,194,0.6910225749015808,0.6082474226804123,0.6082057823129252,0.6917121410369873
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,9,institution,772,194,0.6927385926246643,0.5979381443298969,0.5905844155844155,0.6921495795249939
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,9,retail,772,194,0.6915774941444397,0.5309278350515464,0.5294149007063842,0.6928624510765076
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,10,foreign,765,194,0.6909982562065125,0.6082474226804123,0.6031438415159345,0.6923797726631165
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,10,institution,765,194,0.6926010847091675,0.5309278350515464,0.5263849765258216,0.6931191682815552
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,10,retail,765,194,0.6916678547859192,0.5721649484536082,0.5680214621059692,0.6924993991851807
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,11,foreign,765,194,0.6911165714263916,0.6649484536082474,0.6649395509499136,0.6912192106246948
