experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_18_bs_2048_lr_0p0006_l1_0p01,18,2048,0.0006,0.01,foreign,0.6248387903314901,0.0261234696445236,0.613585345320453,0.028981600757163113,0.6834681961271498,0.00529868468266293,1.0,1.0
ep_18_bs_2048_lr_0p0005_l1_0p01,18,2048,0.0005,0.01,foreign,0.6242800076752665,0.027768367177588835,0.6131996539244537,0.030916853816673653,0.6849172128571405,0.0045092612365791335,2.0,2.0
ep_15_bs_2048_lr_0p0006_l1_0p01,15,2048,0.0006,0.01,foreign,0.6235927224518988,0.02830724386433772,0.6123835432593236,0.031506090391678544,0.6849257138040331,0.00451767698817427,3.0,3.0
ep_18_bs_2048_lr_0p0004_l1_0p01,18,2048,0.0004,0.01,foreign,0.6233636273774429,0.028277517798470903,0.6120775040822545,0.030959604745808545,0.686438508828481,0.0036936889776602007,4.0,5.0
ep_12_bs_2048_lr_0p0006_l1_0p01,12,2048,0.0006,0.01,foreign,0.6232473354614754,0.028227952789371,0.6120732390602541,0.03128620950116613,0.6864440719286601,0.003704809603294608,5.0,6.0
ep_15_bs_2048_lr_0p0004_l1_0p01,15,2048,0.0004,0.01,foreign,0.6229002040923125,0.026875226116361475,0.6117353489877273,0.030185544660175298,0.6874869916174147,0.0031400864206763634,6.0,7.0
ep_12_bs_2048_lr_0p0005_l1_0p01,12,2048,0.0005,0.01,foreign,0.6227926340700426,0.027707270788431933,0.6116161885689592,0.030609749894229234,0.6874917162789239,0.003141862387585086,7.0,8.0
ep_15_bs_2048_lr_0p0005_l1_0p01,15,2048,0.0005,0.01,foreign,0.6226763421540752,0.027642289265817268,0.6114872322974886,0.03051299969770861,0.6861821360058254,0.0038385150373821397,8.0,4.0
ep_10_bs_2048_lr_0p0006_l1_0p01,10,2048,0.0006,0.01,foreign,0.6222216407626424,0.02821350799714266,0.6110759765686421,0.03098836548314124,0.687495395872328,0.003140670092799723,9.0,9.0
ep_12_bs_2048_lr_0p0004_l1_0p01,12,2048,0.0004,0.01,foreign,0.6219960344456655,0.028883707592213766,0.6109273298096096,0.03172788921248642,0.6885618090629577,0.0025625929786180788,10.0,11.0
ep_10_bs_2048_lr_0p0005_l1_0p01,10,2048,0.0005,0.01,foreign,0.6214267855170047,0.02871002229398913,0.6102550003135769,0.03127790136164532,0.6883872853385078,0.002657943865465876,11.0,10.0
ep_5_bs_2048_lr_0p0006_l1_0p01,5,2048,0.0006,0.01,foreign,0.6213209598734745,0.030413982630020313,0.6106757866484729,0.032174748736961634,0.6902282661861844,0.0016587330342228692,12.0,16.0
ep_8_bs_2048_lr_0p0006_l1_0p01,8,2048,0.0006,0.01,foreign,0.6210883760415394,0.029594035273557445,0.6098944222304646,0.032238135789631264,0.6885690238740709,0.0025622442856522917,13.0,12.0
ep_10_bs_2048_lr_0p0004_l1_0p01,10,2048,0.0004,0.01,foreign,0.6208627697245627,0.030505218855228687,0.6097903688633223,0.03323240354896686,0.689295154147678,0.002160565998147714,14.0,13.0
ep_8_bs_2048_lr_0p0005_l1_0p01,8,2048,0.0005,0.01,foreign,0.6206406521650648,0.03188029602389689,0.609496384023093,0.03438512393460254,0.689297554228041,0.0021616322040690786,15.0,14.0
ep_5_bs_2048_lr_0p0005_l1_0p01,5,2048,0.0005,0.01,foreign,0.6205226158703577,0.03071442036043694,0.6099271672972691,0.03234472119884766,0.6907015085220337,0.0013932299374793983,16.0,17.0
ep_8_bs_2048_lr_0p0004_l1_0p01,8,2048,0.0004,0.01,foreign,0.6204080683331299,0.030936301794655254,0.609318606529156,0.03326586606779913,0.6900399698151483,0.00175169426671763,17.0,15.0
ep_5_bs_2048_lr_0p0004_l1_0p01,5,2048,0.0004,0.01,foreign,0.619946389426739,0.02974324622975298,0.6093952114401189,0.031472383174493225,0.6911795814832051,0.001123657587656073,18.0,18.0
