experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,0,foreign,773,194,0.6882222294807434,0.6185567010309279,0.5890301156532692,0.6884983777999878
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,0,institution,773,194,0.691903293132782,0.5360824742268041,0.5329052969502408,0.6927312612533569
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,0,retail,773,194,0.6890757083892822,0.5876288659793815,0.5501449275362319,0.6921504735946655
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,1,foreign,766,194,0.6882641315460205,0.6443298969072165,0.6415776367579725,0.6875659227371216
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,1,institution,766,194,0.691924512386322,0.5824742268041238,0.5792433127158808,0.6915443539619446
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,1,retail,766,194,0.6896855235099792,0.5876288659793815,0.584804708400214,0.6900511980056763
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,2,foreign,766,194,0.6882196664810181,0.6288659793814433,0.6278772378516624,0.688069760799408
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,2,institution,766,194,0.6916572451591492,0.5412371134020618,0.5406390507356267,0.6926708221435547
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,2,retail,766,194,0.689889669418335,0.6134020618556701,0.6110769559755153,0.6893560886383057
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,3,foreign,766,194,0.6882148385047913,0.6701030927835051,0.664069264069264,0.6874657273292542
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,3,institution,766,194,0.6917952299118042,0.5670103092783505,0.5577987626180397,0.6920862793922424
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,3,retail,766,194,0.6900462508201599,0.6597938144329897,0.650278597181252,0.6894068717956543
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,4,foreign,766,194,0.6882097721099854,0.6237113402061856,0.616278754707779,0.6874986886978149
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,4,institution,766,194,0.6919920444488525,0.5876288659793815,0.5831990546782684,0.691493570804596
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,4,retail,766,194,0.6893295645713806,0.5257731958762887,0.4948488622212159,0.6917619705200195
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,5,foreign,766,194,0.688969612121582,0.6907216494845361,0.6705536057964452,0.6834381818771362
