experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_35_bs_2048_lr_0p00125_l1_0p01,35,2048,0.00125,0.01,foreign,0.6301981032788505,0.030349348221654894,0.6174405516772665,0.03519179323549161,0.6651344524489509,0.015530735520306432,1.0,1.0
ep_25_bs_2048_lr_0p00125_l1_0p01,25,2048,0.00125,0.01,foreign,0.6294137143056501,0.02913396373570296,0.6173257392495691,0.032816725051967074,0.6704888224601746,0.012520253703074177,2.0,4.0
ep_20_bs_2048_lr_0p00125_l1_0p01,20,2048,0.00125,0.01,foreign,0.6290630941790081,0.02789160329450079,0.6172239227260335,0.031171217288026278,0.6738109800550672,0.010684340475610574,3.0,7.0
ep_35_bs_2048_lr_0p001_l1_0p01,35,2048,0.001,0.01,foreign,0.6289502910205198,0.030867769375421177,0.6165606313587338,0.03450341331814059,0.6688854932785034,0.013270041034444848,4.0,3.0
ep_25_bs_2048_lr_0p001_l1_0p01,25,2048,0.001,0.01,foreign,0.6289485466417802,0.027985533959206336,0.6171036795695676,0.03114697744492995,0.6739061037699382,0.010595339476764077,5.0,8.0
ep_30_bs_2048_lr_0p001_l1_0p01,30,2048,0.001,0.01,foreign,0.6288427209982498,0.02980136956948257,0.6167607650523582,0.033361137087763094,0.6712536017100016,0.012012608054936705,6.0,5.0
ep_30_bs_2048_lr_0p00125_l1_0p01,30,2048,0.00125,0.01,foreign,0.6288374878620313,0.03108490863929437,0.6162449112797979,0.0354364160827719,0.6676210867034065,0.014113021426001885,7.0,2.0
ep_30_bs_2048_lr_0p00075_l1_0p01,30,2048,0.00075,0.01,foreign,0.6288339991045522,0.028226229313277673,0.6170360882494654,0.03143398344944816,0.6754584855503506,0.00970214654492349,8.0,9.0
ep_20_bs_2048_lr_0p001_l1_0p01,20,2048,0.001,0.01,foreign,0.6286083927875753,0.028079902736619526,0.6170692729308406,0.031067921202510562,0.6769038637479147,0.008947931346387425,9.0,10.0
ep_25_bs_2048_lr_0p00075_l1_0p01,25,2048,0.00075,0.01,foreign,0.6286031596513568,0.026805115805421168,0.6169113259552826,0.029721263300603835,0.6777688251601325,0.008449021224001641,10.0,12.0
ep_15_bs_2048_lr_0p00125_l1_0p01,15,2048,0.00125,0.01,foreign,0.6284903564928684,0.027369452032396383,0.6170275217675507,0.030343679047477767,0.6776508066389296,0.00851166710159826,11.0,11.0
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,foreign,0.6284886121141289,0.026877700821625945,0.6167505317976558,0.0297066787384507,0.6786811153093973,0.007898350513665877,12.0,13.0
ep_20_bs_2048_lr_0p00075_l1_0p01,20,2048,0.00075,0.01,foreign,0.6284816345991708,0.026179143334766966,0.6170223653744547,0.028943858467845945,0.6803028027216593,0.007042107066578785,13.0,15.0
ep_30_bs_2048_lr_0p0005_l1_0p01,30,2048,0.0005,0.01,foreign,0.6281432251237055,0.026537141243464506,0.6166399911534026,0.029352693935203664,0.6803768846723769,0.007001021864493959,14.0,16.0
ep_15_bs_2048_lr_0p001_l1_0p01,15,2048,0.001,0.01,foreign,0.6281397363662264,0.026633584159482932,0.6167348936600434,0.02966483082101844,0.6802708956930372,0.007055545940507602,15.0,14.0
ep_35_bs_2048_lr_0p00075_l1_0p01,35,2048,0.00075,0.01,foreign,0.6279245963216866,0.028300540701341727,0.6158074123945171,0.0319715999074314,0.6733501301871405,0.010796638847503117,16.0,6.0
ep_25_bs_2048_lr_0p0005_l1_0p01,25,2048,0.0005,0.01,foreign,0.6273466254993284,0.026144820751386823,0.6159651829676984,0.028940106570441194,0.6821826577186585,0.006017458269950436,17.0,17.0
ep_35_bs_2048_lr_0p0003_l1_0p01,35,2048,0.0003,0.01,foreign,0.6263226751792349,0.026440466117105977,0.6149774447596461,0.029180586725175525,0.6837595012452867,0.0051417133082984606,18.0,19.0
ep_30_bs_2048_lr_0p0003_l1_0p01,30,2048,0.0003,0.01,foreign,0.6251841773219134,0.02618557943849276,0.613966437736934,0.029121672679270683,0.6849450733926561,0.004489534271295576,19.0,21.0
ep_20_bs_2048_lr_0p0005_l1_0p01,20,2048,0.0005,0.01,foreign,0.6245021252347643,0.02658252325688165,0.6132212983128427,0.029675872536155896,0.6841065009435018,0.004947362674128871,20.0,20.0
ep_15_bs_2048_lr_0p00075_l1_0p01,15,2048,0.00075,0.01,foreign,0.6244951477198062,0.02631319944210038,0.6132807422875057,0.029508803142915117,0.6831043481826782,0.00549834667674369,21.0,18.0
ep_25_bs_2048_lr_0p0003_l1_0p01,25,2048,0.0003,0.01,foreign,0.6240509126008106,0.02832867395307995,0.6129061833910607,0.03116691562867111,0.68618799050649,0.003819819641607612,22.0,23.0
ep_20_bs_2048_lr_0p0003_l1_0p01,20,2048,0.0003,0.01,foreign,0.6235892336944198,0.02760701264252371,0.6122625536011684,0.030471489608436465,0.6874872737460667,0.0031313147767758694,23.0,24.0
ep_15_bs_2048_lr_0p0005_l1_0p01,15,2048,0.0005,0.01,foreign,0.6226763421540752,0.027642289265817268,0.6114872322974886,0.03051299969770861,0.6861821360058254,0.0038385150373821397,24.0,22.0
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,foreign,0.621994290066926,0.02903249581795978,0.6109400498301308,0.031907535823588955,0.6888324459393819,0.00241213821846859,25.0,25.0
ep_15_bs_2048_lr_0p0005_l1_0p01,15,2048,0.0005,0.01,institution,0.5456684168600019,0.032360814694318854,0.53556686452348,0.03491625808122243,0.6923019210497539,0.0015612984071152558,1.0,11.0
ep_20_bs_2048_lr_0p0003_l1_0p01,20,2048,0.0003,0.01,institution,0.5447572696983969,0.034129288793060375,0.5347328157283565,0.036765009813837374,0.6924074358410306,0.0012389662763478226,2.0,15.0
ep_25_bs_2048_lr_0p0003_l1_0p01,25,2048,0.0003,0.01,institution,0.5447555253196573,0.03408040702159546,0.534635542948615,0.03654584318827923,0.6923117889298334,0.001545391406123897,3.0,13.0
ep_15_bs_2048_lr_0p0003_l1_0p01,15,2048,0.0003,0.01,institution,0.544292102034527,0.03371806301630005,0.5342494181096378,0.036276495555578374,0.6925359792179532,0.0009227682346346103,4.0,17.0
ep_30_bs_2048_lr_0p0003_l1_0p01,30,2048,0.0003,0.01,institution,0.5438426337793127,0.03375192401851517,0.5334312742785905,0.03611012396072171,0.6922441667980618,0.0018536866723874311,5.0,9.0
ep_20_bs_2048_lr_0p0005_l1_0p01,20,2048,0.0005,0.01,institution,0.5432698960931731,0.034085730304523845,0.5327610166549195,0.036541149295545645,0.692202729649014,0.0020920529647902057,6.0,7.0
ep_25_bs_2048_lr_0p0005_l1_0p01,25,2048,0.0005,0.01,institution,0.5430512672911543,0.032373825199474376,0.5324558516542475,0.03445392957632198,0.6921617984771729,0.0026111854263515997,7.0,1.0
ep_15_bs_2048_lr_0p00075_l1_0p01,15,2048,0.00075,0.01,institution,0.5429297422389682,0.03465691303534014,0.5324487870099927,0.036898315595595185,0.6921752519077725,0.002373337678087752,8.0,3.0
ep_35_bs_2048_lr_0p0003_l1_0p01,35,2048,0.0003,0.01,institution,0.5424663189538379,0.032973626356184005,0.5318750382539879,0.03518459740911696,0.6921957227918837,0.0021556829307849794,9.0,6.0
ep_20_bs_2048_lr_0p00075_l1_0p01,20,2048,0.00075,0.01,institution,0.5423674708252656,0.03219880997230628,0.5316410383188257,0.03385866729918994,0.6921668860647413,0.0031638000774453505,10.0,2.0
ep_30_bs_2048_lr_0p0005_l1_0p01,30,2048,0.0005,0.01,institution,0.5420360388647583,0.03502843768256105,0.5311953065252866,0.03613336330396737,0.6921758148405287,0.0031123368657038006,11.0,4.0
ep_20_bs_2048_lr_0p00125_l1_0p01,20,2048,0.00125,0.01,institution,0.5419337019787069,0.039090441794122216,0.5310508416268023,0.039258596042121945,0.6926910532845392,0.005290247109193006,12.0,19.0
ep_30_bs_2048_lr_0p00075_l1_0p01,30,2048,0.00075,0.01,institution,0.5419319575999674,0.03901104603866733,0.5310561612524592,0.03896657112524668,0.6924966282314724,0.0046218908480859695,13.0,16.0
ep_25_bs_2048_lr_0p00075_l1_0p01,25,2048,0.00075,0.01,institution,0.541812176926521,0.03570883726156861,0.5309086832230508,0.03633599350724946,0.6922782023747762,0.003912395998010902,14.0,10.0
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,institution,0.541694140631814,0.036358376717022044,0.5307404482948685,0.0372121305277841,0.6922359943389893,0.0035766488240574048,15.0,8.0
ep_15_bs_2048_lr_0p001_l1_0p01,15,2048,0.001,0.01,institution,0.5415673824434094,0.032844559741903166,0.5308796790884528,0.034526764254074645,0.6921836137771606,0.003202989206051922,16.0,5.0
ep_15_bs_2048_lr_0p00125_l1_0p01,15,2048,0.00125,0.01,institution,0.5414720230723161,0.03658721751244863,0.5306460270648424,0.03749573370958842,0.6923042244381374,0.004044663649140944,17.0,12.0
ep_25_bs_2048_lr_0p001_l1_0p01,25,2048,0.001,0.01,institution,0.5412533942702973,0.0393067598252114,0.5305183441616284,0.03922025184249681,0.6926773813035753,0.005175746871907706,18.0,18.0
ep_20_bs_2048_lr_0p001_l1_0p01,20,2048,0.001,0.01,institution,0.5407847378489484,0.03613419567519164,0.5298803803181575,0.03674708016357293,0.6923487080468071,0.004246030990313459,19.0,14.0
ep_35_bs_2048_lr_0p00075_l1_0p01,35,2048,0.00075,0.01,institution,0.5395508806205337,0.03953114306486248,0.5286515895523408,0.03926887185295471,0.6927385714319018,0.005241444635744419,20.0,20.0
