experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,0,foreign,773,194,0.622352368310383,0.6237113402061856,0.5793506994980248,0.6500130295753479
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,0,institution,773,194,0.6856791673163085,0.5154639175257731,0.489187675070028,0.698340117931366
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,0,retail,773,194,0.6554094034826616,0.5721649484536082,0.5252248267728143,0.6899536848068237
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,1,foreign,766,194,0.6280474941350772,0.6701030927835051,0.6665592437426147,0.6117128133773804
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,1,institution,766,194,0.6857277221841538,0.5360824742268041,0.5360824742268041,0.6892458200454712
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,1,retail,766,194,0.6565772399267391,0.5773195876288659,0.5718130921619293,0.6756017804145813
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,2,foreign,766,194,0.6246293011284373,0.6597938144329897,0.6596491228070176,0.6287439465522766
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,2,institution,766,194,0.6820015392166516,0.5103092783505154,0.5055667337357478,0.7004575729370117
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,2,retail,766,194,0.6621868235324132,0.6185567010309279,0.6179069519855211,0.6596749424934387
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,3,foreign,766,194,0.6242087169042144,0.6391752577319587,0.6196078431372549,0.630208432674408
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,3,institution,766,194,0.6849556014369735,0.5670103092783505,0.5457181088314005,0.6888206005096436
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,3,retail,766,194,0.663301542595846,0.6494845360824743,0.6396809789140172,0.6541811227798462
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,4,foreign,766,194,0.6251963716262937,0.6443298969072165,0.6259535585547824,0.6304954290390015
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,4,institution,766,194,0.684504035714401,0.520618556701031,0.5125233038826295,0.6988179087638855
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,4,retail,766,194,0.6504039706822786,0.5360824742268041,0.5058304086946677,0.7086607813835144
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,5,foreign,766,194,0.6384684975713725,0.6855670103092784,0.6458052737122505,0.5909504294395447
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,5,institution,766,194,0.6782344052125517,0.5,0.4811260925910607,0.7297003269195557
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,5,retail,766,194,0.6643498404530259,0.5979381443298969,0.5717196875353787,0.6651591062545776
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,6,foreign,766,194,0.6283332862679704,0.6494845360824743,0.6096117424242424,0.6336167454719543
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,6,institution,766,194,0.6820671494573588,0.5154639175257731,0.4981838194826637,0.7146260142326355
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,6,retail,766,194,0.6583326955376966,0.5979381443298969,0.5453125,0.6715188026428223
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,7,foreign,766,194,0.625246102131378,0.6237113402061856,0.6183469426253807,0.6212016940116882
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,7,institution,766,194,0.6829481389441627,0.4948453608247423,0.4824695121951219,0.6986055374145508
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,7,retail,766,194,0.6526737445017066,0.5567010309278351,0.5390141467727675,0.6933588981628418
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,8,foreign,769,197,0.6180570767356763,0.6294416243654822,0.6294034273933771,0.6940521597862244
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,8,institution,769,197,0.6838040831650187,0.5329949238578681,0.5329828901257473,0.7067512273788452
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,8,retail,769,197,0.6502628832939232,0.5685279187817259,0.5678152019615434,0.7462436556816101
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,9,foreign,772,194,0.6182903489918289,0.6237113402061856,0.622899747037678,0.6587751507759094
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,9,institution,772,194,0.6881463178698881,0.5567010309278351,0.5519389837791384,0.6809670329093933
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,9,retail,772,194,0.6552864232829197,0.5412371134020618,0.5411273819331863,0.6901811957359314
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,10,foreign,765,194,0.6149464417127223,0.6237113402061856,0.609507265558221,0.671174168586731
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,10,institution,765,194,0.6847647758870343,0.5412371134020618,0.5346969574473819,0.6906622052192688
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,10,retail,765,194,0.6608439049689598,0.5824742268041238,0.5729311047696697,0.6776509881019592
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,11,foreign,765,194,0.615630458772572,0.5927835051546392,0.5896323667228961,0.6641628742218018
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,11,institution,765,194,0.6873541707306906,0.5979381443298969,0.5693306010928961,0.6829531788825989
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,11,retail,765,194,0.6625547159730999,0.6185567010309279,0.6170916462178598,0.6673119068145752
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,12,foreign,765,194,0.6170517554470137,0.6185567010309279,0.615944355270198,0.662120521068573
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,12,institution,765,194,0.6876053244459863,0.5670103092783505,0.5497347480106101,0.6836236119270325
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,12,retail,765,194,0.6493569660030939,0.4948453608247423,0.4882644272179156,0.7251399755477905
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,13,foreign,765,194,0.6318895857318554,0.6701030927835051,0.6538804638715432,0.6087976098060608
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,13,institution,765,194,0.6821624024241578,0.5412371134020618,0.5197886246697261,0.7070224285125732
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,13,retail,765,194,0.665327657983194,0.6185567010309279,0.6170916462178598,0.6646748185157776
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,14,foreign,765,194,0.6230082492423213,0.6494845360824743,0.6286036036036036,0.6381995677947998
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,14,institution,765,194,0.685241699764152,0.5515463917525774,0.515376001378241,0.7000137567520142
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,14,retail,765,194,0.6562207152640898,0.5721649484536082,0.5430112104441607,0.7271091341972351
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,15,foreign,765,194,0.6141629477731543,0.6030927835051546,0.6030822372791285,0.6753357648849487
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,15,institution,765,194,0.6856519660139395,0.5515463917525774,0.5260453230743309,0.6887941360473633
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,15,retail,765,194,0.6526350597150965,0.5360824742268041,0.534846547314578,0.6941167116165161
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,16,foreign,768,197,0.6045135110616684,0.6040609137055838,0.5964810924369748,0.7633571028709412
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,16,institution,768,197,0.6842096348603567,0.5431472081218274,0.5417183622828784,0.7092294692993164
