experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_100_bs_256_lr_0p001_l1_0,100,256,0.001,0.0,foreign,0.6379210494182497,0.029823728101832026,0.62203865967559,0.03774908265357233,0.6497960209846496,0.03677358730422535,1.0,2.0
ep_100_bs_2048_lr_0p001_l1_0,100,2048,0.001,0.0,foreign,0.635904547595374,0.03190632866320008,0.6213448925143248,0.04039905156280378,0.6510894166098701,0.02447481985337252,2.0,3.0
ep_100_bs_512_lr_0p001_l1_0,100,512,0.001,0.0,foreign,0.6346270808984713,0.030008654252544783,0.6187646056171915,0.03895176552113906,0.6493088192409939,0.03319276064507735,3.0,1.0
ep_100_bs_128_lr_0p001_l1_0,100,128,0.001,0.0,foreign,0.6345974264598997,0.031411737404961705,0.6179858519628215,0.038736669624356485,0.6512177851465013,0.038900351941689386,4.0,4.0
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,foreign,0.6323186863665172,0.03033833968217282,0.6156740559345356,0.03733900143384705,0.651980906062656,0.03869472636113,5.0,5.0
ep_100_bs_2048_lr_0p001_l1_0,100,2048,0.001,0.0,institution,0.5356492868398254,0.031925270151342076,0.5241527642043232,0.031123992198972016,0.6996354593171014,0.013344150661827656,1.0,1.0
ep_100_bs_512_lr_0p001_l1_0,100,512,0.001,0.0,institution,0.5352882004407463,0.03241683680307106,0.5238337394291341,0.03206741629695664,0.701765255133311,0.015418097163408194,2.0,2.0
ep_100_bs_128_lr_0p001_l1_0,100,128,0.001,0.0,institution,0.5318604962176054,0.030715019949216257,0.5194907701141814,0.03189921204961285,0.7031033992767334,0.01694618421552814,3.0,4.0
ep_100_bs_256_lr_0p001_l1_0,100,256,0.001,0.0,institution,0.531636634279368,0.03213561293771033,0.5197543617443268,0.0327941619223142,0.7019426186879476,0.01621864511389921,4.0,3.0
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,institution,0.5311784441304562,0.032923419638040366,0.5191643467581871,0.033421178263973,0.7038842187987433,0.017427329974319866,5.0,5.0
ep_100_bs_512_lr_0p001_l1_0,100,512,0.001,0.0,retail,0.5917886278135376,0.04968561656633621,0.5764259490115795,0.05327887516329281,0.6818434900707668,0.02977026794641128,1.0,2.0
ep_100_bs_2048_lr_0p001_l1_0,100,2048,0.001,0.0,retail,0.5909867950529418,0.051363238952587355,0.5752056298454641,0.05487802065822228,0.6792589081658258,0.0242507245006354,2.0,1.0
ep_100_bs_128_lr_0p001_l1_0,100,128,0.001,0.0,retail,0.5897442159308296,0.048396318462283684,0.5752199913974633,0.05181005514671281,0.6851552565892537,0.03320665298791715,3.0,4.0
ep_100_bs_256_lr_0p001_l1_0,100,256,0.001,0.0,retail,0.589617457742425,0.04882567368761999,0.5749627393411427,0.05288674865020369,0.6828892019059923,0.03081109190209904,4.0,3.0
ep_100_bs_64_lr_0p001_l1_0,100,64,0.001,0.0,retail,0.5883713898628338,0.04757620782570097,0.574178636245094,0.05042840231815339,0.6863134172227647,0.03442974517768177,5.0,5.0
