experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_100_lr_0p001_l1_0,100,0.001,0.0,0,foreign,773,194,0.6290635459635884,0.634020618556701,0.5967208315034402,0.6430850625038147
ep_100_lr_0p001_l1_0,100,0.001,0.0,0,institution,773,194,0.6867284437046323,0.5154639175257731,0.4916369313113291,0.6954957842826843
ep_100_lr_0p001_l1_0,100,0.001,0.0,0,retail,773,194,0.6565349708861861,0.5618556701030928,0.5137844611528821,0.6941900253295898
ep_100_lr_0p001_l1_0,100,0.001,0.0,1,foreign,766,194,0.6301249410402682,0.6701030927835051,0.6672384219554031,0.6125614643096924
ep_100_lr_0p001_l1_0,100,0.001,0.0,1,institution,766,194,0.6855879061838355,0.5360824742268041,0.5360824742268041,0.689056396484375
ep_100_lr_0p001_l1_0,100,0.001,0.0,1,retail,766,194,0.6572813279634979,0.5824742268041238,0.5792433127158808,0.6732815504074097
ep_100_lr_0p001_l1_0,100,0.001,0.0,2,foreign,766,194,0.6272154837924568,0.6494845360824743,0.6485507246376812,0.6269011497497559
ep_100_lr_0p001_l1_0,100,0.001,0.0,2,institution,766,194,0.6819123795387327,0.520618556701031,0.5169089886737891,0.6995877027511597
ep_100_lr_0p001_l1_0,100,0.001,0.0,2,retail,766,194,0.6626860091642673,0.6237113402061856,0.6224976675996268,0.6585842967033386
ep_100_lr_0p001_l1_0,100,0.001,0.0,3,foreign,766,194,0.6266090911922505,0.6597938144329897,0.6462201591511936,0.6308326721191406
ep_100_lr_0p001_l1_0,100,0.001,0.0,3,institution,766,194,0.6847878554471167,0.5670103092783505,0.5457181088314005,0.6889102458953857
ep_100_lr_0p001_l1_0,100,0.001,0.0,3,retail,766,194,0.6635563887130498,0.6391752577319587,0.6314989688483664,0.6549561619758606
ep_100_lr_0p001_l1_0,100,0.001,0.0,4,foreign,766,194,0.6278644596316485,0.634020618556701,0.6186072269140246,0.6300027370452881
ep_100_lr_0p001_l1_0,100,0.001,0.0,4,institution,766,194,0.6842009932503065,0.520618556701031,0.5137844611528821,0.6972939372062683
