experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_100_lr_0p001_l1_0,100,0.001,0.0,foreign,0.6379210494182497,0.029823728101832026,0.62203865967559,0.03774908265357233,0.6497960209846496,0.03677358730422535,1.0,3.0
ep_100_lr_0p001_l1_0p0001,100,0.001,0.0001,foreign,0.6378065018810217,0.029421021789218328,0.6219258052659931,0.03741137675002636,0.6497946858406067,0.03675874176190182,2.0,2.0
ep_100_lr_0p001_l1_0p001,100,0.001,0.001,foreign,0.6374628592693379,0.028978525667941832,0.6215932577870169,0.03689426778671297,0.6497869253158569,0.03663024228873092,3.0,1.0
ep_100_lr_0p001_l1_0p003,100,0.001,0.003,foreign,0.6373500561108495,0.0296750234566658,0.6215506842055708,0.0374861317000321,0.6498070822821723,0.03636731721247124,4.0,4.0
ep_100_lr_0p001_l1_0p01,100,0.001,0.01,foreign,0.6352847116832674,0.028854881835859728,0.6190894120730909,0.03682159885382351,0.6501491758558485,0.03538903598190858,5.0,5.0
ep_100_lr_0p001_l1_0p0001,100,0.001,0.0001,institution,0.531636634279368,0.03221409019218008,0.5197612575857995,0.03289093302997189,0.7019144336382548,0.01618607121405799,1.0,4.0
ep_100_lr_0p001_l1_0,100,0.001,0.0,institution,0.531636634279368,0.03213561293771033,0.5197543617443268,0.0327941619223142,0.7019426186879476,0.01621864511389921,1.0,5.0
ep_100_lr_0p001_l1_0p001,100,0.001,0.001,institution,0.5315220867421401,0.032587297948151524,0.5198102886535838,0.03296409033994448,0.7016639868418376,0.015894679501436984,3.0,3.0
ep_100_lr_0p001_l1_0p003,100,0.001,0.003,institution,0.5299166768422093,0.03138637135623675,0.518351586947439,0.032077535657333754,0.7011351320478652,0.015252186046023419,4.0,2.0
ep_100_lr_0p001_l1_0p01,100,0.001,0.01,institution,0.5257981986382216,0.0317985743239379,0.5134885576488376,0.032955865431501065,0.6998302300771078,0.013092947481278464,5.0,1.0
ep_100_lr_0p001_l1_0p01,100,0.001,0.01,retail,0.5921340148039609,0.047700142090795344,0.5770777734205677,0.052746577861533694,0.6802675724029541,0.026764659004092424,1.0,1.0
ep_100_lr_0p001_l1_0p003,100,0.001,0.003,retail,0.5911065757263884,0.048451363969220985,0.5763849319496394,0.0527318743559422,0.6819668319490221,0.029576863690771407,2.0,2.0
ep_100_lr_0p001_l1_0p001,100,0.001,0.001,retail,0.5904175461242812,0.04828024137456851,0.5757387485876554,0.05261733704840446,0.6825607922342088,0.030376513063889533,3.0,3.0
ep_100_lr_0p001_l1_0p0001,100,0.001,0.0001,retail,0.5899611003541089,0.04861797874788704,0.5752967567933831,0.05280061519122286,0.6828554034233093,0.030766590800408274,4.0,4.0
ep_100_lr_0p001_l1_0,100,0.001,0.0,retail,0.589617457742425,0.04882567368761999,0.5749627393411427,0.05288674865020369,0.6828892019059923,0.03081109190209904,5.0,5.0
