experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,0,foreign,773,194,0.6744607932971644,0.6134020618556701,0.5796134176995753,0.6753672957420349
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,0,institution,773,194,0.6898216944462577,0.5257731958762887,0.5232905982905983,0.6930723786354065
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,0,retail,773,194,0.6784119332283928,0.5515463917525774,0.4986782309086048,0.6923485398292542
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,1,foreign,766,194,0.6752195292913571,0.6597938144329897,0.6568396226415094,0.6710719466209412
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,1,institution,766,194,0.689942402254508,0.5412371134020618,0.5412249236083433,0.6892552971839905
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,1,retail,766,194,0.6808854232568965,0.5773195876288659,0.5718130921619293,0.682525634765625
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,2,foreign,766,194,0.674511386893748,0.634020618556701,0.6332312608174677,0.6730125546455383
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,2,institution,766,194,0.6886500773790922,0.5360824742268041,0.534846547314578,0.6924527883529663
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,2,retail,766,194,0.6817865359254045,0.6185567010309279,0.6165598290598291,0.6785880923271179
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,3,foreign,766,194,0.6750840060704681,0.6649484536082474,0.6561690524880709,0.6717738509178162
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,3,institution,766,194,0.689475312401047,0.5773195876288659,0.5639254385964912,0.6906290054321289
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,3,retail,766,194,0.6819848482042318,0.6597938144329897,0.6514590592334495,0.6788619756698608
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,4,foreign,766,194,0.675072281074275,0.6237113402061856,0.6173570019723866,0.6732551455497742
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,4,institution,766,194,0.6895060928309866,0.5618556701030928,0.5544567831185323,0.6890588998794556
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,4,retail,766,194,0.6791691501520322,0.5257731958762887,0.5000560224089636,0.6892304420471191
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,5,foreign,766,194,0.6771179806470249,0.6907216494845361,0.666781174854002,0.6585679054260254
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,5,institution,766,194,0.6874359939490535,0.4948453608247423,0.4869940636805181,0.6977075934410095
