experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_18_bs_512_lr_0p002_l1_0p0003,18,512,0.002,0.0003,foreign,0.6324925427808885,0.03081414154228189,0.6193212036041336,0.03613102540235138,0.656475645966,0.02206135686345267,1.0,1.0
ep_12_bs_512_lr_0p002_l1_0p0003,12,512,0.002,0.0003,foreign,0.6318122350724789,0.030611860194291497,0.6193106412512736,0.03572421737767293,0.6633219454023573,0.01670121102072313,2.0,6.0
ep_15_bs_512_lr_0p0013_l1_0p0003,15,512,0.0013,0.0003,foreign,0.6316924543990324,0.029382760603566916,0.6192352958851614,0.03432339064406877,0.6670307954152425,0.013962589857812228,3.0,11.0
ep_12_bs_512_lr_0p0017_l1_0p0003,12,512,0.0017,0.0003,foreign,0.631350556166088,0.029623494370075498,0.6189800868975698,0.0342463653128621,0.6662123176786635,0.014674624677468275,4.0,9.0
ep_15_bs_512_lr_0p002_l1_0p0003,15,512,0.002,0.0003,foreign,0.6311249498491112,0.030249250615682673,0.6180954512112427,0.035520532090600083,0.6594102647569444,0.019503808184723186,5.0,3.0
ep_10_bs_512_lr_0p0015_l1_0p0003,10,512,0.0015,0.0003,foreign,0.6311197167128927,0.027646062205525207,0.6191077534735937,0.03165170100443431,0.6713465160793728,0.011545415472290212,6.0,16.0
ep_12_bs_512_lr_0p0013_l1_0p0003,12,512,0.0013,0.0003,foreign,0.6307778184799484,0.02815837249574692,0.6185571180961054,0.032255708355790204,0.6707711776097616,0.011820237956091006,7.0,15.0
ep_18_bs_512_lr_0p0017_l1_0p0003,18,512,0.0017,0.0003,foreign,0.630553956541711,0.03017677793130388,0.6174757734302767,0.03603665704156422,0.6591260631879171,0.019551822597257986,8.0,2.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,foreign,0.6305522121629715,0.029676775464277074,0.617979977000527,0.035089350884534784,0.6645036008622911,0.01562111576896293,9.0,8.0
ep_12_bs_512_lr_0p0015_l1_0p0003,12,512,0.0015,0.0003,foreign,0.6305522121629715,0.028857692138872657,0.6182460985147731,0.03356674895218748,0.6683852036794027,0.013271921861269293,9.0,12.0
ep_10_bs_512_lr_0p0017_l1_0p0003,10,512,0.0017,0.0003,foreign,0.630550467784232,0.02818743146666806,0.6184120827829408,0.03234667625380829,0.6692895438936022,0.012791348818164456,11.0,13.0
ep_8_bs_512_lr_0p002_l1_0p0003,8,512,0.002,0.0003,foreign,0.630550467784232,0.027578406864501283,0.6186770743875797,0.03141736953119795,0.6702521271175809,0.012297803512997517,11.0,14.0
ep_10_bs_512_lr_0p002_l1_0p0003,10,512,0.002,0.0003,foreign,0.6304376646257435,0.030143521437932173,0.6182709588207431,0.03482964807002239,0.6664888156784905,0.014597035960642544,13.0,10.0
ep_18_bs_512_lr_0p0015_l1_0p0003,18,512,0.0015,0.0003,foreign,0.6303248614672552,0.02992355391428929,0.617410067341899,0.035443800609032974,0.6613033917215135,0.017792111858635204,14.0,4.0
ep_10_bs_512_lr_0p0013_l1_0p0003,10,512,0.0013,0.0003,foreign,0.6303196283310366,0.026886534900586463,0.6183401509830551,0.030468436503000473,0.6735669997003343,0.010259367107061714,15.0,18.0
ep_15_bs_512_lr_0p0017_l1_0p0003,15,512,0.0017,0.0003,foreign,0.6302155470662457,0.030267528488739117,0.6174280948608097,0.035914507632122485,0.6622673749923706,0.017215442656542616,16.0,5.0
ep_18_bs_512_lr_0p0013_l1_0p0003,18,512,0.0013,0.0003,foreign,0.6299864519917898,0.030510102820074658,0.6171598211722623,0.036260155823981115,0.6638492147127787,0.015952524754918967,17.0,7.0
ep_8_bs_512_lr_0p0017_l1_0p0003,8,512,0.0017,0.0003,foreign,0.6299794744768317,0.02677239435449379,0.6180376042827698,0.030348067097170098,0.6728416959444682,0.010749723534149823,18.0,17.0
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,foreign,0.6292991667684221,0.026422172889017728,0.6174137246068542,0.03013187531213117,0.6766848497920566,0.008585490653240792,19.0,20.0
ep_8_bs_512_lr_0p0015_l1_0p0003,8,512,0.0015,0.0003,foreign,0.6290665829364871,0.02612219982472705,0.6171262653187647,0.03000176693135537,0.6747047556771173,0.009683813504497695,20.0,19.0
ep_15_bs_512_lr_0p002_l1_0p0003,15,512,0.002,0.0003,institution,0.5389554660107803,0.033959608436181274,0.529557546687118,0.03352365861662703,0.6954236878289117,0.009627998160117862,1.0,19.0
ep_18_bs_512_lr_0p0017_l1_0p0003,18,512,0.0017,0.0003,institution,0.5387263709363244,0.033661555412114755,0.5292355141514723,0.03271194586003477,0.6953500191370646,0.009438927398611088,2.0,18.0
