experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,0,foreign,773,194,0.6784650822968872,0.6134020618556701,0.5796134176995753,0.6799628138542175
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,0,institution,773,194,0.6904988258036111,0.5412371134020618,0.5357978222879419,0.6926672458648682
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,0,retail,773,194,0.6815870280870336,0.5567010309278351,0.5062736742424243,0.6917254328727722
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,1,foreign,766,194,0.6790072894594377,0.6494845360824743,0.6470840021401819,0.6766802668571472
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,1,institution,766,194,0.6906059599109481,0.5618556701030928,0.5617508703856273,0.6903268098831177
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,1,retail,766,194,0.6834412698023624,0.5824742268041238,0.5775238607339697,0.6851683855056763
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,2,foreign,766,194,0.6785791684379777,0.634020618556701,0.6332312608174677,0.6778795719146729
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,2,institution,766,194,0.6894623632530631,0.5309278350515464,0.5299161230195713,0.6925615072250366
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,2,retail,766,194,0.684166644634217,0.6185567010309279,0.6165598290598291,0.6824454069137573
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,3,foreign,766,194,0.6790412966327318,0.6597938144329897,0.650278597181252,0.6775276064872742
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,3,institution,766,194,0.6901913205886323,0.5773195876288659,0.5639254385964912,0.6911591291427612
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,3,retail,766,194,0.6843887590863997,0.654639175257732,0.6455896387184731,0.6825196743011475
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,4,foreign,766,194,0.6788828726225671,0.634020618556701,0.6267916655377028,0.6780139207839966
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,4,institution,766,194,0.6902899242567954,0.5670103092783505,0.5613695090439277,0.6901617646217346
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,4,retail,766,194,0.6820826314136814,0.5257731958762887,0.5000560224089636,0.6899870038032532
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,5,foreign,766,194,0.6807565855606418,0.6804123711340206,0.6535714285714286,0.667806088924408
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,5,institution,766,194,0.6885713844635468,0.4948453608247423,0.4856060606060606,0.6960533261299133
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,5,retail,766,194,0.6849821345301894,0.6391752577319587,0.6176801801801801,0.6826462745666504
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,6,foreign,766,194,0.6783533412233657,0.6649484536082474,0.628188117352204,0.6791431903839111
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,6,institution,766,194,0.6896984205233522,0.5103092783505154,0.4974778459441036,0.6934804916381836
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,6,retail,766,194,0.6834125909419346,0.6185567010309279,0.5782113056763427,0.6850929856300354
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,7,foreign,766,194,0.6788358210583579,0.6443298969072165,0.6401129184030112,0.6764633059501648
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,7,institution,766,194,0.689682131336501,0.520618556701031,0.5137844611528821,0.6921640038490295
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,7,retail,766,194,0.6827181127924209,0.5876288659793815,0.5822566752799311,0.6848493218421936
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,8,foreign,769,197,0.6768336011622444,0.6040609137055838,0.6035603715170279,0.6818581819534302
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,8,institution,769,197,0.6898745726236907,0.4873096446700508,0.4819703715275065,0.6901447772979736
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,8,retail,769,197,0.6824552443154611,0.5736040609137056,0.5735051546391752,0.6843116879463196
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,9,foreign,772,194,0.6771832815723716,0.6185567010309279,0.6185161564625851,0.6840106248855591
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,9,institution,772,194,0.691025940247768,0.5773195876288659,0.572779031045225,0.6889423727989197
