experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_35_bs_512_lr_0p0015_l1_0p0003,35,512,0.0015,0.0003,foreign,0.6340735313784662,0.029366895335791007,0.6197082691218152,0.03728756981166282,0.6520412961641947,0.026225528453706168,1.0,1.0
ep_35_bs_512_lr_0p00125_l1_0p0003,35,512,0.00125,0.0003,foreign,0.6333932236700566,0.02957468080081827,0.6193418966527238,0.036553050692144345,0.654075727197859,0.0233946102740511,2.0,3.0
ep_30_bs_512_lr_0p0015_l1_0p0003,30,512,0.0015,0.0003,foreign,0.6330530698158517,0.030749886969363493,0.61898946333148,0.037281369312603466,0.6536640961964925,0.02423030906992155,3.0,2.0
ep_15_bs_512_lr_0p00125_l1_0p0003,15,512,0.00125,0.0003,foreign,0.6318070019362604,0.02916965678899729,0.6193630108221753,0.03392057038859396,0.6677111307779948,0.013536736129684679,4.0,16.0
ep_25_bs_512_lr_0p0015_l1_0p0003,25,512,0.0015,0.0003,foreign,0.6316959431565115,0.031125463180934104,0.6179313794357145,0.03803788163219304,0.6560517152150472,0.021935559193757996,5.0,4.0
ep_25_bs_512_lr_0p00125_l1_0p0003,25,512,0.00125,0.0003,foreign,0.631694198777772,0.029748299183223175,0.6183664212510328,0.035960209877930534,0.6589629385206435,0.01926592452884153,6.0,7.0
ep_30_bs_512_lr_0p00125_l1_0p0003,30,512,0.00125,0.0003,foreign,0.6316924543990324,0.03109651644545652,0.6179164039689163,0.037811786812777054,0.6561620619561938,0.02145244349605465,7.0,5.0
ep_30_bs_512_lr_0p001_l1_0p0003,30,512,0.001,0.0003,foreign,0.6315813956192835,0.03010712935089065,0.6182804748808195,0.036134668466384925,0.6597726384798686,0.01836414908925353,8.0,9.0
ep_20_bs_512_lr_0p001_l1_0p0003,20,512,0.001,0.0003,foreign,0.6314651037033161,0.028872244411044953,0.6187013738487869,0.03393197537652415,0.6666525840759278,0.014036058555045992,9.0,15.0
ep_35_bs_512_lr_0p001_l1_0p0003,35,512,0.001,0.0003,foreign,0.631347067408609,0.030774625354962504,0.6176812787452842,0.03685385646608112,0.657308840751648,0.020174293407671764,10.0,6.0
ep_20_bs_512_lr_0p0015_l1_0p0003,20,512,0.0015,0.0003,foreign,0.6310121466906228,0.030702735780621368,0.6179708740832093,0.03652505963727186,0.6595037380854288,0.0190826129113954,11.0,8.0
ep_25_bs_512_lr_0p0005_l1_0p0003,25,512,0.0005,0.0003,foreign,0.6310086579331438,0.027646686165611268,0.6183711513164559,0.03218049771832858,0.674304829703437,0.009595732372970829,12.0,22.0
ep_35_bs_512_lr_0p00075_l1_0p0003,35,512,0.00075,0.0003,foreign,0.6310069135544043,0.029461144809015308,0.6178209521873191,0.035248331057842,0.6621660550435384,0.016505611984136827,13.0,10.0
ep_15_bs_512_lr_0p001_l1_0p0003,15,512,0.001,0.0003,foreign,0.6310069135544043,0.02800333672992011,0.6186338426743447,0.03275096004399576,0.6714259677463108,0.011329015446623495,13.0,19.0
ep_20_bs_512_lr_0p00075_l1_0p0003,20,512,0.00075,0.0003,foreign,0.6310034247969253,0.02680720192301054,0.6184071806089947,0.031939314833003905,0.6714688486523098,0.011207712177069121,15.0,20.0
ep_15_bs_512_lr_0p00075_l1_0p0003,15,512,0.00075,0.0003,foreign,0.6308906216384368,0.026002247264613178,0.61874498619785,0.029911642545454833,0.6757134358088176,0.008962201015126,16.0,23.0
ep_20_bs_512_lr_0p0005_l1_0p0003,20,512,0.0005,0.0003,foreign,0.6307760741012088,0.025886632922374107,0.6184549644971655,0.029885402423339893,0.6773048294915094,0.008074540167518832,17.0,24.0
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,foreign,0.6306650153214599,0.027334055865259454,0.6179996631309008,0.03273372252463622,0.6716128018167283,0.010964585764560532,18.0,21.0
ep_35_bs_512_lr_0p0005_l1_0p0003,35,512,0.0005,0.0003,foreign,0.6306632709427203,0.02788240698478983,0.6180274049536826,0.033078743593335964,0.6691714776886835,0.012249324248202428,19.0,18.0
ep_20_bs_512_lr_0p00125_l1_0p0003,20,512,0.00125,0.0003,foreign,0.6305574452991901,0.029860677272960063,0.617638070832387,0.0356025917159246,0.6627038584815131,0.016645354025533774,20.0,11.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,foreign,0.6305522121629715,0.029676775464277074,0.617979977000527,0.035089350884534784,0.6645036008622911,0.01562111576896293,21.0,13.0
ep_25_bs_512_lr_0p00075_l1_0p0003,25,512,0.00075,0.0003,foreign,0.630550467784232,0.028197845082682988,0.6176819234798526,0.033323081057973686,0.6678677969508701,0.013174420369790758,22.0,17.0
ep_25_bs_512_lr_0p001_l1_0p0003,25,512,0.001,0.0003,foreign,0.6300975107715387,0.030010248714519124,0.6170848350272768,0.0357863258582854,0.6628354681862725,0.01636337754170081,23.0,12.0
ep_30_bs_512_lr_0p00075_l1_0p0003,30,512,0.00075,0.0003,foreign,0.6298684156970829,0.028430413267755524,0.61695137227003,0.03448296545491638,0.6647998478677538,0.014907812775743313,24.0,14.0
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,foreign,0.6290613498002686,0.02466985571263883,0.6170468375150399,0.027592877560961678,0.6806626478830974,0.006373927477901896,25.0,25.0
ep_25_bs_512_lr_0p0015_l1_0p0003,25,512,0.0015,0.0003,institution,0.5407795047127298,0.033361124748252036,0.5310027601838735,0.031974524196566274,0.6961785965495639,0.010383981908727392,1.0,22.0
ep_30_bs_512_lr_0p00125_l1_0p0003,30,512,0.00125,0.0003,institution,0.5404376064797856,0.03256498821679598,0.5305498841292915,0.03120955253450211,0.696014318201277,0.010074749910859845,2.0,21.0
ep_35_bs_512_lr_0p001_l1_0p0003,35,512,0.001,0.0003,institution,0.5402032782691111,0.03226047738038458,0.5305113037625919,0.030871943073704798,0.6955317166116503,0.009384742347797589,3.0,20.0
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,institution,0.5399951157395294,0.0353991247129963,0.5311458149122762,0.03541422153523097,0.6928627742661371,0.004579756376811898,4.0,5.0
ep_20_bs_512_lr_0p00125_l1_0p0003,20,512,0.00125,0.0003,institution,0.5397572987713759,0.033036802528931174,0.5304830192061425,0.032339056220382134,0.6943104253874884,0.007796009284860671,5.0,16.0
ep_20_bs_512_lr_0p001_l1_0p0003,20,512,0.001,0.0003,institution,0.5395404143480966,0.035773815522344335,0.5305606376015587,0.035325840985579594,0.693553806675805,0.00636236612558822,6.0,11.0
ep_35_bs_512_lr_0p0005_l1_0p0003,35,512,0.0005,0.0003,institution,0.5395334368331386,0.035027662355589156,0.5304773380101433,0.034883863219982485,0.6930977582931519,0.005226255061258695,7.0,8.0
ep_25_bs_512_lr_0p00125_l1_0p0003,25,512,0.00125,0.0003,institution,0.5394154005384315,0.033933287717721826,0.5300438807699864,0.03241800675053047,0.6951835128996108,0.009061508429715474,8.0,19.0
ep_30_bs_512_lr_0p00075_l1_0p0003,30,512,0.00075,0.0003,institution,0.5394049342659945,0.03279078087026761,0.5302924889008626,0.03214960985492998,0.6937678972880046,0.00669889700931494,9.0,12.0
ep_30_bs_512_lr_0p001_l1_0p0003,30,512,0.001,0.0003,institution,0.5392921311075061,0.03274670127341267,0.5298577619963808,0.03150040948532163,0.6948655154969957,0.008527480462854845,10.0,17.0
ep_25_bs_512_lr_0p001_l1_0p0003,25,512,0.001,0.0003,institution,0.5390682691692688,0.03300311351562901,0.5298772349651364,0.03199075515380244,0.6942111558384365,0.0075411510533693145,11.0,14.0
ep_35_bs_512_lr_0p00075_l1_0p0003,35,512,0.00075,0.0003,institution,0.5388252190648967,0.033236956367661906,0.5294883604225039,0.03255358841846665,0.6942384057574802,0.0075002551109962425,12.0,15.0
ep_20_bs_512_lr_0p0015_l1_0p0003,20,512,0.0015,0.0003,institution,0.5387350928300219,0.034506900079447546,0.5293423406388986,0.033392879137653333,0.6951260791884528,0.009092081249125625,13.0,18.0
ep_25_bs_512_lr_0p0005_l1_0p0003,25,512,0.0005,0.0003,institution,0.5386257784290125,0.036747008712989956,0.5297316509049804,0.0368687157071499,0.6926715016365051,0.0038986205621500563,14.0,4.0
ep_35_bs_512_lr_0p00125_l1_0p0003,35,512,0.00125,0.0003,institution,0.5386083346416174,0.032863538461088644,0.5282010890016062,0.03104823645611231,0.6968340158462525,0.010936933148167939,15.0,23.0
ep_30_bs_512_lr_0p0015_l1_0p0003,30,512,0.0015,0.0003,institution,0.5384990202406079,0.033613120737916106,0.5282933833181855,0.03220299716479818,0.697148064772288,0.01138523348284148,16.0,24.0
ep_15_bs_512_lr_0p00125_l1_0p0003,15,512,0.00125,0.0003,institution,0.5380600182578308,0.03632368435993114,0.5292172821680253,0.03633942666354175,0.6935061189863417,0.0062723523045979295,17.0,10.0
ep_25_bs_512_lr_0p00075_l1_0p0003,25,512,0.00075,0.0003,institution,0.5379350044481658,0.03557546320340748,0.5289175129332505,0.03521621013667331,0.6933294177055359,0.005809928036490712,18.0,9.0
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,institution,0.5375913618364819,0.03739251146914266,0.5286145839949715,0.03876870955066038,0.6924814449416267,0.0024341676342757163,19.0,1.0
ep_35_bs_512_lr_0p0015_l1_0p0003,35,512,0.0015,0.0003,institution,0.5375861287002633,0.03215175152291853,0.5269919642056017,0.03048962363359093,0.698075967364841,0.012224505042321577,20.0,25.0
ep_20_bs_512_lr_0p00075_l1_0p0003,20,512,0.00075,0.0003,institution,0.537483791814212,0.03720522415403969,0.5285360668984129,0.03731923021570843,0.6929228517744276,0.004806406881096615,21.0,6.0
ep_15_bs_512_lr_0p001_l1_0p0003,15,512,0.001,0.0003,institution,0.5374820474354726,0.03657624479700873,0.5284294524337793,0.03693046625095959,0.6930013577143351,0.005017689420589931,22.0,7.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,institution,0.5369145428855513,0.03660371624818763,0.5279967625936599,0.03640032490620933,0.6941001627180311,0.007466324812539731,23.0,13.0
ep_20_bs_512_lr_0p0005_l1_0p0003,20,512,0.0005,0.0003,institution,0.5367999953483233,0.03655440509669207,0.5278932567478155,0.037337694183047866,0.692526646455129,0.0031745001457255976,24.0,2.0
