experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,0,foreign,773,194,0.6608123840983441,0.6391752577319587,0.6063768115942029,0.6663414239883423
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,0,institution,773,194,0.6909119383483778,0.4742268041237113,0.4740031897926635,0.6941080093383789
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,0,retail,773,194,0.6715822087222515,0.5670103092783505,0.5212128334704431,0.6936694383621216
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,1,foreign,766,194,0.6639163375834573,0.6597938144329897,0.6574638844301766,0.6584548950195312
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,1,institution,766,194,0.6885719030083938,0.5670103092783505,0.566595744680851,0.6889463067054749
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,1,retail,766,194,0.6738533989256418,0.5927835051546392,0.5896323667228961,0.6779530048370361
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,2,foreign,766,194,0.663121314023867,0.6391752577319587,0.6382139812446718,0.6627170443534851
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,2,institution,766,194,0.6865630792575468,0.520618556701031,0.5195846092397817,0.6931250095367432
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,2,retail,766,194,0.6761212982334605,0.6185567010309279,0.6170916462178598,0.6728020310401917
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,3,foreign,766,194,0.6635501501454386,0.654639175257732,0.6455896387184731,0.6638309359550476
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,3,institution,766,194,0.6878641067223511,0.5670103092783505,0.5515685195376995,0.6897543668746948
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,3,retail,766,194,0.6760336196453702,0.6494845360824743,0.6408972125435539,0.6716901659965515
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,4,foreign,766,194,0.6637390649661071,0.6288659793814433,0.6184857423795477,0.6629716753959656
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,4,institution,766,194,0.6881093575811261,0.5567010309278351,0.5519389837791384,0.6890490055084229
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,4,retail,766,194,0.670878650625443,0.5257731958762887,0.5000560224089636,0.6887519955635071
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,5,foreign,766,194,0.6675925905337221,0.7010309278350515,0.6716853408029879,0.6426838636398315
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,5,institution,766,194,0.6845544501944559,0.5103092783505154,0.5006367355786165,0.700785219669342
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,5,retail,766,194,0.6775310981055775,0.654639175257732,0.626783817153358,0.6697090268135071
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,6,foreign,766,194,0.6626830659709463,0.6701030927835051,0.6325757575757576,0.6643826365470886
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,6,institution,766,194,0.6868195827885023,0.5,0.4915565642646781,0.6958255767822266
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,6,retail,766,194,0.6739754320435984,0.6185567010309279,0.5782113056763427,0.6780908107757568
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,7,foreign,766,194,0.6636180581996709,0.6443298969072165,0.6408853118712274,0.6589632034301758
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,7,institution,766,194,0.6868638640595478,0.520618556701031,0.5125233038826295,0.6922256350517273
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,7,retail,766,194,0.6727007672618637,0.5773195876288659,0.5718130921619293,0.6784616708755493
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,8,foreign,769,197,0.6710699903639458,0.6294416243654822,0.6290975678951848,0.6811766028404236
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,8,institution,769,197,0.6910462338375642,0.5279187817258884,0.5230024213075061,0.6916664838790894
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,8,retail,769,197,0.6778864382302342,0.5634517766497462,0.5620864350703061,0.6824734807014465
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,9,foreign,772,194,0.6630795261402822,0.6288659793814433,0.6269230769230769,0.6716912388801575
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,9,institution,772,194,0.6923206513409788,0.6030927835051546,0.5992488262910798,0.69041508436203
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,9,retail,772,194,0.6729825945098166,0.5412371134020618,0.5412249236083433,0.6949992775917053
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,10,foreign,765,194,0.6591144830572839,0.6237113402061856,0.6151107487430358,0.6795105338096619
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,10,institution,765,194,0.6877900628482594,0.5618556701030928,0.5576123407109322,0.6910871267318726
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,10,retail,765,194,0.672591256004533,0.5824742268041238,0.5742271113880835,0.6894086599349976
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,11,foreign,765,194,0.661112344810386,0.6288659793814433,0.6278772378516624,0.6702394485473633
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,11,institution,765,194,0.6893197915133308,0.6030927835051546,0.5783442007508397,0.6881009936332703
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,11,retail,765,194,0.6735671031708811,0.6288659793814433,0.6269230769230769,0.6846030950546265
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,12,foreign,765,194,0.661197805248834,0.5979381443298969,0.5968670076726343,0.6710264086723328
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,12,institution,765,194,0.6896171638389039,0.6134020618556701,0.6057658438778551,0.686788022518158
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,12,retail,765,194,0.6680463858679229,0.5154639175257731,0.5051557581678063,0.7021961212158203
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,13,foreign,765,194,0.6655355852413801,0.6391752577319587,0.6263070996147495,0.6505041718482971
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,13,institution,765,194,0.6868893355325936,0.5567010309278351,0.5426535087719299,0.6943949460983276
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,13,retail,765,194,0.6759758347779318,0.6443298969072165,0.6337319068596601,0.6709842681884766
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,14,foreign,765,194,0.6605702942492915,0.634020618556701,0.6217077256872923,0.6741960644721985
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,14,institution,765,194,0.6878016024633171,0.5412371134020618,0.5275672421813008,0.6960062384605408
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,14,retail,765,194,0.6697293773975248,0.5979381443298969,0.5781668153434434,0.700161337852478
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,15,foreign,765,194,0.6601322398466223,0.5979381443298969,0.5968670076726343,0.6745810508728027
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,15,institution,765,194,0.6881176504434324,0.5515463917525774,0.5364587624618934,0.689784586429596
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,15,retail,765,194,0.6694090861121035,0.5463917525773195,0.5446495252320496,0.6939038038253784
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,16,foreign,768,197,0.6542540192604065,0.5786802030456852,0.5758825512930252,0.6937500834465027
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,16,institution,768,197,0.6882277329762777,0.5634517766497462,0.5609060750570185,0.6909738779067993
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,16,retail,768,197,0.6674957076708475,0.5431472081218274,0.5411490683229814,0.7015106678009033
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,17,foreign,772,194,0.6614064781159317,0.6649484536082474,0.6096821122357383,0.674317479133606
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,17,institution,772,194,0.6900332156240632,0.5670103092783505,0.5623590074121818,0.690968930721283
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,17,retail,772,194,0.67972929366512,0.6082474226804123,0.5496089931573802,0.6812410354614258
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,18,foreign,765,194,0.6618428543502209,0.6752577319587629,0.6688433088573984,0.6666789650917053
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,18,institution,765,194,0.6885259180287131,0.4896907216494845,0.4880447820871652,0.6917567253112793
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,18,retail,765,194,0.6766293707236745,0.6494845360824743,0.6396809789140172,0.6711511015892029
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,19,foreign,765,194,0.6621198568468779,0.654639175257732,0.6455896387184731,0.6664647459983826
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,19,institution,765,194,0.6898362909267152,0.5773195876288659,0.5772746598639455,0.6857131719589233
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,19,retail,765,194,0.671542844195771,0.5257731958762887,0.5184025903939558,0.6870723366737366
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,20,foreign,765,194,0.6663704746688892,0.7061855670103093,0.7048602770437986,0.6417855620384216
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,20,institution,765,194,0.6858709926698722,0.5103092783505154,0.5033282130056324,0.7001534104347229
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,20,retail,765,194,0.6791074174681521,0.6649484536082474,0.6638677862188458,0.6623638868331909
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,21,foreign,765,194,0.6622562075752059,0.6752577319587629,0.6748343842285897,0.6638287305831909
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,21,institution,765,194,0.6882237601903529,0.5,0.4989215816802024,0.695827305316925
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,21,retail,765,194,0.6736373418296864,0.5979381443298969,0.5975531914893617,0.6800146698951721
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,22,foreign,765,194,0.6595982459635517,0.6288659793814433,0.6171052631578948,0.6777397394180298
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,22,institution,765,194,0.688135310559491,0.5154639175257731,0.5102588892469653,0.6890655159950256
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,22,retail,765,194,0.6724405710214104,0.5773195876288659,0.572779031045225,0.6831133961677551
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,23,foreign,768,197,0.6549108425776163,0.5939086294416244,0.5595797004247709,0.6889330148696899
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,23,institution,768,197,0.6874429980913798,0.4873096446700508,0.4782209634699604,0.6966136693954468
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,23,retail,768,197,0.6709474722544352,0.5431472081218274,0.5245119073160266,0.6866427063941956
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,24,foreign,772,194,0.6617838341955076,0.6494845360824743,0.6304761904761904,0.6719450950622559
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,24,institution,772,194,0.6898831132162421,0.5154639175257731,0.5146385606302566,0.69264155626297
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,24,retail,772,194,0.6801612506876338,0.6752577319587629,0.6369738913476104,0.6702433824539185
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,25,foreign,765,194,0.6610574998107611,0.6185567010309279,0.586520737327189,0.6704229116439819
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,25,institution,765,194,0.6880942812152937,0.5927835051546392,0.5914700786352125,0.6886320114135742
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,25,retail,765,194,0.673238536579157,0.5618556701030928,0.5345358060236542,0.6813133358955383
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,26,foreign,765,194,0.6651936753123414,0.6494845360824743,0.6408972125435539,0.6471989750862122
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,26,institution,765,194,0.6840709145552193,0.4845360824742268,0.4765245547760388,0.7030553221702576
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,26,retail,765,194,0.6803028019425137,0.6855670103092784,0.6736978520418011,0.6578758955001831
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,27,foreign,765,194,0.6606845036830777,0.6237113402061856,0.6151107487430358,0.670230507850647
