experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_100_lr_0p001_l1_0p0003,100,0.001,0.0003,foreign,0.6376919543437938,0.029589325803607573,0.6218036066058643,0.037507398388159044,0.6497922394010756,0.036729220082060095,1.0,5.0
ep_75_lr_0p0015_l1_0p0003,75,0.0015,0.0003,foreign,0.6375808955640448,0.030920970578003474,0.6214456632040178,0.038192350785645174,0.6501219815678067,0.037685526564650525,2.0,7.0
ep_75_lr_0p001_l1_0p0003,75,0.001,0.0003,foreign,0.6363348276844535,0.031549595082945504,0.6205419374572574,0.038635141400195964,0.6493453012572394,0.03445466894199351,3.0,2.0
ep_100_lr_0p0005_l1_0p0003,100,0.0005,0.0003,foreign,0.6361196876399138,0.029611134467178172,0.6208449780818136,0.03698794951928658,0.6497113717926873,0.028731914052975278,4.0,4.0
ep_75_lr_0p00075_l1_0p0003,75,0.00075,0.0003,foreign,0.6357725562707508,0.031096074340181145,0.6203312951894997,0.038090566039454155,0.6493478722042507,0.030726952474477334,5.0,3.0
ep_100_lr_0p00075_l1_0p0003,100,0.00075,0.0003,foreign,0.6356510312185648,0.030298724705542786,0.6198954797690469,0.0380225600774403,0.6492656707763672,0.03412571506561723,6.0,1.0
ep_75_lr_0p0005_l1_0p0003,75,0.0005,0.0003,foreign,0.6352085404783087,0.02966905956579477,0.6204691371635429,0.03689281806461415,0.6516214847564697,0.024721347354297638,7.0,15.0
ep_50_lr_0p002_l1_0p0003,50,0.002,0.0003,foreign,0.6351753972822579,0.03577273143886318,0.6184109403217419,0.04401667871677617,0.6511257595486111,0.03774009846574104,8.0,12.0
ep_25_lr_0p0015_l1_0p0003,25,0.0015,0.0003,foreign,0.6347643053593129,0.03033448692246732,0.620139072281763,0.036511544079031164,0.6515199753973219,0.026924075267469847,9.0,14.0
ep_50_lr_0p001_l1_0p0003,50,0.001,0.0003,foreign,0.6347381396782202,0.03270741415789081,0.6189547888227451,0.03957810052687893,0.6501338124275208,0.029704038573766457,10.0,8.0
ep_25_lr_0p002_l1_0p0003,25,0.002,0.0003,foreign,0.634413685232671,0.030046058283898718,0.6192565276085017,0.036511611246275034,0.6501194132698906,0.03172621664427218,11.0,6.0
ep_50_lr_0p00075_l1_0p0003,50,0.00075,0.0003,foreign,0.634403218960234,0.031618243371799165,0.6192574366327149,0.03915225444571923,0.6518269843525357,0.025271557321451296,12.0,16.0
ep_75_lr_0p002_l1_0p0003,75,0.002,0.0003,foreign,0.6341479582046854,0.028897403872487664,0.6176735633870598,0.03701189853754114,0.6506086217032538,0.03855498814137976,13.0,10.0
ep_25_lr_0p001_l1_0p0003,25,0.001,0.0003,foreign,0.6339694501136753,0.029801630492027484,0.620237193068937,0.03424311514799409,0.6564123921924168,0.0205622953331774,14.0,17.0
ep_100_lr_0p0015_l1_0p0003,100,0.0015,0.0003,foreign,0.633799082456783,0.029412997003178475,0.6174574818485573,0.03738179907500021,0.6506275786293878,0.03839321912503027,15.0,11.0
ep_100_lr_0p002_l1_0p0003,100,0.002,0.0003,foreign,0.6334589286025782,0.02695265579291132,0.6166014403037079,0.03640850005387215,0.651210437880622,0.03872087989124749,16.0,13.0
ep_50_lr_0p0015_l1_0p0003,50,0.0015,0.0003,foreign,0.6332490216942569,0.03550860341559576,0.6165386137702114,0.043216469768464175,0.6502538522084554,0.03524550423447731,17.0,9.0
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,foreign,0.6328309522563539,0.030002981276947855,0.6192648330587944,0.03469449306266168,0.6611825029055277,0.016724375865417685,18.0,19.0
ep_50_lr_0p0005_l1_0p0003,50,0.0005,0.0003,foreign,0.6327024496892099,0.03038568062562701,0.6182236241250288,0.03635120336685969,0.6568651503986782,0.019464914016061114,19.0,18.0
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,foreign,0.6321506445479442,0.02929403427632771,0.6188088005159776,0.034063706876455435,0.6682618154419793,0.012317191765596692,20.0,20.0
ep_25_lr_0p001_l1_0p0003,25,0.001,0.0003,institution,0.536333083305714,0.03587006748058206,0.5272057908960034,0.034538421417903566,0.6954267475340101,0.008869746703823686,1.0,4.0
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,institution,0.5355312505451183,0.03748836782571507,0.5271385745540009,0.03756544195371387,0.6933624280823601,0.004749673190522139,2.0,1.0
ep_25_lr_0p002_l1_0p0003,25,0.002,0.0003,institution,0.5350730603962065,0.03381105058409604,0.5248698046523897,0.03156860286498454,0.699230608675215,0.013935798269332353,3.0,10.0
ep_25_lr_0p0015_l1_0p0003,25,0.0015,0.0003,institution,0.5349567684802391,0.03354234237334238,0.5250298924004434,0.031638793377966844,0.6974946988953484,0.011845594112792722,4.0,7.0
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,institution,0.5346148702472947,0.03666229435354357,0.5255870359896642,0.036256775170909104,0.6943451311853197,0.0069621860860668485,5.0,2.0
ep_75_lr_0p0005_l1_0p0003,75,0.0005,0.0003,institution,0.5346061483535972,0.03187064835689771,0.5243589277166782,0.031058051248390204,0.6970731086201138,0.01101997752444781,6.0,5.0
ep_50_lr_0p00075_l1_0p0003,50,0.00075,0.0003,institution,0.5341531913409039,0.03354452070392828,0.5241343516665692,0.032561963463145924,0.6972284502453274,0.011155409035902541,7.0,6.0
ep_50_lr_0p0005_l1_0p0003,50,0.0005,0.0003,institution,0.5340386438036759,0.03358369973926967,0.5245817573611441,0.03234556302275293,0.6952702005704244,0.00838911888519137,8.0,3.0
ep_50_lr_0p001_l1_0p0003,50,0.001,0.0003,institution,0.5335787092760247,0.032858005071156014,0.5233458777858623,0.031491708045033,0.6988773041301304,0.01310281856584131,9.0,9.0
ep_75_lr_0p002_l1_0p0003,75,0.002,0.0003,institution,0.5327925759240846,0.03178917259134926,0.5213337861860503,0.03137835849361929,0.7029421263270907,0.016967843566909162,10.0,19.0
ep_75_lr_0p001_l1_0p0003,75,0.001,0.0003,institution,0.5327838540303871,0.03112804535353862,0.5218312014387908,0.030475423393214934,0.700788598590427,0.015203519779032133,11.0,13.0
ep_75_lr_0p00075_l1_0p0003,75,0.00075,0.0003,institution,0.5327821096516475,0.0330209065181658,0.5222182584735506,0.03221369547042694,0.6993141743871901,0.013690073180896479,12.0,11.0
ep_75_lr_0p0015_l1_0p0003,75,0.0015,0.0003,institution,0.5327821096516475,0.03204498465858576,0.5214482430315166,0.03210089608382127,0.7022834380467733,0.016492950180766474,12.0,17.0
ep_100_lr_0p0005_l1_0p0003,100,0.0005,0.0003,institution,0.5327786208941685,0.03313618344882327,0.5224217591368998,0.03149965743629098,0.6986009637514751,0.012842019928514555,14.0,8.0
ep_100_lr_0p0015_l1_0p0003,100,0.0015,0.0003,institution,0.5311889104028933,0.03094751668760576,0.5184529553132308,0.032904361527841736,0.7029249787330627,0.01689454412001573,15.0,18.0
ep_100_lr_0p001_l1_0p0003,100,0.001,0.0003,institution,0.5311819328879352,0.032119782863506335,0.5193678856852293,0.03273533182517728,0.7018581920199924,0.016120992778627878,16.0,15.0
ep_100_lr_0p00075_l1_0p0003,100,0.00075,0.0003,institution,0.5311732109942378,0.031605076831933,0.5200325517490433,0.031281801393691466,0.7007066514756944,0.015086611290778897,17.0,12.0
