experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,0,foreign,773,194,0.6357871816044175,0.6288659793814433,0.5951304347826087,0.6436576247215271
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,0,institution,773,194,0.687281592311711,0.5257731958762887,0.5225254146602462,0.6944172382354736
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,0,retail,773,194,0.6585491376737419,0.5670103092783505,0.5212128334704431,0.7007428407669067
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,1,foreign,766,194,0.6399391768184094,0.6855670103092784,0.683675924193419,0.6252579689025879
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,1,institution,766,194,0.6868883130133308,0.5309278350515464,0.5309153713298791,0.6885954737663269
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,1,retail,766,194,0.662493480247866,0.5824742268041238,0.5799631124535565,0.6714956760406494
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,2,foreign,766,194,0.6377663979642385,0.654639175257732,0.653525256564041,0.63445645570755
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,2,institution,766,194,0.6838846961449705,0.5103092783505154,0.5087298413967747,0.6958428621292114
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,2,retail,766,194,0.6669782826545656,0.6288659793814433,0.6269230769230769,0.6604259610176086
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,3,foreign,766,194,0.6375916505295677,0.6443298969072165,0.6350102249488753,0.6403313279151917
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,3,institution,766,194,0.6860793777607751,0.5876288659793815,0.5745614035087719,0.6890625357627869
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,3,retail,766,194,0.6672460861679157,0.6443298969072165,0.6373045763676267,0.6588698029518127
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,4,foreign,766,194,0.6387207515868444,0.6237113402061856,0.6151107487430358,0.6362740993499756
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,4,institution,766,194,0.6860693087777021,0.520618556701031,0.5149348030649281,0.6910899877548218
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,4,retail,766,194,0.6566700927582484,0.5154639175257731,0.4916369313113291,0.6947522759437561
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,5,foreign,766,194,0.6491395757964012,0.6958762886597938,0.6600231680874447,0.6003777980804443
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,5,institution,766,194,0.6807162704106722,0.5,0.4885718168229379,0.7103960514068604
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,5,retail,766,194,0.6700882110209752,0.6649484536082474,0.6356649620062986,0.6534184813499451
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,6,foreign,766,194,0.6402960335616966,0.6855670103092784,0.6458052737122505,0.6351760625839233
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,6,institution,766,194,0.6844166135974715,0.520618556701031,0.5096616388096209,0.6997975707054138
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,6,retail,766,194,0.6631089856668179,0.6391752577319587,0.6010106945587026,0.6712331771850586
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,7,foreign,766,194,0.6377936691901702,0.6597938144329897,0.6561392201095714,0.6314890384674072
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,7,institution,766,194,0.6843258841230726,0.5103092783505154,0.5033282130056324,0.6946801543235779
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,7,retail,766,194,0.6599052034843684,0.5876288659793815,0.578855964398133,0.6761430501937866
