experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_25_bs_128_lr_0p0005_l1_0p01,25,128,0.0005,0.01,foreign,0.6360173507538623,0.030286807883282158,0.6217162502756162,0.03624024160263111,0.6573863704999288,0.01775514737429161,1.0,10.0
ep_25_bs_64_lr_0p0005_l1_0p01,25,64,0.0005,0.01,foreign,0.6360068844814253,0.03186717753513722,0.6205456678034759,0.03777148432817775,0.6502090944184198,0.025045889898014834,2.0,6.0
ep_25_bs_64_lr_0p001_l1_0p01,25,64,0.001,0.01,foreign,0.6359842075578116,0.030772064653269232,0.6198056285163964,0.037131088615917546,0.6497352202733357,0.03407612219754068,3.0,1.0
ep_25_bs_128_lr_0p001_l1_0p0003,25,128,0.001,0.0003,foreign,0.6352102848570482,0.03034792533604305,0.6202219110561966,0.036668818204600176,0.6499569680955675,0.028886249130911444,4.0,3.0
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,foreign,0.6350939929410807,0.030542957098410407,0.6198593475817218,0.03711898349447472,0.6499533295631409,0.02639011900749284,5.0,2.0
ep_25_bs_256_lr_0p001_l1_0p01,25,256,0.001,0.01,foreign,0.6348805972752805,0.029119131147047336,0.6209823221130909,0.035289249378506554,0.6567651006910536,0.01976776122963121,6.0,8.0
ep_25_bs_128_lr_0p001_l1_0p01,25,128,0.001,0.01,foreign,0.6347416284356993,0.03157824304851545,0.6195248286266704,0.03748726551165467,0.6501825796233283,0.027453664228822033,7.0,5.0
ep_25_bs_64_lr_0p001_l1_0p0003,25,64,0.001,0.0003,foreign,0.6347259290270437,0.030299073989484206,0.6186308834876176,0.0368198531939609,0.650033966700236,0.03610909535512563,8.0,4.0
ep_25_bs_256_lr_0p001_l1_0p0003,25,256,0.001,0.0003,foreign,0.6339694501136753,0.029801630492027484,0.620237193068937,0.03424311514799409,0.6564123921924168,0.0205622953331774,9.0,7.0
ep_25_bs_256_lr_0p0005_l1_0p01,25,256,0.0005,0.01,foreign,0.6330530698158517,0.029720425302806094,0.6199121860947779,0.03470769238868888,0.668378676308526,0.011998582182089929,10.0,14.0
