experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,0,foreign,773,194,0.660794111766297,0.6391752577319587,0.6063768115942029,0.6663281917572021
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,0,institution,773,194,0.690901778493785,0.4742268041237113,0.4740031897926635,0.6941149234771729
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,0,retail,773,194,0.671561555751391,0.5670103092783505,0.5212128334704431,0.6936900615692139
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,1,foreign,766,194,0.6639067960158963,0.6597938144329897,0.6574638844301766,0.6584709286689758
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,1,institution,766,194,0.6885556927237747,0.5670103092783505,0.566595744680851,0.688914954662323
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,1,retail,766,194,0.6738468172033524,0.5927835051546392,0.5896323667228961,0.6779250502586365
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,2,foreign,766,194,0.6631057277983224,0.6391752577319587,0.6382139812446718,0.6626926064491272
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,2,institution,766,194,0.6865478763381121,0.520618556701031,0.5195846092397817,0.6931140422821045
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,2,retail,766,194,0.6761121124262598,0.6185567010309279,0.6170916462178598,0.6727768182754517
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,3,foreign,766,194,0.6635383404888621,0.654639175257732,0.6455896387184731,0.6637935638427734
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,3,institution,766,194,0.6878489945327022,0.5670103092783505,0.5515685195376995,0.6897398829460144
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,3,retail,766,194,0.6760266248924613,0.6494845360824743,0.6408972125435539,0.6716645956039429
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,4,foreign,766,194,0.6637217296632711,0.6288659793814433,0.6184857423795477,0.6629500985145569
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,4,institution,766,194,0.6880955114065823,0.5567010309278351,0.5519389837791384,0.6890005469322205
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,4,retail,766,194,0.6708698123304402,0.5257731958762887,0.5000560224089636,0.6887409687042236
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,5,foreign,766,194,0.6675769580873434,0.7010309278350515,0.6716853408029879,0.6426404714584351
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,5,institution,766,194,0.6845366066180695,0.5103092783505154,0.5006367355786165,0.7008273601531982
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,5,retail,766,194,0.6775191006087758,0.654639175257732,0.626783817153358,0.6697527170181274
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,6,foreign,766,194,0.6626685023619052,0.6701030927835051,0.6325757575757576,0.6643670201301575
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,6,institution,766,194,0.6868075666166161,0.5,0.4915565642646781,0.6958004832267761
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,6,retail,766,194,0.673964296713199,0.6185567010309279,0.5782113056763427,0.678083598613739
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,7,foreign,766,194,0.6636065005011098,0.6494845360824743,0.6457191964765281,0.6589481830596924
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,7,institution,766,194,0.6868481234533046,0.520618556701031,0.5125233038826295,0.6922127604484558
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,7,retail,766,194,0.6726931906244462,0.5773195876288659,0.5718130921619293,0.6784389615058899
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,8,foreign,769,197,0.6710470635807251,0.6294416243654822,0.6290975678951848,0.6811693906784058
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,8,institution,769,197,0.6910369733375132,0.5279187817258884,0.5230024213075061,0.6916648149490356
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,8,retail,769,197,0.6778726937401899,0.5634517766497462,0.5620864350703061,0.6824782490730286
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,9,foreign,772,194,0.6630559622314928,0.6288659793814433,0.6269230769230769,0.671694278717041
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,9,institution,772,194,0.6923134036632399,0.6030927835051546,0.5992488262910798,0.6903966665267944
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,9,retail,772,194,0.6729675488150799,0.5412371134020618,0.5412249236083433,0.6950218677520752
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,10,foreign,765,194,0.6591019289945466,0.6237113402061856,0.6151107487430358,0.6795369386672974
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,10,institution,765,194,0.6877743119507833,0.5618556701030928,0.5576123407109322,0.6911004185676575
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,10,retail,765,194,0.6725784334481931,0.5824742268041238,0.5742271113880835,0.6894006133079529
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,11,foreign,765,194,0.6610980322158414,0.6288659793814433,0.6278772378516624,0.6702147722244263
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,11,institution,765,194,0.6893047676366918,0.6030927835051546,0.5783442007508397,0.6880925893783569
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,11,retail,765,194,0.6735561829766417,0.6288659793814433,0.6269230769230769,0.684614896774292
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,12,foreign,765,194,0.6611826119080089,0.5979381443298969,0.5968670076726343,0.6710090041160583
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,12,institution,765,194,0.689602612669951,0.6134020618556701,0.6057658438778551,0.6867668032646179
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,12,retail,765,194,0.6680355317452374,0.5154639175257731,0.5051557581678063,0.7022127509117126
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,13,foreign,765,194,0.6655231528032839,0.6391752577319587,0.6263070996147495,0.6505120396614075
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,13,institution,765,194,0.6868713632907743,0.5567010309278351,0.5426535087719299,0.6944179534912109
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,13,retail,765,194,0.6759670414955787,0.6443298969072165,0.6337319068596601,0.6709958910942078
