experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_25_lr_0p001_l1_0p01,25,0.001,0.01,foreign,0.6348805972752805,0.029119131147047336,0.6209823221130909,0.035289249378506554,0.6567651006910536,0.01976776122963121,1.0,5.0
ep_25_lr_0p001_l1_0p001,25,0.001,0.001,foreign,0.6341950564306522,0.02950571262031794,0.6204372880177893,0.03378577116109593,0.6564249051941766,0.02051910205206006,2.0,3.0
ep_25_lr_0p001_l1_0p003,25,0.001,0.003,foreign,0.6340805088934243,0.029781185912398478,0.6203011153116209,0.03407354448529052,0.6564769824345906,0.02038043521534488,3.0,4.0
ep_25_lr_0p001_l1_0,25,0.001,0.0,foreign,0.6338549025764474,0.029608077123867677,0.62015115471462,0.0342075157746905,0.6564077059427897,0.02057979220760512,4.0,1.0
ep_25_lr_0p001_l1_0p0001,25,0.001,0.0001,foreign,0.6338549025764474,0.029608077123867677,0.62015115471462,0.0342075157746905,0.6564092000325521,0.020574038090407795,4.0,2.0
ep_25_lr_0p0005_l1_0p01,25,0.0005,0.01,foreign,0.6330530698158517,0.029720425302806094,0.6199121860947779,0.03470769238868888,0.668378676308526,0.011998582182089929,6.0,10.0
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,foreign,0.6324925427808885,0.029429027655617404,0.6191300222445787,0.03426796464897154,0.6682605028152466,0.012324428899663621,7.0,6.0
ep_25_lr_0p0005_l1_0p0001,25,0.0005,0.0001,foreign,0.6324925427808885,0.029429027655617404,0.6191300222445787,0.03426796464897154,0.6682609028286404,0.012322021806314249,7.0,7.0
ep_25_lr_0p0005_l1_0p001,25,0.0005,0.001,foreign,0.6319215494734883,0.029075567171298135,0.6185170247530268,0.03394439069172733,0.6682655705346001,0.012300190483321916,9.0,8.0
ep_25_lr_0p0005_l1_0p003,25,0.0005,0.003,foreign,0.6319198050947489,0.0286650970147198,0.6185491996275513,0.03327876314877514,0.6682802160580953,0.012250309916941798,10.0,9.0
ep_25_lr_0p001_l1_0p001,25,0.001,0.001,institution,0.5361039882312582,0.03550586218834189,0.5268790283376745,0.033860789736679386,0.6954074051645067,0.00877284335541201,1.0,8.0
ep_25_lr_0p001_l1_0p0001,25,0.001,0.0001,institution,0.5361039882312582,0.03578668459492348,0.5269811498896192,0.034434968913902984,0.6954326219028897,0.008897473357862598,1.0,9.0
ep_25_lr_0p001_l1_0,25,0.001,0.0,institution,0.5357603456195742,0.035877900144074916,0.5266430739342006,0.03447983939200304,0.6954355782932705,0.00891135522605182,3.0,10.0
ep_25_lr_0p001_l1_0p003,25,0.001,0.003,institution,0.5357481349683977,0.03524856588194757,0.5264478875932783,0.033417505662153665,0.6953584565056695,0.008514425960106665,4.0,7.0
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,institution,0.5355295061663788,0.037509346420442076,0.5271240452050168,0.037672767213308,0.6933569974369473,0.004769475894192695,5.0,1.0
ep_25_lr_0p0005_l1_0p0001,25,0.0005,0.0001,institution,0.535303899849402,0.03758661450671688,0.5268744987111852,0.03774443977910163,0.693358756436242,0.0047628756619566585,6.0,2.0
ep_25_lr_0p0005_l1_0p001,25,0.0005,0.001,institution,0.5342764607718294,0.03780327241668573,0.5258432241939922,0.03810203717816635,0.6933756934271919,0.004702913764995208,7.0,3.0
ep_25_lr_0p0005_l1_0p003,25,0.0005,0.003,institution,0.5333618248527454,0.03885516762295707,0.5246686673335715,0.03933538264349896,0.6934151106410557,0.004569516715004579,8.0,4.0
ep_25_lr_0p0005_l1_0p01,25,0.0005,0.01,institution,0.5308121245951587,0.0392340475600682,0.5216036548666224,0.038688209857184075,0.6935926119486491,0.0041260292609123375,9.0,5.0
ep_25_lr_0p001_l1_0p01,25,0.001,0.01,institution,0.5297794523813677,0.03611346602547763,0.5196999683287978,0.03487918852181991,0.6952751199404399,0.007632687010567882,10.0,6.0
ep_25_lr_0p0005_l1_0p01,25,0.0005,0.01,retail,0.5992324733546147,0.04910452753218535,0.5851908634622052,0.05141978601787821,0.6797642628351848,0.010396534722325266,1.0,6.0
ep_25_lr_0p0005_l1_0,25,0.0005,0.0,retail,0.5991249033323449,0.04944977744597448,0.5857673339130451,0.05118223423822104,0.6797923074828254,0.010744854614952764,2.0,7.0
ep_25_lr_0p0005_l1_0p0001,25,0.0005,0.0001,retail,0.5991249033323449,0.04944977744597448,0.5857673339130451,0.05118223423822104,0.6797926505406697,0.01074006334714097,2.0,8.0
ep_25_lr_0p0005_l1_0p003,25,0.0005,0.003,retail,0.5991231589536054,0.04912201093320889,0.5857260108917031,0.05064517733403668,0.6798001103931003,0.010609689137989048,4.0,10.0
ep_25_lr_0p0005_l1_0p001,25,0.0005,0.001,retail,0.5990103557951169,0.049727178818826934,0.5855845888984961,0.05141680861433374,0.6797955274581909,0.010697634520748543,5.0,9.0
ep_25_lr_0p001_l1_0p003,25,0.001,0.003,retail,0.5970560701472837,0.05070820303852253,0.582409151955702,0.05291184568904131,0.6770907110638089,0.01907883264658926,6.0,2.0
ep_25_lr_0p001_l1_0,25,0.001,0.0,retail,0.5968287194515673,0.051372996503868756,0.582389086536158,0.05320438173691896,0.6773646699057685,0.019503819256431538,7.0,5.0
ep_25_lr_0p001_l1_0p001,25,0.001,0.001,retail,0.5967159162930789,0.050886284781259866,0.582235333010549,0.0526582126647439,0.6772733714845446,0.01935799952162552,8.0,3.0
ep_25_lr_0p001_l1_0p0001,25,0.001,0.0001,retail,0.5967159162930789,0.05147621815673,0.5822417716695748,0.05337201713258228,0.6773555570178562,0.019489151050459775,8.0,4.0
ep_25_lr_0p001_l1_0p01,25,0.001,0.01,retail,0.5963740180601346,0.05064682043920934,0.5817040683208003,0.052721471254816306,0.6765133765008714,0.01813245330698806,10.0,1.0
