experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
lr_0p001_l1_0p01,50,0.001,0.01,foreign,0.6356475424610858,0.032020379026581475,0.6199215664006528,0.03953825315487484,0.6505080077383253,0.028445235949276962,1.0,6.0
lr_0p003_l1_0p01,50,0.003,0.01,foreign,0.6348195440193976,0.035702765948527844,0.6170997463177845,0.04399377888270493,0.6523099872801039,0.03812139249250669,2.0,12.0
lr_0p001_l1_0p0003,50,0.001,0.0003,foreign,0.6347381396782202,0.03270741415789081,0.6189547888227451,0.03957810052687893,0.6501338124275208,0.029704038573766457,3.0,3.0
lr_0p001_l1_0p0001,50,0.001,0.0001,foreign,0.6345107889825039,0.03290990620969318,0.6187483274342301,0.039917097096748344,0.650128780470954,0.029732790921296617,4.0,2.0
lr_0p001_l1_0,50,0.001,0.0,foreign,0.6345090446037643,0.03286075071120836,0.6187797913325274,0.03979440379989357,0.6501263247595893,0.029747150942821855,5.0,1.0
lr_0p001_l1_0p003,50,0.001,0.003,foreign,0.6343962414452758,0.03256967362793276,0.6186691426904212,0.03959587794693833,0.6502067062589857,0.029324843184301074,6.0,5.0
lr_0p001_l1_0p001,50,0.001,0.001,foreign,0.634281693908048,0.03254411814929212,0.6184498951080406,0.03968381954168747,0.65015127658844,0.029604308584631853,7.0,4.0
lr_0p003_l1_0p003,50,0.003,0.003,foreign,0.6331065640971968,0.035369671033436585,0.6153799635454865,0.044308862249277624,0.6522443943553501,0.03889389075305223,8.0,7.0
lr_0p003_l1_0p001,50,0.003,0.001,foreign,0.6325355707897966,0.03464813327734058,0.6148906136206091,0.04407623033034245,0.6522478924857246,0.03900412990749011,9.0,8.0
lr_0p003_l1_0p0003,50,0.003,0.0003,foreign,0.6325355707897966,0.034142168503059005,0.6149126913121373,0.04377759756729968,0.6522636943393283,0.03904815576226948,9.0,9.0
lr_0p003_l1_0,50,0.003,0.0,foreign,0.6324210232525685,0.03403944366690392,0.6148909738395002,0.043208506203738964,0.6522730615403917,0.039068293204544406,11.0,11.0
lr_0p003_l1_0p0001,50,0.003,0.0001,foreign,0.6323064757153407,0.03416655640110914,0.614673227055911,0.04370360488754623,0.6522697700394524,0.039061513226770685,12.0,10.0
lr_0p01_l1_0p01,50,0.01,0.01,foreign,0.6318482855664289,0.03556742447864771,0.6136139264044475,0.042003156293231966,0.6548906604448954,0.03825444512068277,13.0,13.0
lr_0p03_l1_0p003,50,0.03,0.003,foreign,0.6307202539815445,0.03360354785790131,0.6126863715126559,0.04154477674989288,0.6618116007910835,0.046851863350054854,14.0,20.0
lr_0p01_l1_0p0001,50,0.01,0.0001,foreign,0.6304841813921306,0.03107675390802332,0.6121395233658332,0.040233346526293214,0.655503265062968,0.03918603345291676,15.0,17.0
lr_0p01_l1_0,50,0.01,0.0,foreign,0.6304841813921306,0.0309989301252392,0.6121692893964756,0.04032368254109979,0.6555194483862983,0.0391937517050761,15.0,18.0
lr_0p01_l1_0p003,50,0.01,0.003,foreign,0.630478948255912,0.03283635996140213,0.6120473756076824,0.041217103365793796,0.6551579395929973,0.03901359080322515,17.0,14.0
lr_0p01_l1_0p0003,50,0.01,0.0003,foreign,0.6303696338549025,0.031092350060670734,0.6120900575577485,0.04009058242694048,0.6554717871877882,0.03917084764579377,18.0,16.0
lr_0p01_l1_0p001,50,0.01,0.001,foreign,0.6303678894761631,0.031075439270085766,0.6120609902718706,0.03992128050397502,0.6553688234753079,0.039121119423776884,19.0,15.0
lr_0p03_l1_0p01,50,0.03,0.01,foreign,0.6301440275379256,0.037891298325545254,0.6118420879802201,0.04433873323545985,0.6613362537489997,0.0454115282683913,20.0,19.0
lr_0p03_l1_0p001,50,0.03,0.001,foreign,0.6298056180624604,0.032361473745880893,0.6116659636639532,0.04046352570093675,0.6621031416787042,0.04725949173958188,21.0,21.0
lr_0p03_l1_0p0003,50,0.03,0.0003,foreign,0.6290037853018647,0.03153996047352467,0.61084807515027,0.03926286271770673,0.6622221271197001,0.047399249618063244,22.0,22.0
lr_0p03_l1_0p0001,50,0.03,0.0001,foreign,0.6288892377646368,0.03141556394693077,0.6107376732479773,0.039130761974680794,0.6622581270005968,0.047439904078852,23.0,23.0
lr_0p03_l1_0,50,0.03,0.0,foreign,0.6288874933858973,0.03115064933977023,0.6107320210315826,0.03881708297321187,0.6622761739624872,0.047460248324017774,24.0,24.0
lr_0p001_l1_0p0001,50,0.001,0.0001,institution,0.5338078043504806,0.03283605632712888,0.5235607970095791,0.031549101254952076,0.6989051673147414,0.013150132345449417,1.0,5.0
