variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
e0_baseline,2022,243,0.13264792058985422,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.13713578218494832,0.05833809631107888
e0_baseline,2023,245,0.11501235692091819,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.007306605632330867,0.036148234852265614
e0_baseline,2024,244,0.1250793918796472,0.5327868852459017,0.5291879034998301,0.528957528957529,0.06510489022950114,0.09178043289658049
e0_baseline,2025,241,0.12731640618409745,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.05299095747740887,0.07950595401798478
e1_persistence,2022,243,0.13210298586694294,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666585931163,0.07968691840437037
e1_persistence,2023,245,0.11420179402889755,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.13672495827467424,0.05793102017120461
e1_persistence,2024,244,0.12461346944959399,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043040888533806,0.10790147188269839
e1_persistence,2025,241,0.12646841086783325,0.5435684647302904,0.543870523415978,0.5412859911406422,0.12620440713450887,0.09167361504244596
e2_residual_1d,2022,243,0.13258625671285976,0.588477366255144,0.5344475721323012,0.5178571428571428,0.14505804545957499,0.05853147548084279
e2_residual_1d,2023,245,0.11498473707465919,0.4897959183673469,0.49021185304371145,0.48925134670869397,0.00012373491496579664,0.03642575887072398
e2_residual_1d,2024,244,0.12502262770748124,0.5163934426229508,0.5117227319062182,0.5116689280868385,0.06873444872164002,0.09281992492270288
e2_residual_1d,2025,241,0.12751350945862883,0.4979253112033195,0.4983471074380165,0.4928962698895748,0.035962402473691785,0.08496133701408883
e3_residual_5d,2022,243,0.13264556309768497,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.13586582707843536,0.05841155816168441
e3_residual_5d,2023,245,0.11502153655126782,0.5142857142857142,0.5135760257441673,0.5131176834054207,-0.00944998520082691,0.03623014470942752
e3_residual_5d,2024,244,0.12513562088567529,0.5163934426229508,0.5108392796466191,0.5108392796466191,0.0591380615502433,0.09186652808926749
e3_residual_5d,2025,241,0.1273787937459474,0.5186721991701245,0.5189393939393939,0.5168003318584071,0.0467815532017262,0.07974371350998909
e4_benchmark_drift,2022,243,0.13265786865903748,0.588477366255144,0.5327938071780436,0.514233168079322,0.136067998121757,0.05824602364546669
e4_benchmark_drift,2023,245,0.11501212885526066,0.5061224489795918,0.5060002681684097,0.5052982895285774,-0.0069116823931959954,0.03630049793286545
e4_benchmark_drift,2024,244,0.12526586111035118,0.5,0.4924906557934081,0.49232553380176003,0.0440948510669717,0.0927624556890146
e4_benchmark_drift,2025,241,0.1273858542501685,0.5269709543568465,0.5272038567493114,0.5255905511811023,0.047714193416152885,0.08087237713129225
e5_drift_quarter_end,2022,243,0.1326523094575131,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.13769970209308283,0.05778890245116258
e5_drift_quarter_end,2023,245,0.11503956494999883,0.5061224489795918,0.5040895682488603,0.5040070939784838,-0.01380870327090796,0.03602971721795482
e5_drift_quarter_end,2024,244,0.1252488428152749,0.5040983606557377,0.49707781175671084,0.4969929295510691,0.04586794269002686,0.09267331999607996
e5_drift_quarter_end,2025,241,0.1274774503891614,0.5228215767634855,0.5230371900826446,0.5216355696705042,0.03933172884239707,0.08281085188053502
e6_persistence_vkospi,2022,243,0.1320841662275728,0.588477366255144,0.5377551020408163,0.5247222656861211,0.1477846997514971,0.08039072728244744
e6_persistence_vkospi,2023,245,0.11430792219819305,0.5591836734693878,0.5597009922231161,0.5585880154811157,0.11697385461335985,0.060927907445838134
e6_persistence_vkospi,2024,244,0.12464037893962931,0.5163934426229508,0.5152565409446144,0.5143049932523617,0.10182502007508781,0.10802825608105962
e6_persistence_vkospi,2025,241,0.12655506469308064,0.5352697095435685,0.5355027548209367,0.5339135239673989,0.1201632785467419,0.09157431088962817
e7_persistence_liquidity,2022,243,0.13215087691795127,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304811339692,0.07919908879719456
e7_persistence_liquidity,2023,245,0.11416022898706406,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.1415401311646661,0.059161468418740495
e7_persistence_liquidity,2024,244,0.12458153827668476,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.10626818108753099,0.11158059982881569
e7_persistence_liquidity,2025,241,0.12645324756620716,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.12741323472232935,0.09201315719022397
