variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
t0_ep10_lr0p0005_l10p01,institution,underwater,kospi_return_1d,0.0031575655197634,0.0009918375631821,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
t0_ep10_lr0p0005_l10p01,institution,underwater,fx_level_z_252,0.0004649456853965,0.0006008321508942,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
t0_ep10_lr0p0005_l10p01,institution,herd,kospi_return_1d,-0.0003985202216426,0.0006822328822552,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t0_ep10_lr0p0005_l10p01,institution,herd,fx_level_z_252,-0.0016833333007929,0.0012781818683237,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
t0_ep10_lr0p0005_l10p01,institution,momentum,kospi_return_1d,-0.0001659303208321,0.0005302211443013,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
t0_ep10_lr0p0005_l10p01,institution,momentum,fx_level_z_252,0.0002648115126551,0.0004277938267391,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
t0_ep10_lr0p0005_l10p01,institution,volatility,kospi_return_1d,-0.0004280740596489,0.0007827648672851,0.2,0.8,negative,0.8
t0_ep10_lr0p0005_l10p01,institution,volatility,fx_level_z_252,0.0043841462168428,0.0004010820281164,1.0,0.0,positive,1.0
t0_ep10_lr0p0005_l10p01,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t0_ep10_lr0p0005_l10p01,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t10_ep30_lr0p001_l10p01,institution,underwater,kospi_return_1d,0.0034170954012855,0.0016674019978078,1.0,0.0,positive,1.0
t10_ep30_lr0p001_l10p01,institution,underwater,fx_level_z_252,0.0002886314945903,0.0003248210107735,0.8,0.2,positive,0.8
t10_ep30_lr0p001_l10p01,institution,herd,kospi_return_1d,-0.0002118127946838,0.0003796601772833,0.3333333333333333,0.6666666666666666,negative,0.6666666666666666
t10_ep30_lr0p001_l10p01,institution,herd,fx_level_z_252,-0.000728376039155,0.0008573371056027,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
t10_ep30_lr0p001_l10p01,institution,momentum,kospi_return_1d,-0.0001507818737688,0.0004560633789933,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
t10_ep30_lr0p001_l10p01,institution,momentum,fx_level_z_252,9.73366339975554e-05,0.0002025100708001,0.6888888888888889,0.3111111111111111,positive,0.6888888888888889
t10_ep30_lr0p001_l10p01,institution,volatility,kospi_return_1d,-0.0002754215308717,0.000581591932582,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t10_ep30_lr0p001_l10p01,institution,volatility,fx_level_z_252,0.0067546225020325,0.0035209187432272,1.0,0.0,positive,1.0
t10_ep30_lr0p001_l10p01,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t10_ep30_lr0p001_l10p01,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
