variant,comparator,rmse_win_rate,rmse_delta,nrmse_delta,rmse_skill_delta,mse_skill_delta,mae_skill_delta,direction_accuracy_delta,balanced_accuracy_delta,macro_f1_delta,pearson_delta,spearman_delta,std_ratio_delta,tail_direction_accuracy_delta
t10_ep30_lr0p001_l10p01,t0_ep10_lr0p0005_l10p01,0.7555555555555555,-0.0005307019579529969,-0.004023818599689147,0.003972785446098369,0.007747384910456032,0.0043499249999173146,0.008566643989743045,0.012932433154189146,0.013318412802210678,0.028058245906539294,0.019578820502073553,0.07645714444203414,0.00899773242630386
t1_ep50_lr0p0005_l10p01,t0_ep10_lr0p0005_l10p01,0.7555555555555555,-0.0005337418878364346,-0.004060667056402793,0.004010754113044933,0.007841559754756052,0.0044648965047373295,0.008485239648565826,0.012242822242911585,0.012357745129423312,0.027583253920598884,0.01968494338454602,0.06574742335608283,0.010820861678004537
t2_ep50_lr0p001_l10p01,t0_ep10_lr0p0005_l10p01,0.7555555555555555,-0.0005370492557958665,-0.0041227999078597135,0.0040731051040965895,0.007971430030401795,0.004409785225951151,0.011900733220530162,0.015364404329300741,0.017038623804246773,0.02652655182330994,0.018993541255775293,0.06929619821820608,0.015310657596371888
t3_ep50_lr0p001_l10p003,t0_ep10_lr0p0005_l10p01,0.5111111111111111,8.523976788376451e-05,0.0007967417029741686,-0.0007527402902580076,-0.0016322257752631384,-0.00111584812595041,0.01225309772591158,0.01675612802014448,0.01777890360739506,0.01952907214298478,0.021809229300677222,0.13004015821700904,0.018612244897959183
t4_ep50_lr0p001_l10p001,t0_ep10_lr0p0005_l10p01,0.35555555555555557,0.0008453078548641588,0.006870509766232982,-0.006735068757274923,-0.013735651956259335,-0.007283473814456808,0.008598042807054266,0.013343090680291743,0.013607628336501554,0.008429331815842177,0.01564720935944086,0.15357740174906326,0.015011337868480721
t5_ep50_lr0p001_l10p0003,t0_ep10_lr0p0005_l10p01,0.3111111111111111,0.0012246361356297675,0.009877611137643036,-0.009699319421883724,-0.01978889290928391,-0.010038446359226736,0.0081433414156215,0.012811900438608628,0.013082461528768597,0.003025922822361116,0.012023108218043352,0.1620983431836739,0.012317460317460312
t6_ep50_lr0p001_l10,t0_ep10_lr0p0005_l10p01,0.3111111111111111,0.0014068720677103234,0.011326000943206287,-0.011126818329167966,-0.022720722297269364,-0.011366736146760714,0.00677051534762561,0.011475360012935067,0.011766943684736884,0.0005508343633321261,0.010103626904265592,0.1658849324036512,0.010040816326530609
t7_ep20_lr0p0005_l10p01,t0_ep10_lr0p0005_l10p01,0.7333333333333333,-0.00027504216524152665,-0.0020208706751416185,0.0019893137031967217,0.003893160247143738,0.0017143280339201317,0.006494322047202891,0.007377514548230262,0.007623075578106399,0.009639504031233112,0.0009183485251144769,0.04018338716197633,0.010376417233560094
t8_ep30_lr0p0005_l10p01,t0_ep10_lr0p0005_l10p01,0.7555555555555555,-0.0003765327090282421,-0.0027217182826691265,0.002677847956761053,0.0052207168684322925,0.0025109816408970327,0.010855850355562534,0.013229208424353718,0.013076480035044306,0.018344484261099785,0.010581432488001516,0.05425334356121933,0.01938321995464853
t9_ep20_lr0p001_l10p01,t0_ep10_lr0p0005_l10p01,0.7111111111111111,-0.00041630030897363155,-0.002967651392181398,0.0029201112724315864,0.005665317402012909,0.002943658332165048,0.011095411702455503,0.014111210232498624,0.013825103588387866,0.022388188701432984,0.014815879741271128,0.07455119315039672,0.020281179138322003
