variant,investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
t0_ep10_lr0p0005_l10p01,institution,underwater,-0.0009710338423448,0.0009521326624348,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
t0_ep10_lr0p0005_l10p01,institution,herd,-0.0038684977140898,0.0008197167737526,0.0,1.0,negative,1.0
t0_ep10_lr0p0005_l10p01,institution,momentum,-0.0008294257141339,0.0012687826301603,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
t0_ep10_lr0p0005_l10p01,institution,volatility,0.0025359396589111,0.0018648615706705,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
t0_ep10_lr0p0005_l10p01,institution,execution_persistence_3,0.004772901121113,6.218271211595421e-05,1.0,0.0,positive,1.0
t10_ep30_lr0p001_l10p01,institution,underwater,-0.000200649285883,0.0002962365310707,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t10_ep30_lr0p001_l10p01,institution,herd,-0.0003520530341322,0.0005844065469972,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t10_ep30_lr0p001_l10p01,institution,momentum,-0.0010992335996383,0.0014500582793229,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
t10_ep30_lr0p001_l10p01,institution,volatility,0.0017869406729005,0.0022573681091539,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
t10_ep30_lr0p001_l10p01,institution,execution_persistence_3,0.0169110575276944,0.0026379204064672,1.0,0.0,positive,1.0
t1_ep50_lr0p0005_l10p01,institution,underwater,-7.500866702482906e-05,0.0001260545102947,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t1_ep50_lr0p0005_l10p01,institution,herd,-0.0004858917530024,0.0006518153613025,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
t1_ep50_lr0p0005_l10p01,institution,momentum,-0.0010942918024132,0.0015700821986066,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
t1_ep50_lr0p0005_l10p01,institution,volatility,0.0019701489953149,0.0024823987664272,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
t1_ep50_lr0p0005_l10p01,institution,execution_persistence_3,0.0152247875307997,0.0019686609992889,1.0,0.0,positive,1.0
t2_ep50_lr0p001_l10p01,institution,underwater,-9.8586634703679e-05,0.0001782515339893,0.3777777777777777,0.6222222222222222,negative,0.6222222222222222
t2_ep50_lr0p001_l10p01,institution,herd,-0.0003315555694118,0.0004631075057026,0.2,0.8,negative,0.8
t2_ep50_lr0p001_l10p01,institution,momentum,-0.0012058698956227,0.0015768874191471,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
t2_ep50_lr0p001_l10p01,institution,volatility,0.0022190515218325,0.0026576255393276,0.9555555555555556,0.0444444444444444,positive,0.9555555555555556
t2_ep50_lr0p001_l10p01,institution,execution_persistence_3,0.0162272940079371,0.0028898587335712,1.0,0.0,positive,1.0
t3_ep50_lr0p001_l10p003,institution,underwater,0.0002501563043349,0.0007380045854848,0.6888888888888889,0.3111111111111111,positive,0.6888888888888889
t3_ep50_lr0p001_l10p003,institution,herd,-0.0005636825578727,0.001206559818064,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
t3_ep50_lr0p001_l10p003,institution,momentum,-0.005163099283042,0.0023961573909276,0.0,1.0,negative,1.0
t3_ep50_lr0p001_l10p003,institution,volatility,0.004175796658415,0.0036845538539066,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
t3_ep50_lr0p001_l10p003,institution,execution_persistence_3,0.0197367450429333,0.0031931166506083,1.0,0.0,positive,1.0
t4_ep50_lr0p001_l10p001,institution,underwater,0.0015250926599845,0.002332012694758,0.7111111111111111,0.2888888888888888,positive,0.7111111111111111
t4_ep50_lr0p001_l10p001,institution,herd,0.0001918283343709,0.0023019287737814,0.4444444444444444,0.5555555555555556,positive,0.4444444444444444
t4_ep50_lr0p001_l10p001,institution,momentum,-0.0063060376353354,0.0023506747703817,0.0,1.0,negative,1.0
t4_ep50_lr0p001_l10p001,institution,volatility,0.0048617088994231,0.0040856983403426,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
t4_ep50_lr0p001_l10p001,institution,execution_persistence_3,0.0208566638330618,0.0034293499135125,1.0,0.0,positive,1.0
t5_ep50_lr0p001_l10p0003,institution,underwater,0.002504684803878,0.0029085644978292,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
t5_ep50_lr0p001_l10p0003,institution,herd,0.0006266771645136,0.0027635934996705,0.5777777777777777,0.4222222222222222,positive,0.5777777777777777
t5_ep50_lr0p001_l10p0003,institution,momentum,-0.0067022358998656,0.0023033794873602,0.0,1.0,negative,1.0
t5_ep50_lr0p001_l10p0003,institution,volatility,0.0050686601614062,0.0042490977292325,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
t5_ep50_lr0p001_l10p0003,institution,execution_persistence_3,0.0211826598064766,0.0035142405681573,1.0,0.0,positive,1.0
t6_ep50_lr0p001_l10,institution,underwater,0.002933779246814,0.0031807544345894,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
t6_ep50_lr0p001_l10,institution,herd,0.0007980112696208,0.0029678220696454,0.5777777777777777,0.4222222222222222,positive,0.5777777777777777
t6_ep50_lr0p001_l10,institution,momentum,-0.0068697666620007,0.0022993972302084,0.0,1.0,negative,1.0
t6_ep50_lr0p001_l10,institution,volatility,0.0051601908971659,0.0043159762597696,0.8888888888888888,0.1111111111111111,positive,0.8888888888888888
t6_ep50_lr0p001_l10,institution,execution_persistence_3,0.0212980941144956,0.0035505280384978,1.0,0.0,positive,1.0
t7_ep20_lr0p0005_l10p01,institution,underwater,-0.0001850223840544,0.0003972671726807,0.3333333333333333,0.6666666666666666,negative,0.6666666666666666
t7_ep20_lr0p0005_l10p01,institution,herd,-0.0044318724087336,0.002254729461085,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
t7_ep20_lr0p0005_l10p01,institution,momentum,-0.0011524069861479,0.0018563291089277,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
t7_ep20_lr0p0005_l10p01,institution,volatility,0.0030004489172521,0.0028242403282312,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
t7_ep20_lr0p0005_l10p01,institution,execution_persistence_3,0.0088309355701009,0.0003311536470911,1.0,0.0,positive,1.0
t8_ep30_lr0p0005_l10p01,institution,underwater,-0.0001078606854308,0.0002153893352761,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t8_ep30_lr0p0005_l10p01,institution,herd,-0.0025529930577451,0.0024246669743797,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
t8_ep30_lr0p0005_l10p01,institution,momentum,-0.0011964839786135,0.0017285577418439,0.0222222222222222,0.9777777777777776,negative,0.9777777777777776
t8_ep30_lr0p0005_l10p01,institution,volatility,0.0023160282760525,0.0029623457922007,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
t8_ep30_lr0p0005_l10p01,institution,execution_persistence_3,0.011825014795694,0.0008574480882065,1.0,0.0,positive,1.0
t9_ep20_lr0p001_l10p01,institution,underwater,-0.000254671982192,0.0004359303978244,0.3333333333333333,0.6666666666666666,negative,0.6666666666666666
