variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
t0_ep10_lr0p0005_l10p01,2022,243,0.13210298586694294,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666585931163,0.07968691840437037
t0_ep10_lr0p0005_l10p01,2023,245,0.11420179402889755,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.13672495827467424,0.05793102017120461
t0_ep10_lr0p0005_l10p01,2024,244,0.12461346944959399,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043040888533806,0.10790147188269839
t0_ep10_lr0p0005_l10p01,2025,241,0.12646841086783325,0.5435684647302904,0.543870523415978,0.5412859911406422,0.12620440713450887,0.09167361504244596
t10_ep30_lr0p001_l10p01,2022,243,0.13153981124084263,0.588477366255144,0.5493314567206192,0.5451482479784366,0.13486640578490539,0.16301525719761897
t10_ep30_lr0p001_l10p01,2023,245,0.11387115974498487,0.5591836734693878,0.5679806918744972,0.5570510245078344,0.15262276213933998,0.13788647849918875
t10_ep30_lr0p001_l10p01,2024,244,0.12401868722384922,0.5655737704918032,0.5658851512062522,0.5641388608021571,0.14923346314109245,0.18036754580612419
t10_ep30_lr0p001_l10p01,2025,241,0.12545085748269053,0.5477178423236515,0.5478305785123967,0.5474373331036265,0.17584637762523145,0.15452425846672704
t1_ep50_lr0p0005_l10p01,2022,243,0.1315286348045894,0.5843621399176955,0.5458831808585504,0.541877438261811,0.13740868257031252,0.14738464929165393
t1_ep50_lr0p0005_l10p01,2023,245,0.11379392449268537,0.5510204081632653,0.5597680343255564,0.5488482657024241,0.1569838145939582,0.12835031651993253
t1_ep50_lr0p0005_l10p01,2024,244,0.12405240375872867,0.5614754098360656,0.5604145429833504,0.5593363377048627,0.14641692452167263,0.1719198713075773
t1_ep50_lr0p0005_l10p01,2025,241,0.1255839629889622,0.5560165975103735,0.5561294765840221,0.555741235248514,0.17156063852903272,0.14721632000075272
t2_ep50_lr0p001_l10p01,2022,243,0.13161080620599241,0.5925925925925926,0.5527797325826882,0.5484204005781541,0.13495325345278097,0.15453318561338472
t2_ep50_lr0p001_l10p01,2023,245,0.11366808239913108,0.563265306122449,0.5698578707428266,0.5625365039632875,0.16055037841229167,0.12899454562740814
t2_ep50_lr0p001_l10p01,2024,244,0.12410064770581401,0.5573770491803278,0.5575942915392457,0.5559150657229526,0.14285286244087322,0.17517354202041238
t2_ep50_lr0p001_l10p01,2025,241,0.12561004949349924,0.5560165975103735,0.556095041322314,0.5558942564367519,0.17050630709123255,0.14958301502402577
t3_ep50_lr0p001_l10p003,2022,243,0.13129985182250212,0.5679012345679012,0.5271287825475017,0.5210519400071331,0.13267104452830852,0.20217438684528627
t3_ep50_lr0p001_l10p003,2023,245,0.11370122178002026,0.5510204081632653,0.5559466344864574,0.5508333333333333,0.1573169766604894,0.15956288114099615
t3_ep50_lr0p001_l10p003,2024,244,0.12521158864530377,0.5409836065573771,0.5454298335032279,0.5408602150537634,0.14401430918164485,0.2572769812314284
t3_ep50_lr0p001_l10p003,2025,241,0.12671822147186498,0.5767634854771784,0.5767906336088154,0.5767561983471075,0.1429605994715761,0.2238715477120362
t4_ep50_lr0p001_l10p001,2022,243,0.13125926699734644,0.5679012345679012,0.5271287825475017,0.5210519400071331,0.13172706565028058,0.2150653765743187
t4_ep50_lr0p001_l10p001,2023,245,0.11388718144615731,0.5551020408163265,0.5603714132475195,0.554835053093067,0.1483094668905423,0.1676826473890169
t4_ep50_lr0p001_l10p001,2024,244,0.12636399313326288,0.5491803278688525,0.5528372409106355,0.54890756302521,0.13257568387733676,0.2900801399595754
t4_ep50_lr0p001_l10p001,2025,241,0.12780782072304123,0.5767634854771784,0.5767217630853995,0.5766978922716628,0.12432788665806603,0.25453006993673954
t5_ep50_lr0p001_l10p0003,2022,243,0.13122952286063763,0.5720164609053497,0.5305770584095708,0.5242469879518072,0.13201379417580097,0.21814893885708803
t5_ep50_lr0p001_l10p0003,2023,245,0.11398647538689534,0.5510204081632653,0.5559466344864574,0.5508333333333333,0.14355994213191586,0.17042065657530528
t5_ep50_lr0p001_l10p0003,2024,244,0.12686755064724287,0.5573770491803278,0.5620115528372409,0.5572580645161291,0.12735914433398607,0.3012420190740188
t5_ep50_lr0p001_l10p0003,2025,241,0.12837845452660043,0.5726141078838174,0.5725550964187328,0.5724963403082752,0.11510050625072875,0.2665197297270158
t6_ep50_lr0p001_l10,2022,243,0.1312334843479588,0.5720164609053497,0.5305770584095708,0.5242469879518072,0.1316271278166939,0.21922409352864283
t6_ep50_lr0p001_l10,2023,245,0.11403380103500102,0.5551020408163265,0.5603714132475195,0.554835053093067,0.14129439561255724,0.17150027693193312
