investor,metric,mean,std
foreign,mae,0.19614643450120967,0.014089393148605998
institution,mae,0.0940069200472954,0.00815501765223088
retail,mae,0.2652168462159289,0.02774970796257243
foreign,rmse,0.24401280143656645,0.014813004316612935
institution,rmse,0.12461050251495011,0.011938508068334665
retail,rmse,0.3157717789450611,0.027395799011645586
foreign,mse,0.0597567962485411,0.007246601022688193
institution,mse,0.015667138023595022,0.0029657462800055856
retail,mse,0.10044566774153754,0.01689158481698414
foreign,direction_accuracy,0.6148650141585408,0.06420279680474639
institution,direction_accuracy,0.5340659724039283,0.04928332172896645
retail,direction_accuracy,0.6038783353975148,0.04947503956193346
foreign,correlation,0.2822968479376582,0.11878981952863817
institution,correlation,0.07714917114828497,0.07622398654671776
retail,correlation,0.2568078347981417,0.11169663888192678
foreign,saturation_rate,0.0,0.0
institution,saturation_rate,0.0,0.0
retail,saturation_rate,0.0,0.0
