run,investor,feature,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
5features + context (7/13),foreign,momentum,0.0520014357235696,0.0065496594273018,1.0,0.0,positive,1.0
5features + context (7/13),foreign,shortmom_orth,0.0259499596638811,0.0067115785350837,1.0,0.0,positive,1.0
5features + context (7/13),foreign,relative,0.0215993688027891,0.0089611705670113,1.0,0.0,positive,1.0
5features + context (7/13),foreign,herd,-0.0283588437363505,0.0063976396991003,0.0,1.0,negative,1.0
5features + context (7/13),foreign,underwater,0.0086328314591406,0.005805675682128,0.9333333333333332,0.0666666666666666,positive,0.9333333333333332
5features + context (7/13),institution,momentum,-0.0005952975652083,0.0011262921344142,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
5features + context (7/13),institution,shortmom_orth,-6.519146392949753e-05,0.0003222154031101,0.4888888888888889,0.5111111111111111,negative,0.5111111111111111
5features + context (7/13),institution,relative,0.0003793840309905,0.00114993021672,0.5555555555555556,0.4444444444444444,positive,0.5555555555555556
5features + context (7/13),institution,herd,-0.0043813321687695,0.0005509349826365,0.0,1.0,negative,1.0
5features + context (7/13),institution,underwater,-0.0007303498273864,0.0008516576985903,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
5features + context (7/13),retail,momentum,-0.0283280726522207,0.0014143211180993,0.0,1.0,negative,1.0
5features + context (7/13),retail,shortmom_orth,-0.0242355565850933,0.003327845495697,0.0,1.0,negative,1.0
5features + context (7/13),retail,relative,-0.0292733697841564,0.0014942263737784,0.0,1.0,negative,1.0
5features + context (7/13),retail,herd,-0.0293940592971113,0.0019699848326842,0.0,1.0,negative,1.0
5features + context (7/13),retail,underwater,0.0279510995166169,0.0022099573763511,1.0,0.0,positive,1.0
3features + context,foreign,momentum,0.0607909634709358,0.006434247017998,1.0,0.0,positive,1.0
3features + context,foreign,herd,-0.0407605426592959,0.00632632956549,0.0,1.0,negative,1.0
3features + context,foreign,underwater,0.0023420331778147,0.0062919965127235,0.6444444444444445,0.3555555555555555,positive,0.6444444444444445
3features + context,institution,momentum,-0.0006407987837317,0.0011866045473231,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
3features + context,institution,herd,-0.0043954003421175,0.000540013998621,0.0,1.0,negative,1.0
3features + context,institution,underwater,-0.0007319479019012,0.0008366698110958,0.1111111111111111,0.8888888888888888,negative,0.8888888888888888
3features + context,retail,momentum,-0.032242450531986,0.000995148115586,0.0,1.0,negative,1.0
3features + context,retail,herd,-0.033035355930527,0.0012285632698067,0.0,1.0,negative,1.0
3features + context,retail,underwater,0.032041468967994,0.0016551727589514,1.0,0.0,positive,1.0
3features no context,foreign,momentum,0.058601253065798,0.0064502697957152,1.0,0.0,positive,1.0
3features no context,foreign,herd,-0.0410819328079621,0.0061294790319569,0.0,1.0,negative,1.0
3features no context,foreign,underwater,0.0022769953867585,0.0061189404726721,0.7111111111111111,0.2888888888888888,positive,0.7111111111111111
3features no context,institution,momentum,-0.0005903290760114,0.0011466789531881,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
3features no context,institution,herd,-0.004392760601412,0.0005338265412575,0.0,1.0,negative,1.0
3features no context,institution,underwater,-0.0014573882490771,0.0013921960555161,0.1333333333333333,0.8666666666666667,negative,0.8666666666666667
3features no context,retail,momentum,-0.0330935820937156,0.0011333155739396,0.0,1.0,negative,1.0
3features no context,retail,herd,-0.0337198492553499,0.0009930399235989,0.0,1.0,negative,1.0
3features no context,retail,underwater,0.0306569842828644,0.0022318548849558,1.0,0.0,positive,1.0
