investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,1,0.065796,0.0026104994297504206,0.059661,0.070559,0.065796,0.0026104994297504206
foreign,2,0.0648872,0.0025549451746474977,0.059037,0.06961,0.0648872,0.0025549451746474977
foreign,3,0.06408991111111112,0.0025042866868833133,0.058491,0.068746,0.06408991111111112,0.0025042866868833133
foreign,4,0.06337737777777777,0.002463576412536061,0.058019,0.067986,0.06337737777777777,0.002463576412536061
foreign,5,0.06273593333333333,0.0024163248897297036,0.057625,0.067337,0.06273593333333333,0.0024163248897297036
foreign,6,0.06216984444444444,0.002362852032026661,0.057289,0.066748,0.06216984444444444,0.002362852032026661
foreign,7,0.06166002222222222,0.0023075048949902674,0.05702,0.066147,0.06166002222222222,0.0023075048949902674
foreign,8,0.061209044444444444,0.002249909815925513,0.056803,0.065736,0.061209044444444444,0.002249909815925513
foreign,9,0.060819511111111106,0.0022025222795511484,0.056625,0.065303,0.060819511111111106,0.0022025222795511484
foreign,10,0.060485622222222216,0.002159741180715125,0.056412,0.064945,0.060485622222222216,0.002159741180715125
foreign,11,0.06019404444444444,0.002114126210599413,0.056177,0.064632,0.06019404444444444,0.002114126210599413
foreign,12,0.05993882222222222,0.0020787744672904267,0.055951,0.064312,0.05993882222222222,0.0020787744672904267
foreign,13,0.05972395555555555,0.0020476098700186974,0.055812,0.064075,0.05972395555555555,0.0020476098700186974
foreign,14,0.059539822222222226,0.0020144384203779845,0.055688,0.063844,0.059539822222222226,0.0020144384203779845
foreign,15,0.05938335555555556,0.0019947273242174714,0.055535,0.06371,0.05938335555555556,0.0019947273242174714
foreign,16,0.059248666666666665,0.0019752587632556337,0.055436,0.063535,0.059248666666666665,0.0019752587632556337
foreign,17,0.05914026666666667,0.001959601819479942,0.055353,0.063421,0.05914026666666667,0.001959601819479942
foreign,18,0.059054999999999996,0.0019483369598431656,0.055309,0.063319,0.059054999999999996,0.0019483369598431656
foreign,19,0.058978555555555555,0.0019369333488738814,0.055252,0.063201,0.058978555555555555,0.0019369333488738814
foreign,20,0.058917222222222225,0.0019333318025072307,0.055207,0.063143,0.058917222222222225,0.0019333318025072307
foreign,21,0.058867222222222224,0.0019274720595650779,0.055172,0.063092,0.058867222222222224,0.0019274720595650779
foreign,22,0.05882546666666667,0.0019241806945956357,0.055163,0.06303,0.05882546666666667,0.0019241806945956357
foreign,23,0.05879042222222222,0.0019214606362784718,0.055125,0.062998,0.05879042222222222,0.0019214606362784718
foreign,24,0.05876048888888889,0.0019187129163987919,0.055111,0.062968,0.05876048888888889,0.0019187129163987919
foreign,25,0.05873744444444444,0.0019190644211503822,0.055094,0.062951,0.05873744444444444,0.0019190644211503822
