investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,1,0.06558662222222221,0.00262354863157179,0.059451,0.070349,0.06558662222222221,0.00262354863157179
foreign,2,0.06398486666666667,0.0025792885259311353,0.058133,0.068885,0.06398486666666667,0.0025792885259311353
foreign,3,0.06270833333333334,0.0025464176440996122,0.056962,0.067611,0.06270833333333334,0.0025464176440996122
foreign,4,0.061641022222222216,0.002521411640051236,0.056134,0.066531,0.061641022222222216,0.002521411640051236
foreign,5,0.06073286666666666,0.0024891880165664837,0.055502,0.06571,0.06073286666666666,0.0024891880165664837
foreign,6,0.0599566,0.0024504044415713773,0.054956,0.064902,0.0599566,0.0024504044415713773
foreign,7,0.059304244444444446,0.00241657099434448,0.054563,0.064183,0.059304244444444446,0.00241657099434448
foreign,8,0.05875555555555556,0.00237016856473385,0.054285,0.063694,0.05875555555555556,0.00237016856473385
foreign,9,0.05831597777777778,0.0023362995652496843,0.05393,0.06321,0.05831597777777778,0.0023362995652496843
foreign,10,0.057954399999999996,0.002304736470835656,0.053683,0.06284,0.057954399999999996,0.002304736470835656
foreign,11,0.05765884444444444,0.002272310157642492,0.053467,0.062539,0.05765884444444444,0.002272310157642492
foreign,12,0.057415266666666666,0.0022400023173689315,0.053377,0.062215,0.057415266666666666,0.0022400023173689315
foreign,13,0.05722144444444445,0.002218401856738267,0.053256,0.062004,0.05722144444444445,0.002218401856738267
foreign,14,0.0570614,0.002197143231976055,0.053155,0.061808,0.0570614,0.002197143231976055
foreign,15,0.05693106666666667,0.002182415836136225,0.053078,0.061689,0.05693106666666667,0.002182415836136225
foreign,16,0.05682171111111111,0.0021722293912666843,0.052975,0.061536,0.05682171111111111,0.0021722293912666843
foreign,17,0.05673388888888889,0.002162425313709987,0.0529,0.061447,0.05673388888888889,0.002162425313709987
foreign,18,0.056658822222222224,0.002151488800478836,0.052826,0.061337,0.056658822222222224,0.002151488800478836
foreign,19,0.05658902222222222,0.0021441624714653514,0.052783,0.061233,0.05658902222222222,0.0021441624714653514
foreign,20,0.05653973333333333,0.0021380009503357026,0.052734,0.061184,0.05653973333333333,0.0021380009503357026
foreign,21,0.056496844444444444,0.0021322545361824666,0.052704,0.061121,0.056496844444444444,0.0021322545361824666
foreign,22,0.0564624,0.00212498362988347,0.052688,0.061068,0.0564624,0.00212498362988347
foreign,23,0.056429822222222224,0.00212490234309174,0.052654,0.061031,0.056429822222222224,0.00212490234309174
foreign,24,0.05640264444444444,0.002115160526419981,0.05266,0.060987,0.05640264444444444,0.002115160526419981
foreign,25,0.05638066666666666,0.0021123189755681924,0.052619,0.060959,0.05638066666666666,0.0021123189755681924
foreign,26,0.056366933333333334,0.002107446013543407,0.052617,0.060952,0.056366933333333334,0.002107446013543407
foreign,27,0.056354511111111116,0.002099952820056831,0.052603,0.06093,0.056354511111111116,0.002099952820056831
foreign,28,0.05634368888888889,0.0020965703793470805,0.052598,0.060909,0.05634368888888889,0.0020965703793470805
foreign,29,0.056335644444444444,0.0020932593458262375,0.052615,0.060912,0.056335644444444444,0.0020932593458262375
foreign,30,0.05632913333333333,0.0020915063253767394,0.052597,0.06089,0.05632913333333333,0.0020915063253767394
foreign,31,0.05632535555555556,0.0020917660237177098,0.052602,0.060886,0.05632535555555556,0.0020917660237177098
foreign,32,0.05631968888888889,0.0020917521561667585,0.052582,0.060902,0.05631968888888889,0.0020917521561667585
foreign,33,0.05631835555555556,0.0020902580218671073,0.052594,0.060874,0.05631835555555556,0.0020902580218671073
foreign,34,0.05631762222222222,0.0020903517243069706,0.052595,0.060889,0.05631762222222222,0.0020903517243069706
foreign,35,0.056314866666666664,0.0020902160566880082,0.052592,0.060869,0.056314866666666664,0.0020902160566880082
foreign,36,0.05631033333333333,0.0020889068802953984,0.052586,0.06087,0.05631033333333333,0.0020889068802953984
foreign,37,0.056308533333333334,0.0020897587681574415,0.052591,0.060882,0.056308533333333334,0.0020897587681574415
foreign,38,0.05630584444444445,0.002093338253468449,0.052583,0.060867,0.05630584444444445,0.002093338253468449
foreign,39,0.056302866666666666,0.0020957582333674066,0.052586,0.060859,0.056302866666666666,0.0020957582333674066
foreign,40,0.05629326666666667,0.0020923933925270626,0.052576,0.060864,0.05629326666666667,0.0020923933925270626
foreign,41,0.056297,0.0021083094261430497,0.052578,0.060867,0.056297,0.0021083094261430497
foreign,42,0.056294177777777774,0.0021086090664107202,0.05258,0.060866,0.056294177777777774,0.0021086090664107202
