investor,context,feature,context_z,mean,p10,p90
foreign,fx_level_z_252,herd,-2.0,-0.04766667095326629,-0.06570305749773955,-0.03161070346832278
foreign,fx_level_z_252,herd,-1.95,-0.047479660810313275,-0.06493406930007019,-0.03169874811545017
foreign,fx_level_z_252,herd,-1.9,-0.04729265066736026,-0.06416588911786654,-0.03178679276257756
foreign,fx_level_z_252,herd,-1.85,-0.04710564052440725,-0.0633977089356629,-0.03187483740970495
foreign,fx_level_z_252,herd,-1.8,-0.04691863038145424,-0.06262952875345926,-0.03196288205683233
foreign,fx_level_z_252,herd,-1.75,-0.04673162023850123,-0.06186134857125561,-0.032050926703959724
foreign,fx_level_z_252,herd,-1.7,-0.04654461009554822,-0.06109316838905197,-0.03213897135108711
foreign,fx_level_z_252,herd,-1.65,-0.04635759995259521,-0.06032498820684832,-0.0322270159982145
foreign,fx_level_z_252,herd,-1.6,-0.0461705898096422,-0.05955680802464467,-0.03231506064534189
foreign,fx_level_z_252,herd,-1.55,-0.04598357966668919,-0.05878862784244102,-0.03240310529246928
foreign,fx_level_z_252,herd,-1.5,-0.045796569523736175,-0.05802044766023738,-0.03249114993959667
foreign,fx_level_z_252,herd,-1.45,-0.04560955938078316,-0.05724369393661603,-0.03257919458672406
foreign,fx_level_z_252,herd,-1.4,-0.04542254923783015,-0.056401028558611725,-0.032667239233851446
foreign,fx_level_z_252,herd,-1.35,-0.04523553909487714,-0.055558363180607424,-0.032755283880978835
foreign,fx_level_z_252,herd,-1.2999999999999998,-0.04504852895192413,-0.054721973128616645,-0.03284332852810622
foreign,fx_level_z_252,herd,-1.25,-0.044861518808971115,-0.053899002168327416,-0.03293137317523361
foreign,fx_level_z_252,herd,-1.2,-0.0446745086660181,-0.05309832833707314,-0.033019417822361
foreign,fx_level_z_252,herd,-1.15,-0.0444874985230651,-0.052615310982800846,-0.03310746246948839
foreign,fx_level_z_252,herd,-1.1,-0.04430048838011208,-0.052078283810987974,-0.033163938508368976
foreign,fx_level_z_252,herd,-1.0499999999999998,-0.04411347823715907,-0.05185181224253016,-0.03313227955950419
foreign,fx_level_z_252,herd,-1.0,-0.04392646809420606,-0.05163088878616678,-0.033096605725586356
foreign,fx_level_z_252,herd,-0.95,-0.04373945795125305,-0.0514099653298034,-0.03294106128392729
foreign,fx_level_z_252,herd,-0.8999999999999999,-0.04355244780830004,-0.051189041873440026,-0.03261828242801117
foreign,fx_level_z_252,herd,-0.8499999999999999,-0.04336543766534703,-0.05077333409339176,-0.03222442004363971
foreign,fx_level_z_252,herd,-0.7999999999999998,-0.043178427522394015,-0.05049767091870293,-0.0322737897932529
foreign,fx_level_z_252,herd,-0.75,-0.042991417379441,-0.050247757695615146,-0.03233053412986914
foreign,fx_level_z_252,herd,-0.7,-0.04280440723648799,-0.049997844472527364,-0.03233064291533077
foreign,fx_level_z_252,herd,-0.6499999999999999,-0.04261739709353498,-0.04974793124943958,-0.03233075170079241
foreign,fx_level_z_252,herd,-0.5999999999999999,-0.04243038695058197,-0.049498018026351794,-0.03233086048625404
foreign,fx_level_z_252,herd,-0.5499999999999998,-0.042243376807628956,-0.04924810480326401,-0.03233096927171567
foreign,fx_level_z_252,herd,-0.5,-0.042056366664675944,-0.04899819158017623,-0.032366103096865086
foreign,fx_level_z_252,herd,-0.44999999999999996,-0.04186935652172294,-0.04874827835708845,-0.03252687051659447
foreign,fx_level_z_252,herd,-0.3999999999999999,-0.04168234637876993,-0.048498365134000666,-0.032849475666880575
foreign,fx_level_z_252,herd,-0.34999999999999987,-0.041495336235816915,-0.04824845191091288,-0.03320024205371733
foreign,fx_level_z_252,herd,-0.2999999999999998,-0.0413083260928639,-0.047998538687825096,-0.033397054187953426
foreign,fx_level_z_252,herd,-0.25,-0.04112131594991089,-0.047748625464737314,-0.03345915414392943
foreign,fx_level_z_252,herd,-0.19999999999999996,-0.04093430580695788,-0.04749871224164953,-0.03347609717398877
foreign,fx_level_z_252,herd,-0.1499999999999999,-0.04074729566400487,-0.04724879901856175,-0.033468699215445624
foreign,fx_level_z_252,herd,-0.09999999999999987,-0.040560285521051856,-0.047089380100369366,-0.0332054966082796
foreign,fx_level_z_252,herd,-0.04999999999999982,-0.040373275378098844,-0.04703437950462094,-0.032781051918864205
foreign,fx_level_z_252,herd,0.0,-0.04018626523514583,-0.04706958308815948,-0.0320333063602447
foreign,fx_level_z_252,herd,0.050000000000000266,-0.03999925509219282,-0.046991496202535836,-0.031562343137338696
foreign,fx_level_z_252,herd,0.10000000000000009,-0.03981224494923981,-0.04679200926795595,-0.030866363290697255
foreign,fx_level_z_252,herd,0.1499999999999999,-0.0396252348062868,-0.0464335071481764,-0.030196211312431782
foreign,fx_level_z_252,herd,0.20000000000000018,-0.03943822466333379,-0.046638406310230404,-0.029677320364862612
foreign,fx_level_z_252,herd,0.25,-0.03925121452038078,-0.04648843612521879,-0.02930728346109382
foreign,fx_level_z_252,herd,0.30000000000000027,-0.03906420437742776,-0.046538753286003993,-0.02900634789839383
foreign,fx_level_z_252,herd,0.3500000000000001,-0.03887719423447475,-0.04659188866615285,-0.028277674177661506
foreign,fx_level_z_252,herd,0.40000000000000036,-0.03869018409152174,-0.04684676095843304,-0.027549000456929172
foreign,fx_level_z_252,herd,0.4500000000000002,-0.03850317394856873,-0.04710389373823989,-0.02682032673619685
foreign,fx_level_z_252,herd,0.5,-0.03831616380561572,-0.04736102651804674,-0.02609165301546452
foreign,fx_level_z_252,herd,0.5500000000000003,-0.03812915366266271,-0.04761815929785359,-0.025359729211777433
foreign,fx_level_z_252,herd,0.6000000000000001,-0.037942143519709697,-0.04787529207766044,-0.024621453508734698
foreign,fx_level_z_252,herd,0.6500000000000004,-0.037755133376756685,-0.04813242485746729,-0.023838437609374513
foreign,fx_level_z_252,herd,0.7000000000000002,-0.03756812323380368,-0.04838955763727414,-0.022999203167855718
foreign,fx_level_z_252,herd,0.75,-0.03738111309085067,-0.048646690417080994,-0.022159884776920064
foreign,fx_level_z_252,herd,0.8000000000000003,-0.03719410294789765,-0.048903823196887845,-0.021320566385984403
foreign,fx_level_z_252,herd,0.8500000000000001,-0.03700709280494464,-0.04916095597669469,-0.02048124799504875
foreign,fx_level_z_252,herd,0.9000000000000004,-0.036820082661991625,-0.04941808875650154,-0.01964192960411309
foreign,fx_level_z_252,herd,0.9500000000000002,-0.03663307251903861,-0.04967522153630839,-0.018802611213177434
foreign,fx_level_z_252,herd,1.0,-0.03644606237608561,-0.049932354316115236,-0.01800552029162644
foreign,fx_level_z_252,herd,1.0500000000000003,-0.036259052233132597,-0.05018948709592209,-0.01726472795940934
foreign,fx_level_z_252,herd,1.1,-0.036072042090179585,-0.05044661987572894,-0.016523935627192246
foreign,fx_level_z_252,herd,1.1500000000000004,-0.03588503194722657,-0.05070375265553579,-0.015783143294975148
foreign,fx_level_z_252,herd,1.2000000000000002,-0.03569802180427356,-0.05096736598759876,-0.015042350962758055
foreign,fx_level_z_252,herd,1.25,-0.03551101166132055,-0.05123609590809779,-0.014301558630540964
foreign,fx_level_z_252,herd,1.3000000000000003,-0.03532400151836754,-0.05150482582859681,-0.013559654001146533
foreign,fx_level_z_252,herd,1.35,-0.035136991375414525,-0.05177355574909583,-0.012808420686051234
foreign,fx_level_z_252,herd,1.4000000000000004,-0.03494998123246151,-0.05204228566959486,-0.012057187370955928
foreign,fx_level_z_252,herd,1.4500000000000002,-0.0347629710895085,-0.052311015590093886,-0.011305954055860627
foreign,fx_level_z_252,herd,1.5,-0.03457596094655549,-0.052579745510592905,-0.010554720740765326
foreign,fx_level_z_252,herd,1.5500000000000003,-0.03438895080360248,-0.05284847543109193,-0.00980348742567002
foreign,fx_level_z_252,herd,1.6,-0.03420194066064947,-0.05311720535159096,-0.009052254110574719
foreign,fx_level_z_252,herd,1.6500000000000004,-0.03401493051769646,-0.053385935272089985,-0.008301020795479412
