split,investor,parameter,term,weight
0,foreign,beta,momentum,0.0440838038921356
0,foreign,beta,herd,-0.0353841446340084
0,foreign,beta,underwater,0.0086286086589097
0,institution,beta,momentum,-0.0014326880918815
0,institution,beta,herd,-0.0047140214592218
0,institution,beta,underwater,-0.0025193439796566
0,retail,beta,momentum,-0.0296675935387611
0,retail,beta,herd,-0.0318512432277202
0,retail,beta,underwater,0.0315796099603176
1,foreign,beta,momentum,0.0541412383317947
1,foreign,beta,herd,-0.0331736467778682
1,foreign,beta,underwater,0.00763187604025
1,institution,beta,momentum,-3.788163303397596e-05
1,institution,beta,herd,-0.004748850595206
1,institution,beta,underwater,-0.0009587039821781
1,retail,beta,momentum,-0.0294937659054994
1,retail,beta,herd,-0.031798530369997
1,retail,beta,underwater,0.0318307168781757
2,foreign,beta,momentum,0.0529047586023807
2,foreign,beta,herd,-0.0322452746331691
2,foreign,beta,underwater,0.0065982844680547
2,institution,beta,momentum,-4.91498940391466e-05
2,institution,beta,herd,-0.0047609130851924
2,institution,beta,underwater,-0.0021236327011138
2,retail,beta,momentum,-0.0294293016195297
2,retail,beta,herd,-0.0289246067404747
2,retail,beta,underwater,0.0305007677525281
3,foreign,beta,momentum,0.0535029880702495
3,foreign,beta,herd,-0.0343613885343074
3,foreign,beta,underwater,0.0070645418018102
3,institution,beta,momentum,-0.0009986530058085
3,institution,beta,herd,-0.0045315595343708
3,institution,beta,underwater,-0.000886661291588
3,retail,beta,momentum,-0.0300915874540805
3,retail,beta,herd,-0.0293053723871707
3,retail,beta,underwater,0.0313050225377082
4,foreign,beta,momentum,0.0474812127649784
4,foreign,beta,herd,-0.0325622707605361
4,foreign,beta,underwater,0.0029539635870605
4,institution,beta,momentum,-2.124525781255215e-05
4,institution,beta,herd,-0.0047091366723179
4,institution,beta,underwater,-0.0002801865921355
4,retail,beta,momentum,-0.0305180251598358
4,retail,beta,herd,-0.0317361243069171
4,retail,beta,underwater,0.0321714617311954
5,foreign,beta,momentum,0.0347501337528228
5,foreign,beta,herd,-0.0221817269921302
5,foreign,beta,underwater,0.0007263114675879
5,institution,beta,momentum,-4.864253423875198e-05
5,institution,beta,herd,-0.0047318856231868
5,institution,beta,underwater,7.331970846280456e-05
5,retail,beta,momentum,-0.0251618456095457
5,retail,beta,herd,-0.0300989709794521
5,retail,beta,underwater,0.0263821687549352
6,foreign,beta,momentum,0.0509050488471984
6,foreign,beta,herd,-0.0317697376012802
6,foreign,beta,underwater,-0.0020628180354833
6,institution,beta,momentum,-0.0004025064990855
6,institution,beta,herd,-0.0047229966148734
6,institution,beta,underwater,-0.002586108399555
6,retail,beta,momentum,-0.0314467661082744
6,retail,beta,herd,-0.0317822359502315
6,retail,beta,underwater,0.0320347920060157
7,foreign,beta,momentum,0.0547493919730186
7,foreign,beta,herd,-0.0336855053901672
7,foreign,beta,underwater,0.0059995255433022
7,institution,beta,momentum,6.774740177206695e-05
7,institution,beta,herd,-0.0047263978049159
7,institution,beta,underwater,-0.0015358679229393
7,retail,beta,momentum,-0.0307945255190134
7,retail,beta,herd,-0.0313325449824333
7,retail,beta,underwater,0.0326218716800212
8,foreign,beta,momentum,0.0574524439871311
8,foreign,beta,herd,-0.0478978753089904
8,foreign,beta,underwater,-0.0142913293093442
8,institution,beta,momentum,-0.0039618453010916
8,institution,beta,herd,-0.0045673539862036
8,institution,beta,underwater,-0.002553483005613
8,retail,beta,momentum,-0.0314795635640621
8,retail,beta,herd,-0.0315634533762931
8,retail,beta,underwater,0.0313702523708343
9,foreign,beta,momentum,0.056279607117176
9,foreign,beta,herd,-0.0354590974748134
9,foreign,beta,underwater,0.0179931353777647
9,institution,beta,momentum,8.12975995359011e-05
9,institution,beta,herd,-0.0046562850475311
9,institution,beta,underwater,-0.0006357818492688
9,retail,beta,momentum,-0.030201181769371
9,retail,beta,herd,-0.0339249782264232
9,retail,beta,underwater,0.0309094879776239
10,foreign,beta,momentum,0.0543926060199737
10,foreign,beta,herd,-0.0430628918111324
10,foreign,beta,underwater,0.0160585474222898
10,institution,beta,momentum,-0.0005876760114915
10,institution,beta,herd,-0.0046847504563629
10,institution,beta,underwater,-0.0016295406967401
10,retail,beta,momentum,-0.0293410066515207
10,retail,beta,herd,-0.0325730592012405
10,retail,beta,underwater,0.0289893709123134
11,foreign,beta,momentum,0.0551186501979827
11,foreign,beta,herd,-0.0452364347875118
11,foreign,beta,underwater,0.0159540213644504
11,institution,beta,momentum,-0.0003486400528345
11,institution,beta,herd,-0.0041817021556198
11,institution,beta,underwater,-0.0003870364453177
11,retail,beta,momentum,-0.0300027132034301
11,retail,beta,herd,-0.0314396061003208
11,retail,beta,underwater,0.0298752337694168
12,foreign,beta,momentum,0.0482276193797588
12,foreign,beta,herd,-0.0424079522490501
12,foreign,beta,underwater,0.0096458652988076
12,institution,beta,momentum,0.0002763918018899
12,institution,beta,herd,-0.0045700850896537
12,institution,beta,underwater,-0.0003204459208063
12,retail,beta,momentum,-0.0310358814895153
12,retail,beta,herd,-0.0331207662820816
12,retail,beta,underwater,0.0315185934305191
13,foreign,beta,momentum,0.0343632847070694
13,foreign,beta,herd,-0.0305493082851171
13,foreign,beta,underwater,0.0050407792441546
13,institution,beta,momentum,-0.0001760225277394
13,institution,beta,herd,-0.004632350988686
13,institution,beta,underwater,-0.0002346592809772
13,retail,beta,momentum,-0.0281164608895778
13,retail,beta,herd,-0.0334660671651363
13,retail,beta,underwater,0.0262125935405492
14,foreign,beta,momentum,0.0526941381394863
14,foreign,beta,herd,-0.0450093075633049
14,foreign,beta,underwater,0.008918372914195
14,institution,beta,momentum,-0.0002779399219434
14,institution,beta,herd,-0.0045893285423517
14,institution,beta,underwater,-0.0024578256998211
14,retail,beta,momentum,-0.0313294529914855
14,retail,beta,herd,-0.03357969596982
14,retail,beta,underwater,0.0309996344149112
15,foreign,beta,momentum,0.0567833818495273
15,foreign,beta,herd,-0.0438758693635463
15,foreign,beta,underwater,0.0143618499860167
15,institution,beta,momentum,-5.9198166127316654e-05
15,institution,beta,herd,-0.0046085575595498
15,institution,beta,underwater,-0.0010464309016242
15,retail,beta,momentum,-0.0313150770962238
15,retail,beta,herd,-0.0329992659389972
15,retail,beta,underwater,0.0309843141585588
16,foreign,beta,momentum,0.0622393898665905
16,foreign,beta,herd,-0.04397414624691
16,foreign,beta,underwater,0.0145753184333443
16,institution,beta,momentum,-0.0029182098805904
16,institution,beta,herd,-0.0042670839466154
16,institution,beta,underwater,-0.0022061800118535
16,retail,beta,momentum,-0.0314362496137619
16,retail,beta,herd,-0.0335307456552982
16,retail,beta,underwater,0.0298873055726289
17,foreign,beta,momentum,0.0542283505201339
17,foreign,beta,herd,-0.0276017300784587
17,foreign,beta,underwater,0.0173406228423118
17,institution,beta,momentum,-0.0005911319749429
17,institution,beta,herd,-0.0046735815703868
17,institution,beta,underwater,0.0002071294293273
17,retail,beta,momentum,-0.028906051069498
17,retail,beta,herd,-0.0319582894444465
17,retail,beta,underwater,0.027196392416954
18,foreign,beta,momentum,0.0544888414442539
18,foreign,beta,herd,-0.0467989705502986
18,foreign,beta,underwater,0.0189500134438276
18,institution,beta,momentum,-3.162575012538582e-06
18,institution,beta,herd,-0.0041159410029649
18,institution,beta,underwater,-0.0003728687297552
18,retail,beta,momentum,-0.0302725248038768
18,retail,beta,herd,-0.0315229706466198
18,retail,beta,underwater,0.0291804037988185
19,foreign,beta,momentum,0.046918760985136
19,foreign,beta,herd,-0.0442248471081256
19,foreign,beta,underwater,0.0107817631214857
19,institution,beta,momentum,-3.551358531694859e-05
19,institution,beta,herd,-0.0045917322859168
19,institution,beta,underwater,-0.0001534135953988
19,retail,beta,momentum,-0.0308154411613941
19,retail,beta,herd,-0.0336844511330127
19,retail,beta,underwater,0.0309398099780082
20,foreign,beta,momentum,0.0360133126378059
20,foreign,beta,herd,-0.0353446416556835
20,foreign,beta,underwater,0.011613093316555
20,institution,beta,momentum,0.0002088893234031
20,institution,beta,herd,-0.004618763923645
