split,investor,comparison,metric,improvement
0,foreign,컨텍스트 없음,direction_accuracy,-1.0309278350515538
0,institution,컨텍스트 없음,direction_accuracy,1.5463917525773196
0,retail,컨텍스트 없음,direction_accuracy,4.123711340206182
1,foreign,컨텍스트 없음,direction_accuracy,2.0618556701030966
1,institution,컨텍스트 없음,direction_accuracy,-0.5154639175257714
1,retail,컨텍스트 없음,direction_accuracy,-7.216494845360821
2,foreign,컨텍스트 없음,direction_accuracy,2.577319587628868
2,institution,컨텍스트 없음,direction_accuracy,10.309278350515461
2,retail,컨텍스트 없음,direction_accuracy,-0.5154639175257714
3,foreign,컨텍스트 없음,direction_accuracy,1.0309278350515427
3,institution,컨텍스트 없음,direction_accuracy,5.670103092783507
3,retail,컨텍스트 없음,direction_accuracy,1.0309278350515538
4,foreign,컨텍스트 없음,direction_accuracy,3.6082474226804218
4,institution,컨텍스트 없음,direction_accuracy,7.216494845360821
4,retail,컨텍스트 없음,direction_accuracy,2.0618556701030966
5,foreign,컨텍스트 없음,direction_accuracy,-1.0309278350515427
5,institution,컨텍스트 없음,direction_accuracy,7.731958762886604
5,retail,컨텍스트 없음,direction_accuracy,-4.639175257731953
6,foreign,컨텍스트 없음,direction_accuracy,-2.577319587628868
6,institution,컨텍스트 없음,direction_accuracy,7.731958762886593
6,retail,컨텍스트 없음,direction_accuracy,-2.0618556701030966
7,foreign,컨텍스트 없음,direction_accuracy,1.0309278350515538
7,institution,컨텍스트 없음,direction_accuracy,8.24742268041237
7,retail,컨텍스트 없음,direction_accuracy,0.5154639175257714
8,foreign,컨텍스트 없음,direction_accuracy,5.58375634517766
8,institution,컨텍스트 없음,direction_accuracy,-1.0152284263959421
8,retail,컨텍스트 없음,direction_accuracy,2.5380710659898553
9,foreign,컨텍스트 없음,direction_accuracy,-3.6082474226804107
9,institution,컨텍스트 없음,direction_accuracy,3.0927835051546393
9,retail,컨텍스트 없음,direction_accuracy,-2.0618556701030966
10,foreign,컨텍스트 없음,direction_accuracy,2.577319587628868
10,institution,컨텍스트 없음,direction_accuracy,8.247422680412376
10,retail,컨텍스트 없음,direction_accuracy,1.0309278350515538
11,foreign,컨텍스트 없음,direction_accuracy,-1.0309278350515427
11,institution,컨텍스트 없음,direction_accuracy,1.0309278350515427
11,retail,컨텍스트 없음,direction_accuracy,2.0618556701030855
12,foreign,컨텍스트 없음,direction_accuracy,1.546391752577314
12,institution,컨텍스트 없음,direction_accuracy,3.6082474226804164
12,retail,컨텍스트 없음,direction_accuracy,5.670103092783507
13,foreign,컨텍스트 없음,direction_accuracy,1.0309278350515427
13,institution,컨텍스트 없음,direction_accuracy,3.6082474226804218
