split,investor,n_test,r2_train_mean,r2_zero
0,foreign,194,0.28000294787733426,0.24326244868613822
0,institution,194,-0.021985817780998396,-0.013939199813195025
0,retail,194,0.15160275962497338,0.08038689676650457
1,foreign,194,0.21310511711098057,0.20861214841454478
1,institution,194,-0.00753706961726941,0.006748090100281101
1,retail,194,0.042899837940226004,0.03269204640660195
2,foreign,194,0.1755456250639501,0.17274840268871805
2,institution,194,-0.0132790867646988,-0.00028116619380846863
2,retail,194,0.12426040515713943,0.12415238647677962
3,foreign,194,0.21646079332213486,0.21014125313373522
3,institution,194,-0.006091882728417541,0.004495687665882153
3,retail,194,0.14031052186491788,0.13053310666818785
4,foreign,194,0.19442919611651133,0.18786525796849673
4,institution,194,0.0037091063295233706,0.014085319924156625
4,retail,194,0.08705617739110072,0.04018685739658323
5,foreign,194,0.2487021200358971,0.20272127462829792
5,institution,194,-0.016725678070859118,-0.006387367037868463
5,retail,194,0.2587687269460992,0.18060546056656002
6,foreign,194,0.29139211109675145,0.20270363164369376
6,institution,194,-0.012210380826132461,0.003782895144502141
6,retail,194,0.18889485751939084,0.1102818961529668
7,foreign,194,0.18535264729152523,0.160520138837969
7,institution,194,-0.0026500401121076766,0.012300198880486723
7,retail,194,0.08800644690338155,0.052797993785794306
8,foreign,197,0.043476769977719654,0.035309235964950614
8,institution,197,-0.0007863734497699504,0.002135962914100231
8,retail,197,0.08164838971248944,0.07759343112826689
9,foreign,194,0.17786703741904408,0.17886435030540004
9,institution,194,0.0007852841151689827,0.01901882521139009
9,retail,194,0.0346048589432032,0.03438504214211746
10,foreign,194,0.19466902442015,0.16939637482228576
10,institution,194,-0.01134469895791046,0.010070594483681972
10,retail,194,0.13853294285343887,0.12859524938903133
11,foreign,194,0.16235840697500448,0.16422150645850253
11,institution,194,0.007871889253118658,0.018838809328119432
11,retail,194,0.12111748286355373,0.12140357128126489
12,foreign,194,0.14526013246866543,0.14587726274229262
12,institution,194,-0.009226302724631097,0.010891092062668584
12,retail,194,0.059252379858693915,0.04373293805728529
13,foreign,194,0.1437704381641538,0.12577952283469573
13,institution,194,-0.011951071810340386,0.00436508780452205
13,retail,194,0.2381008981601066,0.19600650687444576
14,foreign,194,0.2625483978787453,0.21770440488483866
14,institution,194,-0.03340097988205848,-0.012808911087285546
14,retail,194,0.13047193708326876,0.09160508792345101
15,foreign,194,0.09049283041503309,0.08879193233560678
15,institution,194,-0.0005178185524765677,0.02143302885944065
15,retail,194,0.06047710016406649,0.050226314558039165
16,foreign,197,-0.03367882993555282,-0.031948065963783634
16,institution,197,0.013257664416671977,0.009934491414547053
16,retail,197,0.05519918660404888,0.05489627482162074
17,foreign,194,0.21203994463996867,0.11246003315270403
17,institution,194,-0.01507539408944858,-0.012148430182403303
17,retail,194,0.1643976781999591,0.09848085235722526
18,foreign,194,0.17374855847767334,0.12804807096992654
18,institution,194,0.03177153371987862,0.017103661108750945
18,retail,194,0.10958222662190442,0.0810412642508882
19,foreign,194,0.1796325238274552,0.1428938422257594
19,institution,194,-0.0029183283916798253,0.010396058456191626
19,retail,194,-0.011899622290623801,-0.019391650763247892
20,foreign,194,0.1273406221256531,0.12811689780676838
20,institution,194,-0.01312391515241007,-0.007517562026024827
20,retail,194,0.11060710369375815,0.11076619428149359
21,foreign,194,0.18399367444429504,0.1825658098642836
