split,investor,n_train,n_columns,rank,cond_W,cond_WtW
0,foreign,773,11,11,3.338916052278842,11.148360404165322
0,institution,773,11,11,3.608484590097709,13.021161036972668
0,retail,773,11,11,3.1998113837219337,10.238792891396496
1,foreign,766,11,11,3.308387126448421,10.945425378449652
1,institution,766,11,11,3.192728333985068,10.193514214631085
1,retail,766,11,11,4.068445111632389,16.552245626365455
2,foreign,766,11,11,3.1737038423717836,10.07239607908543
2,institution,766,11,11,3.1018812133585265,9.621667061786534
2,retail,766,11,11,3.9441268655511235,15.556136731562072
3,foreign,766,11,11,3.5748687880953813,12.779686852098578
3,institution,766,11,11,3.323086525302363,11.042904054646161
3,retail,766,11,11,3.9867182928377174,15.893922746446973
4,foreign,766,11,11,3.637006320041199,13.227814972019601
4,institution,766,11,11,3.271390998833464,10.701999067248579
4,retail,766,11,11,4.329076434534283,18.74090277604002
5,foreign,766,11,11,2.4882546078123964,6.191410993299619
5,institution,766,11,11,3.427976121197828,11.751020287502456
5,retail,766,11,11,5.945543921831624,35.34949252642891
6,foreign,766,11,11,3.295095955577096,10.857657356460546
6,institution,766,11,11,3.165881719711336,10.022807063202395
6,retail,766,11,11,4.153842933443538,17.254411115718764
7,foreign,766,11,11,3.275431667413846,10.728452607897436
7,institution,766,11,11,3.1222190879395404,9.748252033094033
7,retail,766,11,11,3.880498969258408,15.058272250415548
8,foreign,769,11,11,3.3178021978841357,11.0078114242848
8,institution,769,11,11,3.3391608952358935,11.14999548427251
8,retail,769,11,11,4.102458219084306,16.830163439332114
9,foreign,772,11,11,3.524073980928189,12.419097423055094
9,institution,772,11,11,3.3314099838833076,11.098292480717378
9,retail,772,11,11,3.1671287511771125,10.030704526532727
10,foreign,765,11,11,3.44034233747911,11.835955399051246
10,institution,765,11,11,3.219353121712471,10.364234522279824
10,retail,765,11,11,3.0877858516438055,9.534421465611668
11,foreign,765,11,11,3.795054439423334,14.402438198186717
11,institution,765,11,11,3.455562489486989,11.940912118749521
11,retail,765,11,11,3.1221460208886564,9.747795775750868
12,foreign,765,11,11,3.7698793390384147,14.21199023090874
12,institution,765,11,11,3.421792713588222,11.70866537476542
12,retail,765,11,11,3.330454812525846,11.091929258276604
13,foreign,765,11,11,2.804178185264152,7.863415294711375
13,institution,765,11,11,3.5995550778621634,12.956796758563206
13,retail,765,11,11,4.844300460658996,23.46724695314115
14,foreign,765,11,11,3.5394504940594747,12.527709799897877
14,institution,765,11,11,3.169768501117953,10.047432350679445
14,retail,765,11,11,2.77089622617469,7.677865896229143
15,foreign,765,11,11,3.561771491124329,12.68621615498601
15,institution,765,11,11,3.2481737159374933,10.550632488907114
15,retail,765,11,11,3.0471635576793163,9.285205747248877
16,foreign,768,11,11,3.4688692622619013,12.033053958665434
16,institution,768,11,11,3.4713258276157233,12.050103001472085
16,retail,768,11,11,3.225508202748109,10.403903165995393
17,foreign,772,11,11,3.3070541542626217,10.936607179225668
17,institution,772,11,11,2.974916678066571,8.85012924143865
17,retail,772,11,11,3.8219838165374425,14.607560293874133
18,foreign,765,11,11,3.8626463746311424,14.92003701545112
18,institution,765,11,11,3.1284160914707106,9.786987241372882
18,retail,765,11,11,3.845616936591849,14.788769623002073
19,foreign,765,11,11,3.6961269189088877,13.661354200682903
19,institution,765,11,11,3.072852297361161,9.442421241397772
19,retail,765,11,11,4.141122075182275,17.148892041561975
20,foreign,765,11,11,2.553803056197947,6.521910049845968
20,institution,765,11,11,3.2432796326650664,10.518862775660047
20,retail,765,11,11,5.4191245368499255,29.36691074588858
21,foreign,765,11,11,3.3523969983494317,11.238565634542253
21,institution,765,11,11,3.0421052178006724,9.254404156170144
21,retail,765,11,11,3.903207691924721,15.235030286300338
22,foreign,765,11,11,3.445402704487141,11.8707997960873
22,institution,765,11,11,2.9656204100643864,8.794904416590455
22,retail,765,11,11,3.7779637177206284,14.273009852413518
23,foreign,768,11,11,3.326714796140405,11.067031334859498
23,institution,768,11,11,3.17788019064073,10.098922506066884
23,retail,768,11,11,3.8394351555297894,14.741262313518138
24,foreign,772,11,11,3.5172694823556676,12.37118461151049
24,institution,772,11,11,3.065078129040489,9.394703937122353
24,retail,772,11,11,3.7377532898486145,13.970799655774105
25,foreign,765,11,11,3.5535888676171563,12.627993840052602
25,institution,765,11,11,3.004978348194577,9.02989487311821
25,retail,765,11,11,4.0294438295952055,16.236417575862873
26,foreign,765,11,11,2.492944278151835,6.214771173969969
26,institution,765,11,11,3.1335727294419065,9.819278050702016
26,retail,765,11,11,5.195107000606025,26.98913674774615
27,foreign,765,11,11,3.28455904171997,10.7883280985444
27,institution,765,11,11,3.388924927378754,11.484812163409108
27,retail,765,11,11,3.791339640304062,14.374256268140925
28,foreign,765,11,11,3.329553378717999,11.085925701732442
28,institution,765,11,11,2.9073181019994223,8.45249854621351
28,retail,765,11,11,3.683129577001263,13.565443480981491
29,foreign,768,11,11,3.2358674470875646,10.470838135120971
29,institution,768,11,11,3.0918602472987606,9.559599788826365
29,retail,768,11,11,3.6553542574209175,13.361614747245167
30,foreign,772,11,11,3.8688865716089538,14.968283303976108
30,institution,772,11,11,3.231179769145069,10.440522700532396
