split,investor,n_test,r2_train_mean,r2_zero
0,foreign,194,0.28000294920037994,0.24326245007669722
0,institution,194,-0.023556752589295238,-0.015497765846862466
0,retail,194,0.18114203743035484,0.11240575024353283
1,foreign,194,0.2131051181882062,0.20861214949792117
1,institution,194,-0.017945928090278507,-0.0035131884868377927
1,retail,194,0.047551778457556204,0.03739360141665726
2,foreign,194,0.17554562753371206,0.1727484051668594
2,institution,194,-0.026390877066605034,-0.01322476393049521
2,retail,194,0.13131164138104423,0.1312044924400867
3,foreign,194,0.21646079131600005,0.21014125111142024
3,institution,194,-0.0006640855652684241,0.009866365608075967
3,retail,194,0.14949300604797755,0.13982002502507263
4,foreign,194,0.19442919674732784,0.18786525860445324
4,institution,194,-0.00398479754701353,0.006471546851290477
4,retail,194,0.10632407146223499,0.06044393948835591
5,foreign,194,0.2487021256797567,0.20272128061757233
5,institution,194,-0.024039555564906,-0.013626875267892968
5,retail,194,0.2782190941413232,0.2021068802301944
6,foreign,194,0.2913921019469369,0.2027036213486999
6,institution,194,-0.02951999696865326,-0.013253223044275897
6,retail,194,0.21222627821125128,0.13587461686305136
7,foreign,194,0.18535264827053233,0.16052013984681868
7,institution,194,-0.013337522773148702,0.0017720743340614575
7,retail,194,0.09801818078912805,0.06319624099934362
8,foreign,197,0.043476774116742334,0.03530924013931547
8,institution,197,-0.006405826202676934,-0.003467080811305534
8,retail,197,0.0831165242169557,0.07906804814394675
9,foreign,194,0.1778670447358579,0.17886435761333797
9,institution,194,-0.0010188264213015774,0.017247635851004972
9,retail,194,0.02430528392600806,0.024083121950872255
10,foreign,194,0.1946690237642883,0.16939637414584197
10,institution,194,-0.014295661394262416,0.007182118879539345
10,retail,194,0.14359826484525395,0.13371900381518687
11,foreign,194,0.16235841106461046,0.16422151053901224
11,institution,194,0.018122989528216227,0.028976594602684203
11,retail,194,0.1295001858054602,0.12978354553739824
12,foreign,194,0.14526013159872264,0.1458772618729779
12,institution,194,-0.0005429758614594604,0.01940132998225841
12,retail,194,0.05054680208448992,0.034883745029933855
13,foreign,194,0.14377044385452287,0.1257795286446297
13,institution,194,-0.009348116029930242,0.0069260749135541255
13,retail,194,0.22137609605797082,0.17835767118024726
14,foreign,194,0.26254839692977694,0.21770440387816403
14,institution,194,-0.014814019812188883,0.0054076758477646925
14,retail,194,0.11156600858022259,0.07185408736040788
15,foreign,194,0.09049282734402364,0.08879192925885415
15,institution,194,0.001570618887061781,0.023475647053469828
15,retail,194,0.05808996968330382,0.04781313898271178
16,foreign,197,-0.03367884330751836,-0.03194807931335952
16,institution,197,0.017347523920657637,0.014038124839237276
16,retail,197,0.03826607199745191,0.03795773130360147
17,foreign,194,0.2120399474762117,0.11246003634738255
17,institution,194,-0.042065109870989215,-0.03906032127780357
17,retail,194,0.1628861172472713,0.09685005130973456
18,foreign,194,0.17374856160950503,0.12804807427498166
18,institution,194,0.0355737769710428,0.020963505248121628
18,retail,194,0.10731474110338712,0.07870109799665814
19,foreign,194,0.17963252437350197,0.14289384279625994
19,institution,194,-0.005575423809538682,0.007774237691595798
19,retail,194,-0.03751257113094364,-0.04519423594471483
20,foreign,194,0.1273406245654488,0.12811690024439382
20,institution,194,-0.01800176836380185,-0.01236842251994874
20,retail,194,0.06267456372796043,0.06284222827214014
21,foreign,194,0.1839936828901516,0.1825658183249188
21,institution,194,-0.01572317294467318,-0.024445614460171683
21,retail,194,0.020527972553003315,0.020966457802459426
22,foreign,194,0.07720729437262475,0.06462349834981618
22,institution,194,-0.004144322387661825,-0.004551348595256854
22,retail,194,-0.02950763805726453,-0.03731227372125634
23,foreign,197,-0.017445933001926983,-0.058366784798834725
23,institution,197,0.03090411716059005,-0.005474013268425892
23,retail,197,0.056895905102615996,0.012376693872039324
24,foreign,194,0.2153751010390691,0.10607082581613314
24,institution,194,0.02691507437692242,0.010680742149315803
24,retail,194,0.23714513115781044,0.16718173963033456
25,foreign,194,0.2289857788497659,0.13815598289150965
25,institution,194,-0.014606025171729042,0.001103015499923532
25,retail,194,0.1493254743689224,0.11018200957261948
26,foreign,194,0.16097321180505386,0.1424901086146554
26,institution,194,-0.03963109026241707,-0.0322251545619785
26,retail,194,0.17455191868325592,0.16402178061681105
27,foreign,194,0.15195078164880793,0.14679949053319297
27,institution,194,-0.04280398125781959,-0.05033402621570704
27,retail,194,0.19188843561109725,0.17064274551385217
28,foreign,194,0.14939236964149427,0.09112235943283453
28,institution,194,-0.034493977944959786,-0.03247091490488163
28,retail,194,0.14538978315424222,0.10935009457424705
29,foreign,197,0.06873488406175632,-0.034249778174452405
29,institution,197,0.028687074591417283,-0.008699820072416209
29,retail,197,0.19647821229494888,0.10808556011411674
30,foreign,194,0.17106283429923863,0.13424876121837948
30,institution,194,0.022794422369587286,0.024390523712365053
30,retail,194,0.09573637876603969,0.08872607285104162
31,foreign,194,0.11734877621632289,0.11844112639229498
31,institution,194,-0.0023277406293775726,-0.008400877987052802
31,retail,194,0.16258883622745046,0.1624988369296959
32,foreign,194,0.18523135971784765,0.18231832639200063
32,institution,194,0.03519752373345475,0.007759524454430289
32,retail,194,0.15131023558458212,0.15107151840891186
33,foreign,194,0.05908839447968073,0.046378826176092236
33,institution,194,0.04425061727367552,0.026431791923755887
33,retail,194,0.07079866902942067,0.06296488278335322
34,foreign,197,-0.03869731701009749,-0.08315995188082881
34,institution,197,0.02771803228382519,-0.026704065212040495
34,retail,197,0.14704251585960126,0.10427262928853043
35,foreign,194,0.07078011568776144,0.07132763984696255
35,institution,194,-0.026045093229107863,-0.01230635166480809
35,retail,194,0.11060997548441154,0.09690593188187835
36,foreign,194,0.1682819656842769,0.1641810308267857
36,institution,194,-0.0058966885208022735,0.0037400943177119395
36,retail,194,0.042112815457406305,0.03244014032796394
37,foreign,194,0.053586713689940946,0.04286407297885497
37,institution,194,0.008837208657601736,0.023109400631793675
37,retail,194,-0.03043323405133913,-0.030287702617693757
38,foreign,197,-0.008956695957342609,-0.0443675818134075
38,institution,197,0.03846458571912115,0.022653714592030805
38,retail,197,0.00272946910532601,-0.015342786618285587
39,foreign,194,0.2152610701897496,0.17350109070436426
39,institution,194,-0.021396028887476604,-0.02157437282644703
39,retail,194,0.23802644549865704,0.2053217087788981
40,foreign,194,0.05750089150203863,0.052635351889290916
40,institution,194,-0.024898150535508146,-0.01935558175571983
40,retail,194,0.09213298156830096,0.08102548505443918
41,foreign,197,0.04305520791156925,0.04379298727198966
41,institution,197,-0.0041510994033922,-0.02806990555691602
41,retail,197,0.10626360583090688,0.10547383109177633
42,foreign,194,0.1323851434023754,0.1049463043642409
42,institution,194,-0.009293598172789519,-0.019658346822538864
42,retail,194,0.04552483276645913,0.037974005676255196
43,foreign,197,-0.031616008900644976,-0.036703475265713825
43,institution,197,-0.03841005968308653,-0.09524472114324234
43,retail,197,0.054283647006821534,0.049399157182034026
44,foreign,197,-0.2441619034604392,-0.25650589895723663
44,institution,197,0.050667416257916376,0.008619865395390613
44,retail,197,0.016493530539714696,-0.0007546811835474898
