split,investor,coefficient,exact_lasso,adam,abs_diff
0,foreign,momentum,0.043996544473731004,0.0386262163519859,0.005370328121745108
0,foreign,persist,0.045191214814086805,0.0466385446488857,0.0014473298347988939
0,foreign,underwater,0.0015621449096046782,0.0070962272584438,0.005534082348839122
0,foreign,momentumxkospi_return_1d,-0.004121016494749146,-0.00599019927904,0.001869182784290854
0,foreign,momentumxfx_level_z_252,-0.0077156217769318,-0.0033601762261241,0.0043554455508077
0,foreign,persistxkospi_return_1d,-0.007912080538268284,-0.0116392103955149,0.003727129857246615
0,foreign,persistxfx_level_z_252,-0.0002126256426336001,-0.0015249826246872,0.0013123569820535999
0,foreign,underwaterxkospi_return_1d,-0.0051496021169410685,-0.0029641285073012,0.0021854736096398684
0,foreign,underwaterxfx_level_z_252,-0.00442661920573978,-0.0082784797996282,0.0038518605938884206
0,foreign,kospi_return_1d,0.02424208785798965,0.0274196621030569,0.00317757424506725
0,foreign,fx_level_z_252,-0.01832942588738737,-0.0137599976733326,0.004569428214054769
0,institution,momentum,-0.004021607712943325,-0.0039826100692152,3.899764372812531e-05
0,institution,persist,0.014045138367745617,0.0141006670892238,5.5528721478181886e-05
0,institution,underwater,-0.0033165245297791484,-0.0031413233373314,0.00017520119244774854
0,institution,momentumxkospi_return_1d,-0.0010681978527458823,-0.0010200639953836,4.81338573622822e-05
0,institution,momentumxfx_level_z_252,-0.0,-0.0002821428934112,0.0002821428934112
0,institution,persistxkospi_return_1d,-0.0,2.6648158382158726e-05,2.6648158382158726e-05
0,institution,persistxfx_level_z_252,-0.00010349337689144597,-0.0006549722747877,0.000551478897896254
0,institution,underwaterxkospi_return_1d,0.002842356566895134,0.0029659359715878,0.00012357940469266606
0,institution,underwaterxfx_level_z_252,0.0009436925039804135,0.0008429276640526,0.00010076483992781354
0,institution,kospi_return_1d,-0.0010353795133735543,-0.0010400905739516,4.711060578045743e-06
0,institution,fx_level_z_252,0.0,6.71569723635912e-05,6.71569723635912e-05
0,retail,momentum,-0.020598247508857668,-0.0214660950005054,0.0008678474916477309
0,retail,persist,0.04422286746326217,0.0437014587223529,0.0005214087409092724
0,retail,underwater,0.04566822988873089,0.0443115755915641,0.00135665429716679
0,retail,momentumxkospi_return_1d,0.0035407634157850537,0.0031267183367162,0.0004140450790688535
0,retail,momentumxfx_level_z_252,0.004071046134145382,0.0050100674852728,0.0009390213511274179
0,retail,persistxkospi_return_1d,0.010083095282886373,0.0106057645753026,0.0005226692924162283
0,retail,persistxfx_level_z_252,-0.009922069990244895,-0.010096238926053,0.0001741689358081052
0,retail,underwaterxkospi_return_1d,0.004254232126875378,0.0049596093595027,0.000705377232627322
0,retail,underwaterxfx_level_z_252,-0.029985596758929894,-0.030124757438898,0.0001391606799681054
0,retail,kospi_return_1d,-0.027843248087777904,-0.0286121871322393,0.0007689390444613961
0,retail,fx_level_z_252,0.01927529305977581,0.0209095403552055,0.0016342472954296895
1,foreign,momentum,0.047671619505646884,0.0477895475924015,0.00011792808675461369
1,foreign,persist,0.044242413870982135,0.0443718172609806,0.00012940338999846424
1,foreign,underwater,0.004306000508071327,0.0040423911996185,0.00026360930845282723
1,foreign,momentumxkospi_return_1d,-0.010876088414710204,-0.0109575614333152,8.147301860499633e-05
