investor,coefficient,exact_lasso_mean,exact_lasso_std,adam_mean,adam_std,mean_diff
foreign,fx_level_z_252,-0.02224998677716848,0.00994958073178359,-0.021502347122360384,0.010343636300868273,-0.000747639654808098
foreign,kospi_return_1d,0.0329320411937753,0.004648614275522146,0.03310438866416609,0.005956712644680993,-0.00017234747039079207
foreign,momentum,0.043726629011607544,0.008789370260649654,0.043542952545815,0.009032343942588634,0.0001836764657925441
foreign,persist,0.05103765587592576,0.005891094065495559,0.050549613104926165,0.006044830129170158,0.0004880427709995916
foreign,underwater,0.006553610688404423,0.004068539204922173,0.006120335298247547,0.004762448399321124,0.00043327539015687675
institution,fx_level_z_252,-0.003468999269135916,0.0025065659158728317,-0.0034920772236848975,0.00249046988530593,2.3077954548981344e-05
institution,kospi_return_1d,-0.005941528459626897,0.002355323492363804,-0.005974047361976525,0.0023569095977031057,3.251890234962779e-05
institution,momentum,-0.0014627997421749449,0.0022222394869454596,-0.0014825907314944555,0.0022255971609138523,1.9790989319510644e-05
institution,persist,0.01030732844813726,0.003097268276254475,0.010240498844844546,0.003074537126095679,6.682960329271355e-05
institution,underwater,-0.00021233104167930956,0.0005798949566032213,-0.00028148358817106607,0.000548014672174542,6.91525464917565e-05
retail,fx_level_z_252,0.03320868778258675,0.0115885671787298,0.03284464230140046,0.011074540710089046,0.00036404548118629254
retail,kospi_return_1d,-0.021870175529002982,0.0062373230102959285,-0.021569227054715104,0.006203813825636841,-0.0003009484742878786
retail,momentum,-0.03605128870754666,0.008107815789878493,-0.03556197633345917,0.006616857944500082,-0.0004893123740874888
retail,persist,0.04667713199361044,0.008508583617216769,0.04620073296957542,0.007784809824693246,0.0004763990240350194
retail,underwater,0.0278412618047913,0.015010722317055063,0.028833299039656046,0.012474650975541709,-0.0009920372348647469
