split,investor,coefficient,exact_lasso,adam,abs_diff
0,foreign,momentum,0.038842588917707685,0.0358651205897331,0.002977468327974582
0,foreign,persist,0.07314111675920551,0.068202406167984,0.004938710591221515
0,foreign,underwater,0.0089817783791527,0.0126535519957542,0.0036717736166015005
0,foreign,momentumxkospi_return_1d,-0.005717343044194535,-0.0056050382554531,0.00011230478874143471
0,foreign,momentumxfx_level_z_252,-0.0025707103191062158,0.0023642620071768,0.0049349723262830155
0,foreign,persistxkospi_return_1d,0.00848846605351525,0.0068112821318209,0.0016771839216943498
0,foreign,persistxfx_level_z_252,-0.007301126392142067,-0.0024953773245215,0.004805749067620567
0,foreign,underwaterxkospi_return_1d,0.0,0.0022691590711474,0.0022691590711474
0,foreign,underwaterxfx_level_z_252,-0.007189367328345503,-0.010012287646532,0.0028229203181864967
0,foreign,kospi_return_1d,0.001141179440932636,0.0069946753792464,0.005853495938313764
0,foreign,fx_level_z_252,-0.017962081464839803,-0.0166667271405458,0.0012953543242940034
0,institution,momentum,-0.0024085561418954373,-0.0024162025656551,7.646423759662818e-06
0,institution,persist,0.02071601650800618,0.0210726056247949,0.00035658911678872196
0,institution,underwater,-0.0024978419371130805,-0.0026354633737355,0.0001376214366224193
0,institution,momentumxkospi_return_1d,-0.003004239126711634,-0.0029548944439738,4.934468273783393e-05
0,institution,momentumxfx_level_z_252,-0.0,-0.0001660058915149,0.0001660058915149
0,institution,persistxkospi_return_1d,-0.0,-5.202852480579168e-05,5.202852480579168e-05
0,institution,persistxfx_level_z_252,-0.0,-0.0001669521443545,0.0001669521443545
0,institution,underwaterxkospi_return_1d,0.0021822666300270357,0.0023391423746943,0.00015687574466726438
0,institution,underwaterxfx_level_z_252,0.00013345840759613518,0.0001264722086489,6.986198947235182e-06
0,institution,kospi_return_1d,-0.01076663183971072,-0.0109210507944226,0.00015441895471188065
0,institution,fx_level_z_252,0.0,0.0003754514327738,0.0003754514327738
0,retail,momentum,-0.017381162122357036,-0.0198966339230537,0.0025154718006966635
0,retail,persist,0.08868156349343484,0.0744985118508338,0.014183051642601044
0,retail,underwater,0.03488906435638292,0.0377096273005008,0.0028205629441178798
0,retail,momentumxkospi_return_1d,0.0018318343375314501,0.0018099105218425,2.192381568895006e-05
