split,investor,saturation_rate
0,foreign,0.0
0,institution,0.0
0,retail,0.0
1,foreign,0.0
1,institution,0.0
1,retail,0.0
2,foreign,0.0
2,institution,0.0
2,retail,0.0
3,foreign,0.0
3,institution,0.0
3,retail,0.0
4,foreign,0.0
4,institution,0.0
4,retail,0.0
5,foreign,0.0
5,institution,0.0
5,retail,0.0
6,foreign,0.0
6,institution,0.0
6,retail,0.0
7,foreign,0.0
7,institution,0.0
7,retail,0.0
8,foreign,0.0
8,institution,0.0
8,retail,0.0
9,foreign,0.0
9,institution,0.0
9,retail,0.0
10,foreign,0.0
10,institution,0.0
10,retail,0.0
11,foreign,0.0
11,institution,0.0
11,retail,0.0
12,foreign,0.0
12,institution,0.0
12,retail,0.0
13,foreign,0.0
13,institution,0.0
13,retail,0.0
14,foreign,0.0
14,institution,0.0
14,retail,0.0
15,foreign,0.0
15,institution,0.0
15,retail,0.0
16,foreign,0.0
16,institution,0.0
16,retail,0.0
17,foreign,0.0
17,institution,0.0
17,retail,0.0
18,foreign,0.0
18,institution,0.0
18,retail,0.0
19,foreign,0.0
19,institution,0.0
19,retail,0.0
20,foreign,0.0
20,institution,0.0
20,retail,0.0
21,foreign,0.0
21,institution,0.0
21,retail,0.0
22,foreign,0.0
22,institution,0.0
22,retail,0.0
23,foreign,0.0
23,institution,0.0
23,retail,0.0
24,foreign,0.0
24,institution,0.0
24,retail,0.0
25,foreign,0.0
25,institution,0.0
25,retail,0.0
26,foreign,0.0
26,institution,0.0
26,retail,0.0
27,foreign,0.0
27,institution,0.0
27,retail,0.0
28,foreign,0.0
28,institution,0.0
28,retail,0.0
29,foreign,0.0
29,institution,0.0
29,retail,0.0
30,foreign,0.0
30,institution,0.0
30,retail,0.0
31,foreign,0.0
31,institution,0.0
31,retail,0.0
32,foreign,0.0
32,institution,0.0
32,retail,0.0
33,foreign,0.0
33,institution,0.0
33,retail,0.0
34,foreign,0.0
34,institution,0.0
34,retail,0.0
35,foreign,0.0
35,institution,0.0
35,retail,0.0
36,foreign,0.0
36,institution,0.0
36,retail,0.0
37,foreign,0.0
37,institution,0.0
37,retail,0.0
38,foreign,0.0
38,institution,0.0
38,retail,0.0
39,foreign,0.0
39,institution,0.0
39,retail,0.0
40,foreign,0.0
40,institution,0.0
40,retail,0.0
41,foreign,0.0
41,institution,0.0
41,retail,0.0
42,foreign,0.0
42,institution,0.0
42,retail,0.0
43,foreign,0.0
43,institution,0.0
43,retail,0.0
44,foreign,0.0
44,institution,0.0
44,retail,0.0
