investor,coefficient,exact_lasso_mean,exact_lasso_std,adam_mean,adam_std,mean_diff
foreign,fx_level_z_252,-0.02105668301234828,0.008353319886315503,-0.02099835477355449,0.008829776153484247,-5.832823879378668e-05
foreign,kospi_return_1d,0.006552126026395371,0.004392136385850354,0.006309905282210372,0.005897378120072698,0.00024222074418499967
foreign,momentum,0.03833169296237303,0.007460630855500173,0.03857263349410556,0.00824725730626904,-0.00024094053173252805
foreign,persist,0.07935603784590273,0.0064494376714721155,0.07989775952365659,0.007618081271899041,-0.0005417216777538619
foreign,underwater,0.01102139137735942,0.0038191805464283753,0.011203544605005899,0.004115364760625194,-0.00018215322764647893
institution,fx_level_z_252,-0.003537711845704308,0.002395909780235016,-0.0035758864163653445,0.002363133153674224,3.8174570661036415e-05
institution,kospi_return_1d,-0.016687611507080608,0.0031070846044850527,-0.016539059641460536,0.002858366656345795,-0.0001485518656200724
institution,momentum,-0.0008711810600816818,0.0018181956023117206,-0.0008743258482960828,0.0018237138392183893,3.1447882144010385e-06
institution,persist,0.023475447632564626,0.0028102809890374262,0.023210190898842242,0.002197234650081217,0.00026525673372238337
institution,underwater,-0.00016200824131061656,0.00048091161289516056,-0.0002510624513281997,0.00047057591524379507,8.905421001758316e-05
retail,fx_level_z_252,0.030413670419914593,0.009878135474898169,0.030716439191665865,0.009752827574367316,-0.0003027687717512724
retail,kospi_return_1d,0.02910587268005505,0.008443421450996268,0.027700776979327157,0.008273886644376456,0.001405095700727891
retail,momentum,-0.027713986386759877,0.006192588460085188,-0.028271402977406924,0.0063529761861227515,0.0005574165906470467
retail,persist,0.10484176124558268,0.010107536371941214,0.10265385674105747,0.009463355130029572,0.0021879045045252177
retail,underwater,0.01821279858167927,0.013039425248143596,0.018996680853888358,0.012866631935997507,-0.0007838822722090882
