split,investor,n_train,n_columns,rank,cond_W,cond_WtW
0,foreign,773,11,11,3.7350405766552623,13.950528109261224
0,institution,773,11,11,3.729788595329542,13.911322965850161
0,retail,773,11,11,3.4442023171313747,11.86252960133321
1,foreign,766,11,11,3.5016994965497195,12.261899364136548
1,institution,766,11,11,3.280696709576593,10.762970900226557
1,retail,766,11,11,4.183510055688259,17.501756386044757
2,foreign,766,11,11,3.43606024831292,11.806510030036256
2,institution,766,11,11,3.21180653027937,10.315701187945388
2,retail,766,11,11,4.067595440259841,16.545332665622674
3,foreign,766,11,11,3.810699654468202,14.521431856563913
3,institution,766,11,11,3.423685958588239,11.72162554303449
3,retail,766,11,11,4.124344975738967,17.010221478903254
4,foreign,766,11,11,3.9679648704058423,15.744745212774882
4,institution,766,11,11,3.387895629482687,11.477836796268216
4,retail,766,11,11,4.435040097973333,19.66958067063126
5,foreign,766,11,11,2.6445041547897783,6.993402224700428
5,institution,766,11,11,3.529788428041298,12.459406346734182
5,retail,766,11,11,6.192429197837327,38.34617937023002
6,foreign,766,11,11,3.55086612455202,12.608650234491153
6,institution,766,11,11,3.2398078479914543,10.496354891906984
6,retail,766,11,11,4.266624295004823,18.20408287472529
7,foreign,766,11,11,3.506243783147738,12.293745466862147
7,institution,766,11,11,3.247165741483622,10.544085352664956
7,retail,766,11,11,4.010846220633225,16.086887405567893
8,foreign,769,11,11,3.594800871238702,12.922593303858537
8,institution,769,11,11,3.43791821746474,11.81928166997588
8,retail,769,11,11,4.218120833162541,17.7925433631594
9,foreign,772,11,11,3.7889699321895542,14.356293147036517
9,institution,772,11,11,3.4290754217972514,11.758558248373797
9,retail,772,11,11,3.394770975835586,11.524469978375718
10,foreign,765,11,11,3.7586644987970725,14.127558814517386
10,institution,765,11,11,3.33150480797403,11.098924285553984
10,retail,765,11,11,3.340482691175341,11.158824610042045
11,foreign,765,11,11,4.108269077106389,16.877874809908818
11,institution,765,11,11,3.566042359656177,12.716658110861827
11,retail,765,11,11,3.397759405192206,11.544768975572163
12,foreign,765,11,11,3.9404587631472254,15.527215264063804
12,institution,765,11,11,3.546443820057782,12.57726376882601
12,retail,765,11,11,3.5552971402734674,12.64013775563667
13,foreign,765,11,11,2.9242474849889653,8.551223353464403
13,institution,765,11,11,3.7117712249318906,13.777245626232148
13,retail,765,11,11,5.124623778257323,26.26176886868123
14,foreign,765,11,11,3.872240688500917,14.99424794968215
14,institution,765,11,11,3.2444135591821555,10.526219343004836
14,retail,765,11,11,3.210091753934022,10.3046890686753
15,foreign,765,11,11,3.822615945616372,14.612392667680618
15,institution,765,11,11,3.3734967148337733,11.380480084994256
15,retail,765,11,11,3.3572202967992,11.270928121240527
16,foreign,768,11,11,3.796924944302124,14.416639032663705
16,institution,768,11,11,3.569777128844111,12.743308749618375
16,retail,768,11,11,3.439584866904687,11.830744056639782
17,foreign,772,11,11,3.4984781309469697,12.239349232714229
17,institution,772,11,11,3.059598854359865,9.361145149600102
17,retail,772,11,11,3.977305565104772,15.818959558213386
18,foreign,765,11,11,4.106637262715495,16.864469607523557
18,institution,765,11,11,3.1990242433899065,10.233756109796515
18,retail,765,11,11,4.020188021626357,16.161911729227974
19,foreign,765,11,11,3.808018547473839,14.501005257904753
19,institution,765,11,11,3.1570056432948417,9.96668463179548
19,retail,765,11,11,4.288935977260114,18.394971817036257
20,foreign,765,11,11,2.6955959952842483,7.266237769792518
20,institution,765,11,11,3.3214963981205328,11.032338322727584
20,retail,765,11,11,5.609981568385776,31.47189319762827
21,foreign,765,11,11,3.577473652502104,12.79831773434683
21,institution,765,11,11,3.072180445031411,9.438292686833282
21,retail,765,11,11,4.044431072939447,16.35742270375822
22,foreign,765,11,11,3.5558960569843965,12.644396768077181
22,institution,765,11,11,3.063175001765818,9.383041091443102
22,retail,765,11,11,3.9106014424622972,15.292803641788181
23,foreign,768,11,11,3.60060754007364,12.964374657635119
23,institution,768,11,11,3.2397499088661372,10.495979471998256
23,retail,768,11,11,3.941731888239523,15.53725027876441
24,foreign,772,11,11,3.825477090880309,14.634274972850156
24,institution,772,11,11,3.153342169432768,9.943566837522987
24,retail,772,11,11,3.920577797841288,15.370930268926049
25,foreign,765,11,11,3.9123642238816063,15.306593820308747
25,institution,765,11,11,3.1158301776415054,9.708397695901732
25,retail,765,11,11,4.185099018463465,17.51505379434386
26,foreign,765,11,11,2.6781390169343307,7.172428594025883
26,institution,765,11,11,3.2254100826077776,10.403270200988207
26,retail,765,11,11,5.401782349439336,29.179252550715738
27,foreign,765,11,11,3.585412353092284,12.855181741706703
27,institution,765,11,11,3.4439362898750194,11.860697168717842
27,retail,765,11,11,3.9358751309154765,15.49111304615893
28,foreign,765,11,11,3.5261480232646796,12.433719881973447
28,institution,765,11,11,3.0610792263660227,9.370206030089694
28,retail,765,11,11,3.8373291787328427,14.725095225954531
29,foreign,768,11,11,3.516648362658655,12.36681570658983
29,institution,768,11,11,3.186520389583697,10.153912193232612
29,retail,768,11,11,3.7841804916329207,14.320021993255212
30,foreign,772,11,11,4.1719201740738585,17.404917938844438
30,institution,772,11,11,3.3285284777299644,11.079101827059292
30,retail,772,11,11,4.2350102726642795,17.93531200957194
31,foreign,765,11,11,2.9178034784271683,8.51357713872179
31,institution,765,11,11,3.5220698279714737,12.404975873107173
31,retail,765,11,11,5.541795258771355,30.711494690141322
32,foreign,765,11,11,3.999183279060002,15.993466899512997
32,institution,765,11,11,3.473511376580766,12.065281283235931
32,retail,765,11,11,3.9713612141629477,15.771709893357727
33,foreign,765,11,11,3.8867209275645287,15.106599568768019
33,institution,765,11,11,3.1928773161779946,10.19446555616407
33,retail,765,11,11,3.864704744360229,14.935942761080467
34,foreign,768,11,11,3.9523407227358063,15.62099718859569
34,institution,768,11,11,3.423505545213061,11.720390218104729
34,retail,768,11,11,3.8467973702798206,14.797850007991872
35,foreign,772,11,11,2.7325689338402173,7.466932978188724
35,institution,772,11,11,3.392635495217063,11.509975603406888
35,retail,772,11,11,5.793173877074866,33.56086357002388
36,foreign,765,11,11,3.7908273138444866,14.370371723389411
36,institution,765,11,11,3.2793716675163074,10.75427853370868
36,retail,765,11,11,4.2774489416942405,18.296569448801215
37,foreign,765,11,11,3.873322569092935,15.0026277242447
37,institution,765,11,11,3.156588846446342,9.96405314550953
37,retail,765,11,11,4.136008436693601,17.106565788400676
38,foreign,768,11,11,3.925845145858371,15.412260109259739
38,institution,768,11,11,3.3277907071054957,11.074190990297671
38,retail,768,11,11,4.037198255148209,16.29896975137175
39,foreign,772,11,11,2.9227072888472287,8.542217896280647
39,institution,772,11,11,3.2896698600807777,10.821927788323869
39,retail,772,11,11,7.104436473481045,50.47301760573616
40,foreign,765,11,11,2.7998233062050133,7.839010545968754
40,institution,765,11,11,3.258450273714875,10.617498186272629
40,retail,765,11,11,5.6855640606048174,32.325638687240705
41,foreign,768,11,11,2.6160121405116668,6.843519519304419
41,institution,768,11,11,3.489181722516649,12.174389092744295
41,retail,768,11,11,5.80188244148967,33.661839864866494
42,foreign,772,11,11,3.5966393227616607,12.935814418035484
42,institution,772,11,11,3.441417102832106,11.8433516756652
42,retail,772,11,11,3.9049807739287026,15.248874844752784
43,foreign,768,11,11,3.57580098431086,12.786352679398535
43,institution,768,11,11,3.8208984442271072,14.599264921097005
43,retail,768,11,11,4.057236250458097,16.461165992031674
44,foreign,775,11,11,3.69131267478905,13.625789263058268
44,institution,775,11,11,3.2257494919604004,10.40545978488283
44,retail,775,11,11,3.88570156110679,15.098676621987691
