split,investor,n_test,r2_train_mean,r2_zero
0,foreign,194,0.3159352721279094,0.2810283520134248
0,institution,194,0.03911041488212863,0.04667599090692365
0,retail,194,0.2620945073583987,0.20015350393971043
1,foreign,194,0.2689006250152892,0.2647262344108795
1,institution,194,0.017842597245612657,0.03176791651098776
1,retail,194,0.1117649347463191,0.10229161237277395
2,foreign,194,0.23141784173544788,0.22881018353669247
2,institution,194,0.02998667131089039,0.04242959682242209
2,retail,194,0.20521514394186913,0.20511711067738392
3,foreign,194,0.25441161492823916,0.2483981624764563
3,institution,194,0.05603631947901411,0.06597008605515886
3,retail,194,0.21902727621326257,0.21014512193315127
4,foreign,194,0.24229305523970568,0.23611912056412987
4,institution,194,0.030155110876053604,0.040255893475941495
4,retail,194,0.17475690881988593,0.1323900275771227
5,foreign,194,0.28780838829315314,0.24422092016393904
5,institution,194,0.019531618440473353,0.02950125656922442
5,retail,194,0.34350414047468003,0.27427627245215713
6,foreign,194,0.3422699735643119,0.25994930391231885
6,institution,194,0.024375082168640816,0.03979029510290222
6,retail,194,0.2961460800303486,0.22792799322478619
7,foreign,194,0.2382729196136657,0.21505355469446807
7,institution,194,0.025103974324984235,0.03964038084140176
7,retail,194,0.1903139786209599,0.15905521343902063
8,foreign,197,0.1253399406522373,0.1178714176095016
8,institution,197,0.013669106031132139,0.016549231814937504
8,retail,197,0.1674306301473102,0.16375444090189906
9,foreign,194,0.21286151704802414,0.21381637883817817
9,institution,194,0.03513936132857298,0.05274601366031195
9,retail,194,0.05522881610210384,0.055013695297606025
10,foreign,194,0.245904406947006,0.22223961040444173
10,institution,194,0.05077739428057415,0.0708772481324016
10,retail,194,0.19751479967273622,0.18825750786521067
11,foreign,194,0.1955724227064084,0.19736164689996216
11,institution,194,0.08060862099548549,0.09077151393437899
11,retail,194,0.17175888823571261,0.1720284921754065
12,foreign,194,0.19028993750044598,0.19087455582867752
12,institution,194,0.04025677625965962,0.05938780096075502
12,retail,194,0.09464947434321758,0.07971397571214522
13,foreign,194,0.191355642726867,0.17436457769968894
13,institution,194,0.03440985882739378,0.04997851951147725
13,retail,194,0.2498470127964305,0.2084015861104045
14,foreign,194,0.28480398923052364,0.2413133455001938
14,institution,194,0.04325469723664288,0.06231928637205053
14,retail,194,0.21793318292321406,0.1829757453101476
15,foreign,194,0.1602315641858606,0.15866108671475843
15,institution,194,0.041593662328531456,0.06262060546411485
15,retail,194,0.13179015002016425,0.1223174346294712
16,foreign,197,0.058489941277221624,0.06006638034272638
16,institution,197,0.03285803071290927,0.029600868264663127
16,retail,197,0.14158510158376225,0.1413098859158084
17,foreign,194,0.29825307484334196,0.20956850737293775
17,institution,194,-0.012017830213271186,-0.009099682773614726
17,retail,194,0.16023788211389345,0.09399290908081226
18,foreign,194,0.1914955982613118,0.14677671069902143
18,institution,194,0.0720986086276828,0.05804165835371755
18,retail,194,0.10191969675951873,0.0731331238638614
19,foreign,194,0.22123725978253317,0.18636177143480148
19,institution,194,6.182420672118383e-05,0.013336647609157981
19,retail,194,-0.03476931254725901,-0.042430666481409585
20,foreign,194,0.17629859781354396,0.1770313228414644
20,institution,194,-0.013997681899506897,-0.008386493584788823
20,retail,194,0.0752374553593762,0.0754028727101933
21,foreign,194,0.20953115078396956,0.2081479722030567
21,institution,194,-0.005665922582918981,-0.014301998265261462
21,retail,194,0.03141146961574004,0.031845082594431084
22,foreign,194,0.15079119278650355,0.13921083422322045
22,institution,194,-0.0041193142708568775,-0.004526330341503737
22,retail,194,0.023782145543645217,0.01638149653331533
23,foreign,197,0.060045489263465424,0.022241279740312536
23,institution,197,0.025834543655370412,-0.01073388951815013
23,retail,197,0.07488176953210923,0.03121158069686869
24,foreign,194,0.2770081305136236,0.1762898097071629
24,institution,194,0.07890564920737919,0.06353869478234353
24,retail,194,0.25772683131681484,0.18965104070183114
25,foreign,194,0.2782080541379981,0.19317691804669135
25,institution,194,0.008118421792007391,0.02347562218995991
25,retail,194,0.163742614065147,0.12526254846931262
26,foreign,194,0.21026765118003832,0.19287046589178547
26,institution,194,-0.022925274840201793,-0.015638345002515264
26,retail,194,0.20145142058366505,0.19126443610294064
27,foreign,194,0.19536186928136678,0.19047426940583756
27,institution,194,-0.00934146600795005,-0.01662987950991268
27,retail,194,0.2172970803615195,0.19671939727710142
28,foreign,194,0.21225711188597507,0.15829358687873163
28,institution,194,-0.005111068387409379,-0.0031454667532002656
28,retail,194,0.19383190510953707,0.15983506478364606
29,foreign,197,0.16726758575636524,0.07517923739423205
29,institution,197,0.029662462519222,-0.00768688839865761
29,retail,197,0.22808280593102925,0.14316686576390547
30,foreign,194,0.1862462224661533,0.15010646148604223
30,institution,194,0.06413764830027924,0.06566622242060416
30,retail,194,0.1040096617540085,0.09706349448542417
31,foreign,194,0.15837468989699155,0.15941626728432312
31,institution,194,0.027490608003027495,0.021598141018607575
31,retail,194,0.18438514471515366,0.1842974879374687
32,foreign,194,0.19112012724920957,0.18822814796891474
32,institution,194,0.0824858759283642,0.056392709198330504
32,retail,194,0.17666057059080653,0.17642898388922557
33,foreign,194,0.109248640598547,0.09721662273692588
33,institution,194,0.08160039204673919,0.06447790940503206
33,retail,194,0.13151299879268596,0.12419107479389035
34,foreign,197,0.03998387529106273,-0.0011107205299958345
34,institution,197,0.05554282622604645,0.002678181916608735
34,retail,197,0.17758405526993482,0.1363456145218669
35,foreign,194,0.12140827440578361,0.12192596693901325
35,institution,194,-0.0169712515445839,-0.003354008700683142
35,retail,194,0.11606774590206881,0.10244779760273737
36,foreign,194,0.19001902500985535,0.18602526861983715
36,institution,194,0.012530020002413655,0.02199026961391437
36,retail,194,0.05627918326113712,0.046749559083561376
37,foreign,194,0.12692617324271227,0.11703445141886604
37,institution,194,0.003544866320881468,0.017893265076121434
