split,investor,feature,context,weight
0,foreign,momentum,kospi_return_1d,-0.008696064352989197
0,foreign,momentum,fx_level_z_252,-0.0019242000998929143
0,foreign,persist,kospi_return_1d,0.010484782978892326
0,foreign,persist,fx_level_z_252,0.0008847170975059271
0,foreign,underwater,kospi_return_1d,-0.0018584314966574311
0,foreign,underwater,fx_level_z_252,-0.006762058008462191
0,institution,momentum,kospi_return_1d,-0.002954894443973899
0,institution,momentum,fx_level_z_252,-0.00016600589151494205
0,institution,persist,kospi_return_1d,-5.2028524805791676e-05
0,institution,persist,fx_level_z_252,-0.00016695214435458183
0,institution,underwater,kospi_return_1d,0.0023391423746943474
0,institution,underwater,fx_level_z_252,0.00012647220864892006
0,retail,momentum,kospi_return_1d,0.0018198966281488538
0,retail,momentum,fx_level_z_252,0.0074662757106125355
0,retail,persist,kospi_return_1d,0.0020823399536311626
0,retail,persist,fx_level_z_252,-0.00027550983941182494
0,retail,underwater,kospi_return_1d,-0.0003386341268196702
0,retail,underwater,fx_level_z_252,-0.02590758353471756
1,foreign,momentum,kospi_return_1d,-0.009961958974599838
1,foreign,momentum,fx_level_z_252,-0.00544991297647357
1,foreign,persist,kospi_return_1d,0.002338539808988571
1,foreign,persist,fx_level_z_252,-0.0030957076232880354
1,foreign,underwater,kospi_return_1d,-0.002116610761731863
1,foreign,underwater,fx_level_z_252,-0.01172944251447916
1,institution,momentum,kospi_return_1d,-0.0017396833281964064
1,institution,momentum,fx_level_z_252,0.00013235103688202798
1,institution,persist,kospi_return_1d,-0.00025586006813682616
1,institution,persist,fx_level_z_252,-0.00016389063966926187
1,institution,underwater,kospi_return_1d,0.003553945804014802
1,institution,underwater,fx_level_z_252,0.0012622564099729061
1,retail,momentum,kospi_return_1d,0.003197701182216406
1,retail,momentum,fx_level_z_252,0.0030083192978054285
1,retail,persist,kospi_return_1d,-0.005325460806488991
1,retail,persist,fx_level_z_252,-0.0054055750370025635
1,retail,underwater,kospi_return_1d,0.0028704057913273573
1,retail,underwater,fx_level_z_252,-0.028210638090968132
2,foreign,momentum,kospi_return_1d,-0.009118674322962761
2,foreign,momentum,fx_level_z_252,-0.0005587845807895064
2,foreign,persist,kospi_return_1d,0.002534603700041771
2,foreign,persist,fx_level_z_252,-0.010259471833705902
2,foreign,underwater,kospi_return_1d,-0.0014969324693083763
2,foreign,underwater,fx_level_z_252,-0.010762766934931278
2,institution,momentum,kospi_return_1d,-0.0015084203332662582
2,institution,momentum,fx_level_z_252,-6.726414721924812e-05
2,institution,persist,kospi_return_1d,-0.00030081128352321684
2,institution,persist,fx_level_z_252,0.0001593391934875399
2,institution,underwater,kospi_return_1d,0.00482390308752656
2,institution,underwater,fx_level_z_252,0.0021859456319361925
2,retail,momentum,kospi_return_1d,0.0011839475482702255
2,retail,momentum,fx_level_z_252,0.006095381919294596
2,retail,persist,kospi_return_1d,-0.008272828534245491
2,retail,persist,fx_level_z_252,-0.0022329725325107574
2,retail,underwater,kospi_return_1d,0.0022348056081682444
2,retail,underwater,fx_level_z_252,-0.021440917626023293
3,foreign,momentum,kospi_return_1d,-0.01107595395296812
3,foreign,momentum,fx_level_z_252,-0.0012124126078560948
3,foreign,persist,kospi_return_1d,0.002795336302369833
3,foreign,persist,fx_level_z_252,-0.01085019763559103
3,foreign,underwater,kospi_return_1d,-0.001491422881372273
3,foreign,underwater,fx_level_z_252,-0.012675529345870018
3,institution,momentum,kospi_return_1d,-0.0011583872837945819
3,institution,momentum,fx_level_z_252,0.0008162736194208264
3,institution,persist,kospi_return_1d,-3.426611510803923e-05
3,institution,persist,fx_level_z_252,0.0004307508934289217
3,institution,underwater,kospi_return_1d,0.004406558349728584
3,institution,underwater,fx_level_z_252,0.0024647358804941177
3,retail,momentum,kospi_return_1d,0.003393767401576042
3,retail,momentum,fx_level_z_252,0.0016214522765949368
3,retail,persist,kospi_return_1d,-0.00489823566749692
3,retail,persist,fx_level_z_252,-0.0008732440182939172
3,retail,underwater,kospi_return_1d,0.00034649542067199945
3,retail,underwater,fx_level_z_252,-0.03187375143170357
4,foreign,momentum,kospi_return_1d,-0.010830272920429707
4,foreign,momentum,fx_level_z_252,-0.0047021410427987576
4,foreign,persist,kospi_return_1d,0.005435260944068432
4,foreign,persist,fx_level_z_252,-0.008605551905930042
4,foreign,underwater,kospi_return_1d,-0.003164032008498907
4,foreign,underwater,fx_level_z_252,-0.004548945464193821
4,institution,momentum,kospi_return_1d,-0.0020749163813889027
4,institution,momentum,fx_level_z_252,0.0006384037551470101
4,institution,persist,kospi_return_1d,-0.0001292479719268158
4,institution,persist,fx_level_z_252,0.00014812746667303145
4,institution,underwater,kospi_return_1d,0.0020778411999344826
4,institution,underwater,fx_level_z_252,6.243507959879935e-05
4,retail,momentum,kospi_return_1d,0.005502965301275253
4,retail,momentum,fx_level_z_252,0.0011440241942182183
4,retail,persist,kospi_return_1d,4.4394764699973166e-05
4,retail,persist,fx_level_z_252,-8.840863301884383e-05
4,retail,underwater,kospi_return_1d,0.0026114543434232473
4,retail,underwater,fx_level_z_252,-0.0343526154756546
5,foreign,momentum,kospi_return_1d,-0.014722163788974285
5,foreign,momentum,fx_level_z_252,-8.317743777297437e-05
5,foreign,persist,kospi_return_1d,0.010453476570546627
5,foreign,persist,fx_level_z_252,-0.005483084358274937
5,foreign,underwater,kospi_return_1d,-0.00020262194448150694
5,foreign,underwater,fx_level_z_252,-0.003279679222032428
5,institution,momentum,kospi_return_1d,0.0006856584222987294
5,institution,momentum,fx_level_z_252,9.894602953863796e-06
5,institution,persist,kospi_return_1d,-0.00018119321612175554
5,institution,persist,fx_level_z_252,0.0014885588316246867
5,institution,underwater,kospi_return_1d,0.0032413972076028585
5,institution,underwater,fx_level_z_252,0.0011805781396105886
5,retail,momentum,kospi_return_1d,0.0006025180337019265
5,retail,momentum,fx_level_z_252,-8.912861812859774e-05
5,retail,persist,kospi_return_1d,0.0022052559070289135
5,retail,persist,fx_level_z_252,-0.0002650662208907306
5,retail,underwater,kospi_return_1d,-0.0011609483044594526
5,retail,underwater,fx_level_z_252,-0.022458551451563835
6,foreign,momentum,kospi_return_1d,-0.012578632682561874
6,foreign,momentum,fx_level_z_252,-0.003652851330116391
6,foreign,persist,kospi_return_1d,0.008954492397606373
6,foreign,persist,fx_level_z_252,-0.006441914476454258
6,foreign,underwater,kospi_return_1d,-0.004065253306180239
6,foreign,underwater,fx_level_z_252,-0.009344516322016716
6,institution,momentum,kospi_return_1d,-0.0020158460829406977
6,institution,momentum,fx_level_z_252,0.00039309944259002805
6,institution,persist,kospi_return_1d,-9.962390322471038e-06
6,institution,persist,fx_level_z_252,1.2500822776928544e-05
6,institution,underwater,kospi_return_1d,0.006028643809258938
6,institution,underwater,fx_level_z_252,0.00021376056247390807
6,retail,momentum,kospi_return_1d,0.00026994047220796347
6,retail,momentum,fx_level_z_252,0.002125130733475089
6,retail,persist,kospi_return_1d,0.0003316142538096756
6,retail,persist,fx_level_z_252,-0.002496322151273489
6,retail,underwater,kospi_return_1d,0.003148135030642152
6,retail,underwater,fx_level_z_252,-0.02577592246234417
7,foreign,momentum,kospi_return_1d,-0.01419564988464117
7,foreign,momentum,fx_level_z_252,-0.004944684915244579
7,foreign,persist,kospi_return_1d,0.007453432772308588
7,foreign,persist,fx_level_z_252,-0.0103378901258111
7,foreign,underwater,kospi_return_1d,-0.0040838876739144325
7,foreign,underwater,fx_level_z_252,-0.005661718547344208
7,institution,momentum,kospi_return_1d,-0.0018079043366014957
7,institution,momentum,fx_level_z_252,6.89015505486168e-05
7,institution,persist,kospi_return_1d,-0.00040202957461588085
7,institution,persist,fx_level_z_252,-0.00019030176918022335
7,institution,underwater,kospi_return_1d,0.004361053463071585
7,institution,underwater,fx_level_z_252,0.0014454390620812774
7,retail,momentum,kospi_return_1d,0.005221616011112928
7,retail,momentum,fx_level_z_252,0.0013186467112973332
7,retail,persist,kospi_return_1d,0.0006290486780926585
7,retail,persist,fx_level_z_252,-0.00041342194890603423
7,retail,underwater,kospi_return_1d,0.0016979302745312452
7,retail,underwater,fx_level_z_252,-0.03740217164158821
8,foreign,momentum,kospi_return_1d,-0.006554084364324808
8,foreign,momentum,fx_level_z_252,0.00313308322802186
8,foreign,persist,kospi_return_1d,0.003727864008396864
8,foreign,persist,fx_level_z_252,-0.00021424522856250405
8,foreign,underwater,kospi_return_1d,0.016602331772446632
8,foreign,underwater,fx_level_z_252,-0.011038370430469513
8,institution,momentum,kospi_return_1d,-0.0003957984736189246
8,institution,momentum,fx_level_z_252,9.802345448406413e-05
8,institution,persist,kospi_return_1d,-0.006202798802405596
8,institution,persist,fx_level_z_252,-5.62745553907007e-05
