investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
foreign,momentum,kospi_return_1d,-0.008349928585084853,0.0047341237930279105,0.044444444444444446,0.9555555555555556,negative,0.9555555555555556
foreign,momentum,fx_level_z_252,-0.0026883338316110892,0.003866835867633425,0.15555555555555556,0.8444444444444444,negative,0.8444444444444444
foreign,persist,kospi_return_1d,0.0003681419220002782,0.004341244891073233,0.4666666666666667,0.5333333333333333,positive,0.4666666666666667
foreign,persist,fx_level_z_252,-0.0015180628158203843,0.0038234201696125147,0.37777777777777777,0.6222222222222222,negative,0.6222222222222222
foreign,underwater,kospi_return_1d,-0.0008547592454407196,0.003654850551994209,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
foreign,underwater,fx_level_z_252,-0.005694798967387113,0.0052789125360540754,0.15555555555555556,0.8444444444444444,negative,0.8444444444444444
institution,momentum,kospi_return_1d,-0.0007132906322011776,0.0017674220745602116,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
institution,momentum,fx_level_z_252,0.001094935918141952,0.0011755519942418448,0.9111111111111111,0.08888888888888889,positive,0.9111111111111111
institution,persist,kospi_return_1d,-0.0021223179165746034,0.0027524055237171108,0.022222222222222223,0.9777777777777777,negative,0.9777777777777777
institution,persist,fx_level_z_252,-0.0001813697269729649,0.0006758322293213176,0.4222222222222222,0.5777777777777777,negative,0.5777777777777777
institution,underwater,kospi_return_1d,0.004471885071446498,0.0017116108047636545,1.0,0.0,positive,1.0
institution,underwater,fx_level_z_252,0.0015034453673555012,0.001302153068534336,0.9777777777777777,0.022222222222222223,positive,0.9777777777777777
retail,momentum,kospi_return_1d,-8.269591214937262e-05,0.004494205826062941,0.6666666666666666,0.3333333333333333,negative,0.3333333333333333
retail,momentum,fx_level_z_252,-0.001165803008674023,0.0031895553503268753,0.28888888888888886,0.7111111111111111,negative,0.7111111111111111
retail,persist,kospi_return_1d,-0.01082551368421668,0.010618412854550766,0.2222222222222222,0.7777777777777778,negative,0.7777777777777778
retail,persist,fx_level_z_252,0.001926966394158727,0.0039912706026993434,0.6666666666666666,0.3333333333333333,positive,0.6666666666666666
retail,underwater,kospi_return_1d,-0.0008193704131473269,0.002252655703356711,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
retail,underwater,fx_level_z_252,-0.02557310441560629,0.007762323113847097,0.0,1.0,negative,1.0
