split,investor,train_size,test_size,train_mse,train_rmse,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean
0,foreign,773,194,0.05375001433981344,0.23184049331342754,0.1876140260339019,0.23196584060432485,0.05380815120727104,0.6752577319587629,0.4183270745937114,0.0,-0.103180324225757,-0.09082726579754777
0,institution,773,194,0.014676476828753948,0.12114650976711606,0.09788782840574246,0.1321845350391271,0.017472751303510222,0.5463917525773195,0.19405898325413296,0.0,-0.04528642603683468,-0.003151432176741061
0,retail,773,194,0.09507661952816654,0.30834496838470793,0.2578661023325901,0.30701729228002844,0.09425961775896043,0.634020618556701,0.30831402068412195,0.0,0.14721717421726332,0.06423042120517607
1,foreign,766,194,0.0530548165831958,0.23033631190760132,0.1796258418627573,0.22763397586411793,0.05181722696770582,0.6958762886597938,0.536327915977933,0.0,-0.04263519651206095,-0.01652254740294722
1,institution,766,194,0.014295092783868313,0.11956208756904638,0.10280498937051383,0.1353543852407232,0.01832080960389411,0.5309278350515464,0.14017346413406204,0.0,-0.02827962139530165,-0.0051155298667451
1,retail,766,194,0.08640693221484401,0.2939505608343757,0.2895553501859336,0.34596079495081755,0.11968887164300163,0.6288659793814433,0.30795611152880203,0.0,0.057044845151825396,0.015538477859719051
2,foreign,766,194,0.050787255372219856,0.22536027904717337,0.19649641216656352,0.2523947731328379,0.06370312150477674,0.7061855670103093,0.505198225842888,0.0,0.012807647440193663,0.0061657381999803244
2,institution,766,194,0.014972813427448273,0.12236344808580818,0.0927607910586077,0.12350020931902278,0.01525230170184244,0.520618556701031,0.18207306183500716,0.0,-0.0287449085561693,-0.003453624343857188
2,retail,766,194,0.08956305110734686,0.29927086578440415,0.27947528371959446,0.329387209577316,0.10849593383313069,0.6701030927835051,0.4740278656643886,0.0,-0.009478956210719825,-0.015454541010897337
3,foreign,766,194,0.05507408811980688,0.23467869123507332,0.1645959446581138,0.21545486268056283,0.04642079785270019,0.6804123711340206,0.5109305425987004,0.0,-0.045495672270862056,-0.020077329399616255
3,institution,766,194,0.014103997498750687,0.11876025218376175,0.10085347898858185,0.13605582441510966,0.01851118735727515,0.6030927835051546,0.30599436474542646,0.0,-0.019208961167941636,-0.0017918749044744716
3,retail,766,194,0.09216053056343418,0.3035795292232897,0.2673959825637981,0.3162256288890879,0.09999864836629913,0.6907216494845361,0.4783773768630767,0.0,0.050782937324274635,0.015215020525970102
4,foreign,766,194,0.0524792244302853,0.2290834442518387,0.18471689000257685,0.23596830420882536,0.055681040591188745,0.6855670103092784,0.5032105514843999,0.0,-0.04055708715843383,-0.026992294664936353
4,institution,766,194,0.014122921042144299,0.11883989667676549,0.09815949917553093,0.13503225901640303,0.018233710975072957,0.5670103092783505,0.1432247400556291,0.0,-0.03754181132925501,-0.005934479408153361
4,retail,766,194,0.0942616593044047,0.30702061706733097,0.251006081624115,0.30279350861727145,0.09168390886075763,0.6391752577319587,0.285024441654951,0.0,0.09674925995167326,0.04097775924715607
5,foreign,766,194,0.050608677804158814,0.2249637255296036,0.20392402127737985,0.25635377927056424,0.06571726014630117,0.6958762886597938,0.4103169679091353,0.0,-0.10358689424819457,-0.0639398553823937
5,institution,766,194,0.013620030134916306,0.1167048847945805,0.10393915446649171,0.14434174451321596,0.02083453920911851,0.5670103092783505,0.1435807345792952,0.0,-0.03189227295293564,-0.004657297500483596
5,retail,766,194,0.09853313437252069,0.31389987953569,0.23309620507913595,0.2812224588685572,0.07908607137207734,0.7164948453608248,0.40558609641643634,0.0,0.13837820848692498,0.08249193428986773
6,foreign,766,194,0.05402748216692524,0.23243812545906758,0.1780465968204038,0.22745895933643545,0.051737578182414194,0.711340206185567,0.29809183275949797,0.0,-0.13733631177726155,-0.06505820679732781
6,institution,766,194,0.014707827940583229,0.12127583411621307,0.09485035717184895,0.12781710691006629,0.016337212818859317,0.5670103092783505,0.1481500847629864,0.0,-0.024078968430649654,-0.008713051617342364
6,retail,766,194,0.09995006814637944,0.31614880696656034,0.21786885250770227,0.26646292670078453,0.07100249130594766,0.6804123711340206,0.2965953986268811,0.0,0.1295310582217914,0.0810463562386936
7,foreign,766,194,0.05228008263727392,0.2286483821007136,0.19072641878774071,0.2367754301321777,0.056062604314277766,0.6907216494845361,0.4423437875593119,0.0,-0.07270552117417124,-0.021420955211500226
7,institution,766,194,0.014886924996972084,0.12201198710361243,0.09639107483422946,0.12555707597289206,0.015764579326862586,0.5721649484536082,0.15726177909088762,0.0,-0.027478165734924145,-0.005473594864729561
7,retail,766,194,0.09053939221032917,0.30089764407573744,0.2747087281925805,0.32777658510063173,0.10743748974023166,0.6804123711340206,0.38123666393565864,0.0,0.0948412051795233,0.01945647362321999
8,foreign,769,197,0.051711116872621296,0.22740078467899202,0.20082391363386595,0.25475703884441947,0.06490114884077706,0.649746192893401,0.36204832429470024,0.0,-0.04545616229279865,-0.0039045306603391157
8,institution,769,197,0.013295932672917843,0.1153079904990016,0.11491074210530984,0.14781946527038595,0.021850594312822835,0.5279187817258884,0.12323159622310709,0.0,-0.008186378686447737,-0.01050480327132834
8,retail,769,197,0.09139523093233803,0.3023164417168508,0.2700689164856638,0.32425294529633986,0.10513997253335117,0.6446700507614214,0.40896135594053695,0.0,0.03217954353871401,0.0028063416053176987
9,foreign,772,194,0.05456765698645399,0.23359721099887726,0.17848813411400602,0.2206020191434427,0.04866525085016387,0.6391752577319587,0.4654650925793194,0.0,-0.009060699257124443,-0.022260029747429275
9,institution,772,194,0.015480543486773968,0.12442083220576033,0.09013392129965779,0.11810111469135756,0.013947873291341194,0.5927835051546392,0.21117700600055128,0.0,-0.023341545026830984,-0.0038447983715366382
9,retail,772,194,0.08824128232934932,0.297054342384267,0.2802067533514664,0.339369963214397,0.11517197193214117,0.5670103092783505,0.2547240714819948,0.0,0.024241641132621883,0.002018617826139497
10,foreign,765,194,0.05226682680689432,0.22861939289328523,0.19149494639597983,0.23995482928845643,0.05757832009885227,0.654639175257732,0.471515109347073,0.0,0.04638214469513017,0.006505587066226092
