investor,metric,mean,std
foreign,mae,0.18541140606953913,0.015251290294379619
institution,mae,0.09344526714293616,0.00885511987227479
retail,mae,0.2557014975670397,0.0261115247493801
foreign,rmse,0.23458489437999286,0.01732109202971755
institution,rmse,0.12375599754912936,0.012254332573460088
retail,rmse,0.3101265540438609,0.028683816890657687
foreign,mse,0.0553234257841721,0.008108376494710592
institution,mse,0.015462378514716168,0.0030351505146609284
retail,mse,0.09698295728894954,0.017483575414065967
foreign,direction_accuracy,0.64864200115129,0.0361237981698393
institution,direction_accuracy,0.5569254743256523,0.0397920488596281
retail,direction_accuracy,0.6329158453550101,0.03371333197440691
foreign,correlation,0.36388142645035837,0.09056216853456499
institution,correlation,0.16527007397427984,0.07357557748140402
retail,correlation,0.3122620956710272,0.09077779011998241
foreign,saturation_rate,0.0,0.0
institution,saturation_rate,0.0,0.0
retail,saturation_rate,0.0,0.0
