split,train_size,test_size,purged_embargoed_size
0,773,194,6
1,766,194,13
2,766,194,13
3,766,194,13
4,766,194,13
5,766,194,13
6,766,194,13
7,766,194,13
8,769,197,7
9,772,194,7
10,765,194,14
11,765,194,14
12,765,194,14
13,765,194,14
14,765,194,14
15,765,194,14
16,768,197,8
17,772,194,7
18,765,194,14
19,765,194,14
20,765,194,14
21,765,194,14
22,765,194,14
23,768,197,8
24,772,194,7
25,765,194,14
26,765,194,14
27,765,194,14
28,765,194,14
29,768,197,8
30,772,194,7
31,765,194,14
32,765,194,14
33,765,194,14
34,768,197,8
35,772,194,7
36,765,194,14
37,765,194,14
38,768,197,8
39,772,194,7
40,765,194,14
41,768,197,8
42,772,194,7
43,768,197,8
44,775,197,1
