split,investor,feature,weight
0,foreign,momentum,0.03987845778465271
0,foreign,persist,0.06630595028400421
0,foreign,underwater,0.016323545947670937
0,institution,momentum,-0.0024162025656551123
0,institution,persist,0.02107260562479496
0,institution,underwater,-0.002635463373735547
0,retail,momentum,-0.017293531447649002
0,retail,persist,0.08832420408725739
0,retail,underwater,0.03451463207602501
1,foreign,momentum,0.04178451746702194
1,foreign,persist,0.07098637521266937
1,foreign,underwater,0.010392528958618641
1,institution,momentum,-0.001455396763049066
1,institution,persist,0.024075929075479507
1,institution,underwater,-0.0003577414317987859
1,retail,momentum,-0.018731653690338135
1,retail,persist,0.10091021656990051
1,retail,underwater,0.035568349063396454
2,foreign,momentum,0.04166294261813164
2,foreign,persist,0.06848369538784027
2,foreign,underwater,0.009604600258171558
2,institution,momentum,-0.0011486533330753446
2,institution,persist,0.023308908566832542
2,institution,underwater,-0.0004960076184943318
2,retail,momentum,-0.02383151277899742
2,retail,persist,0.09122917056083679
2,retail,underwater,0.027182500809431076
3,foreign,momentum,0.04166285693645477
3,foreign,persist,0.07561900466680527
3,foreign,underwater,0.011493896134197712
3,institution,momentum,-0.0016799506265670061
3,institution,persist,0.019416818395256996
3,institution,underwater,-0.0004873370344284922
3,retail,momentum,-0.022309070453047752
3,retail,persist,0.089473195374012
3,retail,underwater,0.039172183722257614
4,foreign,momentum,0.03817318379878998
4,foreign,persist,0.06941951811313629
4,foreign,underwater,0.006090337876230478
4,institution,momentum,-0.0001298501738347113
4,institution,persist,0.02343866229057312
4,institution,underwater,5.3524527174886316e-05
4,retail,momentum,-0.020118294283747673
4,retail,persist,0.09665757417678833
4,retail,underwater,0.045816514641046524
5,foreign,momentum,0.02447132021188736
5,foreign,persist,0.06205679476261139
5,foreign,underwater,0.0036183823831379414
5,institution,momentum,-5.9940924984402955e-05
5,institution,persist,0.024381142109632492
5,institution,underwater,-0.00025137868942692876
5,retail,momentum,-0.011289373971521854
5,retail,persist,0.09032735973596573
5,retail,underwater,0.02237667888402939
6,foreign,momentum,0.040295083075761795
6,foreign,persist,0.06733668595552444
6,foreign,underwater,0.001922386116348207
6,institution,momentum,-2.36707492149435e-05
6,institution,persist,0.023374728858470917
6,institution,underwater,-0.000248768919846043
6,retail,momentum,-0.022610504180192947
