epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.001988263800740242
1,beta,persist,,0.0019169359002262354
1,beta,underwater,,0.001927197678014636
1,B,momentum,kospi_return_1d,0.0006016855477355421
1,B,momentum,fx_level_z_252,0.0017052823677659035
1,B,persist,kospi_return_1d,0.0018734337063506246
1,B,persist,fx_level_z_252,-0.0015063995961099863
1,B,underwater,kospi_return_1d,-0.0011343281948938966
1,B,underwater,fx_level_z_252,-0.00196870812214911
1,alpha,,kospi_return_1d,-0.0015926823252812028
1,alpha,,fx_level_z_252,0.0019978946074843407
2,beta,momentum,,-0.003968717530369759
2,beta,persist,,0.003824361599981785
2,beta,underwater,,0.0038405917584896088
2,B,momentum,kospi_return_1d,0.00028596093761734664
2,B,momentum,fx_level_z_252,0.0031865215860307217
2,B,persist,kospi_return_1d,0.0032077962532639503
2,B,persist,fx_level_z_252,-0.002842408837750554
2,B,underwater,kospi_return_1d,-0.0015660743229091167
2,B,underwater,fx_level_z_252,-0.0027696045581251383
2,alpha,,kospi_return_1d,-0.0030494905076920986
2,alpha,,fx_level_z_252,0.003949581645429134
3,beta,momentum,,-0.005940615199506283
3,beta,persist,,0.005766301415860653
3,beta,underwater,,0.005775062832981348
3,B,momentum,kospi_return_1d,-0.00025910785188898444
3,B,momentum,fx_level_z_252,0.004711062181740999
3,B,persist,kospi_return_1d,0.004134403541684151
3,B,persist,fx_level_z_252,-0.004167294129729271
3,B,underwater,kospi_return_1d,-0.0015303912805393338
3,B,underwater,fx_level_z_252,-0.003605426987633109
3,alpha,,kospi_return_1d,-0.004684583283960819
3,alpha,,fx_level_z_252,0.0058632176369428635
4,beta,momentum,,-0.007885199040174484
4,beta,persist,,0.007705679628998041
4,beta,underwater,,0.007662799209356308
4,B,momentum,kospi_return_1d,-0.0001978983054868877
4,B,momentum,fx_level_z_252,0.006270997691899538
4,B,persist,kospi_return_1d,0.004279660992324352
4,B,persist,fx_level_z_252,-0.005601317621767521
4,B,underwater,kospi_return_1d,-0.0015951176173985004
4,B,underwater,fx_level_z_252,-0.004497448913753033
4,alpha,,kospi_return_1d,-0.006330793257802725
4,alpha,,fx_level_z_252,0.007716458756476641
5,beta,momentum,,-0.009802146814763546
5,beta,persist,,0.009617152623832226
5,beta,underwater,,0.009487999603152275
5,B,momentum,kospi_return_1d,-6.164984370116144e-05
5,B,momentum,fx_level_z_252,0.007788694463670254
5,B,persist,kospi_return_1d,0.004451504442840815
5,B,persist,fx_level_z_252,-0.00694034481421113
5,B,underwater,kospi_return_1d,-0.001604661112651229
5,B,underwater,fx_level_z_252,-0.005398826207965612
5,alpha,,kospi_return_1d,-0.007993943057954311
5,alpha,,fx_level_z_252,0.009479591622948647
6,beta,momentum,,-0.011705595068633556
6,beta,persist,,0.011512252502143383
6,beta,underwater,,0.011333602480590343
6,B,momentum,kospi_return_1d,0.00010817062138812616
6,B,momentum,fx_level_z_252,0.009232347831130028
6,B,persist,kospi_return_1d,0.004484014119952917
6,B,persist,fx_level_z_252,-0.008238843642175198
6,B,underwater,kospi_return_1d,-0.0018332230392843485
6,B,underwater,fx_level_z_252,-0.006163444370031357
6,alpha,,kospi_return_1d,-0.009637334384024143
6,alpha,,fx_level_z_252,0.011231407523155212
7,beta,momentum,,-0.013572166673839092
7,beta,persist,,0.013396207243204117
7,beta,underwater,,0.013165060430765152
7,B,momentum,kospi_return_1d,0.000266143586486578
7,B,momentum,fx_level_z_252,0.010562518611550331
7,B,persist,kospi_return_1d,0.004607318434864283
7,B,persist,fx_level_z_252,-0.00948790367692709
7,B,underwater,kospi_return_1d,-0.00203699036501348
7,B,underwater,fx_level_z_252,-0.006828792858868837
7,alpha,,kospi_return_1d,-0.011231685057282448
7,alpha,,fx_level_z_252,0.012920587323606014
8,beta,momentum,,-0.015412609092891216
8,beta,persist,,0.01527197752147913
8,beta,underwater,,0.014987392351031303
8,B,momentum,kospi_return_1d,0.0005679175956174731
8,B,momentum,fx_level_z_252,0.011654113419353962
8,B,persist,kospi_return_1d,0.0044242930598556995
8,B,persist,fx_level_z_252,-0.010663323104381561
8,B,underwater,kospi_return_1d,-0.00231943023391068
8,B,underwater,fx_level_z_252,-0.007249080576002598
8,alpha,,kospi_return_1d,-0.012785660102963448
8,alpha,,fx_level_z_252,0.014569482766091824
9,beta,momentum,,-0.017173854634165764
9,beta,persist,,0.01710735820233822
9,beta,underwater,,0.016756003722548485
9,B,momentum,kospi_return_1d,0.0008801071671769023
9,B,momentum,fx_level_z_252,0.012540310621261597
9,B,persist,kospi_return_1d,0.004342287313193083
9,B,persist,fx_level_z_252,-0.011734820902347565
9,B,underwater,kospi_return_1d,-0.002670729300007224
9,B,underwater,fx_level_z_252,-0.0074388147331774235
9,alpha,,kospi_return_1d,-0.014203573577105999
9,alpha,,fx_level_z_252,0.016214143484830856
10,beta,momentum,,-0.01885279454290867
10,beta,persist,,0.01887711137533188
10,beta,underwater,,0.01848175749182701
