epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,0.00298401340842247
1,beta,persist,,0.0029997113160789013
1,beta,underwater,,4.165380960330367e-05
1,B,momentum,kospi_return_1d,-0.0020320231560617685
1,B,momentum,fx_level_z_252,-0.002456898335367441
1,B,persist,kospi_return_1d,-0.0010962014785036445
1,B,persist,fx_level_z_252,-0.0010755828116089106
1,B,underwater,kospi_return_1d,0.00018746400019153953
1,B,underwater,fx_level_z_252,0.0027932680677622557
1,alpha,,kospi_return_1d,0.0029787523671984673
1,alpha,,fx_level_z_252,-0.002925440203398466
2,beta,momentum,,0.005942319519817829
2,beta,persist,,0.005972804967314005
2,beta,underwater,,-0.0019650799222290516
2,B,momentum,kospi_return_1d,-0.0017947034211829305
2,B,momentum,fx_level_z_252,-0.004608408082276583
2,B,persist,kospi_return_1d,-0.0012930236989632249
2,B,persist,fx_level_z_252,-0.0017558987019583583
2,B,underwater,kospi_return_1d,0.0017455419292673469
2,B,underwater,fx_level_z_252,0.005252204369753599
2,alpha,,kospi_return_1d,0.005866780411452055
2,alpha,,fx_level_z_252,-0.005712151527404785
3,beta,momentum,,0.00882142037153244
3,beta,persist,,0.008904481306672096
3,beta,underwater,,-0.003333708271384239
3,B,momentum,kospi_return_1d,-0.0011126544559374452
3,B,momentum,fx_level_z_252,-0.006666767876595259
3,B,persist,kospi_return_1d,-0.00042334041791036725
3,B,persist,fx_level_z_252,-0.0011741475900635123
3,B,underwater,kospi_return_1d,0.001879192073829472
3,B,underwater,fx_level_z_252,0.007753307465463877
3,alpha,,kospi_return_1d,0.008541121147572994
3,alpha,,fx_level_z_252,-0.008454910479485989
4,beta,momentum,,0.011638566851615906
4,beta,persist,,0.01174958050251007
4,beta,underwater,,-0.004278107546269894
4,B,momentum,kospi_return_1d,-0.00043503957567736506
4,B,momentum,fx_level_z_252,-0.00847215298563242
4,B,persist,kospi_return_1d,0.0004164883866906166
4,B,persist,fx_level_z_252,-0.0008447739528492093
4,B,underwater,kospi_return_1d,0.0016278373077511787
4,B,underwater,fx_level_z_252,0.00997600331902504
4,alpha,,kospi_return_1d,0.011105180718004704
4,alpha,,fx_level_z_252,-0.011142679490149021
5,beta,momentum,,0.014415801502764225
5,beta,persist,,0.014558968134224415
5,beta,underwater,,-0.0049488358199596405
5,B,momentum,kospi_return_1d,-0.0003583549114409834
5,B,momentum,fx_level_z_252,-0.009524918161332607
5,B,persist,kospi_return_1d,0.0007785210618749261
5,B,persist,fx_level_z_252,-0.00044378015445545316
5,B,underwater,kospi_return_1d,0.0009188539697788656
5,B,underwater,fx_level_z_252,0.01168405544012785
5,alpha,,kospi_return_1d,0.013397583737969398
5,alpha,,fx_level_z_252,-0.01371854729950428
6,beta,momentum,,0.017080290243029594
6,beta,persist,,0.017312873154878616
6,beta,underwater,,-0.005279329139739275
6,B,momentum,kospi_return_1d,4.099420038983226e-05
6,B,momentum,fx_level_z_252,-0.010711507871747017
6,B,persist,kospi_return_1d,0.0015270118601620197
6,B,persist,fx_level_z_252,-0.000135686612338759
6,B,underwater,kospi_return_1d,5.1866445573978126e-05
6,B,underwater,fx_level_z_252,0.012852950021624565
6,alpha,,kospi_return_1d,0.015602689236402512
6,alpha,,fx_level_z_252,-0.016177043318748474
7,beta,momentum,,0.01953526958823204
7,beta,persist,,0.019984455779194832
7,beta,underwater,,-0.005267957225441933
7,B,momentum,kospi_return_1d,-0.00046708242734894156
7,B,momentum,fx_level_z_252,-0.011282934807240963
7,B,persist,kospi_return_1d,0.0015967757208272815
7,B,persist,fx_level_z_252,0.0003077635483350605
7,B,underwater,kospi_return_1d,-0.00044971576426178217
7,B,underwater,fx_level_z_252,0.013664072379469872
7,alpha,,kospi_return_1d,0.017667517066001892
7,alpha,,fx_level_z_252,-0.0184440016746521
8,beta,momentum,,0.021855775266885757
8,beta,persist,,0.022562144324183464
8,beta,underwater,,-0.00490925507619977
8,B,momentum,kospi_return_1d,-0.0011580736609175801
8,B,momentum,fx_level_z_252,-0.01170365046709776
8,B,persist,kospi_return_1d,0.0012391372583806515
8,B,persist,fx_level_z_252,0.0006749925669282675
8,B,underwater,kospi_return_1d,-0.000836973253171891
8,B,underwater,fx_level_z_252,0.014114262536168098
8,alpha,,kospi_return_1d,0.019398845732212067
8,alpha,,fx_level_z_252,-0.020624473690986633
9,beta,momentum,,0.02413945086300373
9,beta,persist,,0.02509457617998123
9,beta,underwater,,-0.0043754372745752335
9,B,momentum,kospi_return_1d,-0.0018437796970829368
9,B,momentum,fx_level_z_252,-0.011765949428081512
9,B,persist,kospi_return_1d,0.0011140102287754416
9,B,persist,fx_level_z_252,0.0006281264941208065
9,B,underwater,kospi_return_1d,-0.0010709119960665703
9,B,underwater,fx_level_z_252,0.014489183202385902
9,alpha,,kospi_return_1d,0.02089373953640461
9,alpha,,fx_level_z_252,-0.02270963415503502
10,beta,momentum,,0.026270020753145218
10,beta,persist,,0.02751106023788452
10,beta,underwater,,-0.003471739124506712
