epoch,parameter,feature,context,weight
0,beta,momentum,,0.0
0,beta,persist,,0.0
0,beta,underwater,,0.0
0,B,momentum,kospi_return_1d,0.0
0,B,momentum,fx_level_z_252,0.0
0,B,persist,kospi_return_1d,0.0
0,B,persist,fx_level_z_252,0.0
0,B,underwater,kospi_return_1d,0.0
0,B,underwater,fx_level_z_252,0.0
0,alpha,,kospi_return_1d,0.0
0,alpha,,fx_level_z_252,0.0
1,beta,momentum,,-0.0004999947268515825
1,beta,persist,,0.000499999790918082
1,beta,underwater,,-0.0004999983357265592
1,B,momentum,kospi_return_1d,-0.0004999987431801856
1,B,momentum,fx_level_z_252,0.0004999994998797774
1,B,persist,kospi_return_1d,-0.0004999993252567947
1,B,persist,fx_level_z_252,0.0004999986849725246
1,B,underwater,kospi_return_1d,0.0004999994998797774
1,B,underwater,fx_level_z_252,0.0004999992088414729
1,alpha,,kospi_return_1d,-0.0004999996745027602
1,alpha,,fx_level_z_252,-0.0004999994416721165
2,beta,momentum,,-0.00019835529383271933
2,beta,persist,,0.0009951542597264051
2,beta,underwater,,-0.00044440393685363233
2,B,momentum,kospi_return_1d,-0.0004917755722999573
2,B,momentum,fx_level_z_252,0.0009640571661293507
2,B,persist,kospi_return_1d,-0.000888804963324219
2,B,persist,fx_level_z_252,0.0006137608434073627
2,B,underwater,kospi_return_1d,0.0009477345738559961
2,B,underwater,fx_level_z_252,0.0009081090101972222
2,alpha,,kospi_return_1d,-0.0009888065978884697
2,alpha,,fx_level_z_252,-0.0009486638591624796
3,beta,momentum,,0.00018734077457338572
3,beta,persist,,0.0014887419529259205
3,beta,underwater,,-0.00020686413336079568
3,B,momentum,kospi_return_1d,-0.0002924773143604398
3,B,momentum,fx_level_z_252,0.0014149819035083055
3,B,persist,kospi_return_1d,-0.0011930512264370918
3,B,persist,fx_level_z_252,0.0005347842816263437
3,B,underwater,kospi_return_1d,0.0013682434801012278
3,B,underwater,fx_level_z_252,0.00125969504006207
3,alpha,,kospi_return_1d,-0.0014750603586435318
3,alpha,,fx_level_z_252,-0.0013661140110343695
4,beta,momentum,,0.0002234305429738015
4,beta,persist,,0.001981134759262204
4,beta,underwater,,0.00011378781346138567
4,B,momentum,kospi_return_1d,-8.80600418895483e-06
4,B,momentum,fx_level_z_252,0.0018574324203655124
4,B,persist,kospi_return_1d,-0.001419523381628096
4,B,persist,fx_level_z_252,0.00035067505086772144
4,B,underwater,kospi_return_1d,0.0017694890266284347
4,B,underwater,fx_level_z_252,0.001552145229652524
4,alpha,,kospi_return_1d,-0.0019597916398197412
4,alpha,,fx_level_z_252,-0.00175080809276551
5,beta,momentum,,9.605298691894859e-05
5,beta,persist,,0.0024723608512431383
5,beta,underwater,,0.0001301929005421698
5,B,momentum,kospi_return_1d,0.00031459316960535944
5,B,momentum,fx_level_z_252,0.0022905326914042234
5,B,persist,kospi_return_1d,-0.0015742459800094366
5,B,persist,fx_level_z_252,0.00010742725862655789
5,B,underwater,kospi_return_1d,0.002156562637537718
5,B,underwater,fx_level_z_252,0.0017797851469367743
5,alpha,,kospi_return_1d,-0.0024424258153885603
5,alpha,,fx_level_z_252,-0.002099978271871805
6,beta,momentum,,-0.00012368550233077258
6,beta,persist,,0.002962251426652074
6,beta,underwater,,1.7014972399920225e-06
6,B,momentum,kospi_return_1d,0.00034284702269360423
6,B,momentum,fx_level_z_252,0.002712393179535866
6,B,persist,kospi_return_1d,-0.0016652788035571575
6,B,persist,fx_level_z_252,-0.0001670392375672236
6,B,underwater,kospi_return_1d,0.0025238976813852787
6,B,underwater,fx_level_z_252,0.0019507883116602898
6,alpha,,kospi_return_1d,-0.002922370797023177
6,alpha,,fx_level_z_252,-0.0024095934350043535
7,beta,momentum,,-0.00021690852008759975
7,beta,persist,,0.0034506157971918583
7,beta,underwater,,-0.00020891234453301877
7,B,momentum,kospi_return_1d,0.0002235194988315925
7,B,momentum,fx_level_z_252,0.0031189429573714733
7,B,persist,kospi_return_1d,-0.0016953895101323724
7,B,persist,fx_level_z_252,-0.00010229719919152558
7,B,underwater,kospi_return_1d,0.0028602913953363895
7,B,underwater,fx_level_z_252,0.0020771650597453117
7,alpha,,kospi_return_1d,-0.0033992351964116096
7,alpha,,fx_level_z_252,-0.0026756313163787127
8,beta,momentum,,-0.00020882759417872876
8,beta,persist,,0.003937129396945238
8,beta,underwater,,-0.0002809280122164637
8,B,momentum,kospi_return_1d,1.7577578546479344e-05
8,B,momentum,fx_level_z_252,0.0035057005006819963
8,B,persist,kospi_return_1d,-0.001665032235905528
8,B,persist,fx_level_z_252,9.658541239332408e-05
8,B,underwater,kospi_return_1d,0.003151009092107415
8,B,underwater,fx_level_z_252,0.0021749786101281643
8,alpha,,kospi_return_1d,-0.0038729857187718153
8,alpha,,fx_level_z_252,-0.0028931580018252134
9,beta,momentum,,-0.00012030483776470646
9,beta,persist,,0.004421471618115902
9,beta,underwater,,-0.00024192623095586896
9,B,momentum,kospi_return_1d,-0.00024283173843286932
9,B,momentum,fx_level_z_252,0.003867578925564885
9,B,persist,kospi_return_1d,-0.001577382325194776
9,B,persist,fx_level_z_252,0.00023774930741637945
9,B,underwater,kospi_return_1d,0.0033874083310365677
9,B,underwater,fx_level_z_252,0.002254379913210869
9,alpha,,kospi_return_1d,-0.004343532491475344
9,alpha,,fx_level_z_252,-0.003058557165786624
