epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.108571,0.329502,0.018751,0.108665
2,0.10682,0.326833,0.035773,0.106999
3,0.105177,0.324309,0.053197,0.105443
4,0.10381,0.322196,0.070047,0.10416
5,0.102537,0.320215,0.085175,0.102963
6,0.10143,0.31848,0.099671,0.101928
7,0.100424,0.316897,0.112917,0.100988
8,0.09952,0.315468,0.12539,0.100147
9,0.098821,0.314358,0.136936,0.099506
10,0.09825,0.313448,0.146901,0.098984
11,0.097643,0.312478,0.155861,0.098422
12,0.09715,0.311688,0.16361,0.097968
13,0.096714,0.310988,0.170269,0.097565
14,0.09632,0.310355,0.175667,0.097199
15,0.095945,0.309749,0.179894,0.096844
16,0.095612,0.309212,0.183384,0.096529
17,0.095327,0.308751,0.186249,0.096258
18,0.095088,0.308363,0.188891,0.096032
19,0.094808,0.30791,0.190701,0.095762
20,0.094544,0.30748,0.192503,0.095507
21,0.09432,0.307116,0.194355,0.095292
22,0.094101,0.306758,0.196163,0.095081
23,0.093906,0.306441,0.197831,0.094895
24,0.093706,0.306114,0.199926,0.094705
25,0.093549,0.305858,0.203697,0.094568
26,0.093371,0.305567,0.206883,0.094406
27,0.093225,0.305328,0.210125,0.094276
28,0.093088,0.305104,0.213881,0.094158
29,0.092957,0.304889,0.217463,0.094045
30,0.092849,0.304712,0.220555,0.093952
31,0.092738,0.304529,0.223022,0.093853
32,0.092626,0.304346,0.225266,0.093753
33,0.092528,0.304185,0.227081,0.093664
34,0.092452,0.304058,0.228647,0.093595
35,0.092367,0.30392,0.230276,0.093519
36,0.092272,0.303763,0.23196,0.093432
37,0.092201,0.303645,0.233616,0.093369
38,0.092125,0.303522,0.235034,0.093301
39,0.092049,0.303395,0.237142,0.093234
40,0.091987,0.303293,0.23925,0.093183
41,0.091909,0.303165,0.240996,0.093114
42,0.091838,0.303047,0.242926,0.093052
43,0.091785,0.30296,0.24491,0.093009
44,0.091719,0.302852,0.246816,0.092953
45,0.091665,0.302762,0.248595,0.092908
46,0.091619,0.302687,0.250426,0.092872
47,0.09158,0.302622,0.251842,0.092839
48,0.091525,0.302531,0.253168,0.092791
49,0.09148,0.302456,0.254422,0.092752
50,0.091441,0.302392,0.25621,0.092722
51,0.091395,0.302316,0.257545,0.092683
52,0.091366,0.302268,0.258659,0.09266
53,0.09132,0.302191,0.258991,0.092615
