epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.014933,0.122201,0.0055,0.014961
2,0.014864,0.121918,0.009253,0.01491
3,0.014805,0.121674,0.012855,0.014869
4,0.014751,0.121455,0.016102,0.014832
5,0.014703,0.121254,0.01901,0.014798
6,0.014658,0.12107,0.021716,0.014767
7,0.014617,0.120899,0.024615,0.01474
8,0.014578,0.120741,0.027202,0.014714
9,0.014544,0.120597,0.029361,0.014691
10,0.014512,0.120465,0.031257,0.014668
11,0.014483,0.120344,0.033313,0.014649
12,0.014456,0.120233,0.035386,0.014633
13,0.014431,0.12013,0.037061,0.014616
14,0.014409,0.120036,0.038507,0.014601
15,0.014389,0.119953,0.039957,0.014588
16,0.014371,0.119878,0.041129,0.014576
17,0.014354,0.119809,0.041993,0.014564
18,0.014339,0.119745,0.042666,0.014552
19,0.014325,0.119685,0.043414,0.014542
20,0.014311,0.119629,0.044055,0.014531
21,0.014299,0.119577,0.044835,0.014523
22,0.014287,0.119529,0.045327,0.014514
23,0.014276,0.119484,0.045557,0.014504
24,0.014266,0.119441,0.045668,0.014495
25,0.014256,0.1194,0.045942,0.014486
26,0.014247,0.119361,0.046141,0.014478
27,0.014238,0.119323,0.046345,0.01447
28,0.01423,0.119289,0.046659,0.014463
29,0.014222,0.119257,0.046831,0.014456
30,0.014215,0.119227,0.046886,0.014449
31,0.014209,0.1192,0.046922,0.014443
32,0.014203,0.119176,0.047062,0.014438
33,0.014198,0.119154,0.047053,0.014433
34,0.014193,0.119133,0.047162,0.014428
35,0.014188,0.119113,0.047277,0.014424
36,0.014184,0.119095,0.047345,0.01442
37,0.01418,0.119079,0.04738,0.014417
38,0.014176,0.119064,0.047512,0.014414
39,0.014173,0.11905,0.047815,0.014412
40,0.01417,0.119036,0.048011,0.01441
41,0.014166,0.119019,0.048279,0.014407
42,0.014162,0.119003,0.048758,0.014405
43,0.014158,0.118986,0.049229,0.014404
44,0.014154,0.11897,0.049685,0.014402
45,0.01415,0.118955,0.050128,0.014401
46,0.014147,0.118939,0.050557,0.014399
47,0.014143,0.118924,0.050967,0.014398
48,0.014139,0.118909,0.051356,0.014396
49,0.014136,0.118894,0.051961,0.014396
50,0.014132,0.118879,0.052568,0.014395
51,0.014129,0.118864,0.053058,0.014394
52,0.014125,0.11885,0.053438,0.014393
53,0.014122,0.118838,0.053956,0.014392
54,0.01412,0.118826,0.054414,0.014392
55,0.014117,0.118816,0.054778,0.014391
56,0.014115,0.118807,0.055119,0.014391
57,0.014113,0.1188,0.055348,0.01439
58,0.014111,0.118791,0.05554,0.014389
59,0.01411,0.118784,0.055897,0.014389
60,0.014109,0.118779,0.056125,0.014389
61,0.014108,0.118776,0.056215,0.014389
62,0.014107,0.118773,0.056187,0.014388
63,0.014107,0.118772,0.056069,0.014387
64,0.014107,0.118771,0.056131,0.014387
65,0.014107,0.118771,0.056257,0.014388
66,0.014107,0.118771,0.056354,0.014388
67,0.014106,0.118769,0.056448,0.014388
68,0.014105,0.118766,0.056489,0.014388
69,0.014105,0.118764,0.056471,0.014387
70,0.014105,0.118763,0.056508,0.014387
71,0.014104,0.118762,0.056579,0.014387
72,0.014104,0.118762,0.056544,0.014387
73,0.014105,0.118762,0.056424,0.014387
74,0.014105,0.118763,0.056455,0.014387
75,0.014105,0.118763,0.056509,0.014387
