epoch,train_mse,train_rmse,l1_penalty,total_loss
1,0.068083,0.260927,0.020569,0.068186
2,0.065907,0.256723,0.041551,0.066114
3,0.064352,0.253677,0.058911,0.064646
4,0.06314,0.251277,0.075028,0.063515
5,0.061983,0.248963,0.089812,0.062432
6,0.061068,0.247119,0.104628,0.061591
7,0.060238,0.245434,0.120553,0.060841
8,0.059452,0.243828,0.131022,0.060107
9,0.058902,0.242697,0.137516,0.05959
10,0.058586,0.242045,0.142227,0.059297
11,0.058259,0.241369,0.146031,0.058989
12,0.057943,0.240713,0.150247,0.058694
13,0.057653,0.24011,0.155803,0.058432
14,0.057285,0.239342,0.160199,0.058086
15,0.057017,0.238782,0.159119,0.057812
16,0.056871,0.238477,0.155353,0.057648
17,0.056719,0.238159,0.152759,0.057483
18,0.056664,0.238043,0.15246,0.057427
19,0.056543,0.237787,0.154331,0.057314
20,0.056428,0.237545,0.156313,0.057209
21,0.056324,0.237327,0.158817,0.057118
22,0.05622,0.237109,0.161676,0.057029
23,0.056081,0.236815,0.164334,0.056903
24,0.055935,0.236505,0.163787,0.056753
25,0.05585,0.236325,0.163584,0.056668
26,0.055763,0.236141,0.165204,0.056589
27,0.055682,0.235971,0.166789,0.056516
28,0.055589,0.235772,0.170101,0.056439
29,0.055493,0.235568,0.171401,0.05635
30,0.055421,0.235416,0.171151,0.056276
31,0.05533,0.235224,0.170013,0.056181
32,0.055203,0.234953,0.171082,0.056058
33,0.05515,0.234839,0.173473,0.056017
34,0.055102,0.234739,0.174537,0.055975
35,0.055046,0.23462,0.17894,0.055941
36,0.055002,0.234525,0.183425,0.055919
37,0.055026,0.234577,0.186762,0.05596
38,0.055113,0.234762,0.189046,0.056059
39,0.055067,0.234664,0.192334,0.056029
40,0.054942,0.234397,0.195358,0.055919
41,0.054852,0.234205,0.19823,0.055843
42,0.054754,0.233996,0.203119,0.05577
43,0.054679,0.233835,0.206228,0.05571
44,0.054601,0.233668,0.206462,0.055633
45,0.054688,0.233854,0.206451,0.05572
46,0.054712,0.233907,0.206495,0.055745
47,0.054789,0.23407,0.206584,0.055822
48,0.054823,0.234142,0.205847,0.055852
49,0.054811,0.234117,0.207175,0.055847
50,0.054821,0.234138,0.207083,0.055856
51,0.054782,0.234056,0.206077,0.055812
52,0.054711,0.233903,0.204889,0.055735
53,0.054632,0.233734,0.205112,0.055657
54,0.054594,0.233653,0.205535,0.055621
55,0.054558,0.233576,0.206528,0.05559
56,0.054534,0.233525,0.207052,0.055569
57,0.054473,0.233395,0.206524,0.055506
58,0.054459,0.233364,0.206282,0.05549
