date,close,high,low,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,foreign_buy_value,foreign_sell_value,foreign_buy_volume,foreign_sell_volume,institution_buy_value,institution_sell_value,institution_buy_volume,institution_sell_volume,retail_buy_value,retail_sell_value,retail_buy_volume,retail_sell_volume,usdkrw,kospi200_return,vkospi
2019-01-02,38750,39400,38550,0.0012919896640826,304682623050,49974911900,-21202169650,-27920967150,112514776350,62539864450,2891113,1607308,127975502900,149177672550,3302583,3847780,63960435300,91881402450,1647986,2364566,1113.800048828125,-0.0143140697763187,19.74
2019-01-03,37600,38550,37450,-0.0296774193548386,472966535350,9790670700,-70201495350,61513822150,148996844650,139206173950,3931426,3670607,161417636450,231619131800,4256279,6107514,160609360850,99095538700,4232566,2612868,1122.180053710938,-0.009526391201642,19.25
2019-01-04,37450,37600,36850,-0.0039893617021277,525403005097,-56379046500,33233455800,20023391050,190907621147,247286667647,5120455,6638796,205752875850,172519420050,5528599,4632695,124172662050,104149271000,3337654,2798522,1124.119995117188,0.0082886968760995,17.96
2019-01-07,38750,38900,37800,0.034712950600801,490833164150,66372420800,-10692786600,-55408485400,241007301400,174634880600,6253620,4534644,142934807000,153627593600,3715768,3986021,105149932900,160558418300,2733983,4175872,1114.400024414062,0.0142696498507115,16.67
2019-01-08,38100,39200,37950,-0.016774193548387,491578269750,-48549024550,51887332200,-5187798250,165513123900,214062148450,4306208,5563896,210047486000,158160153800,5438783,4104520,113598352400,118786150650,2949049,3073334,1116.400024414062,-0.0073402913178117,16.13
2019-01-09,39600,39600,38300,0.0393700787401574,683003582870,116048613400,591754500,-117302211350,391151543970,275102930570,9983805,7044189,216443187650,215851433150,5540119,5504478,73792525200,191094736550,1887398,4879777,1121.050048828125,0.0229154631234356,15.45
2019-01-10,39800,40150,39600,0.0050505050505049,587063456542,145570802400,-101746681450,-42148438600,318323217042,172752414642,7986290,4333326,206682250500,308428931950,5188147,7743055,61856279100,104004717700,1552197,2608254,1118.670043945312,-0.0001882530120482,15.01
2019-01-11,40500,40550,39950,0.0175879396984923,470286278900,95693829850,-25121724550,-96357059450,225893509000,130199679150,5601308,3227203,165651015150,190772739700,4107793,4734630,49414792300,145771851750,1226570,3611083,1116.550048828125,0.0059499152701938,14.67
2019-01-14,40050,40700,39850,-0.011111111111111,481959001650,62724988150,-81559474450,13458547100,245673286400,182948298250,6107841,4554661,142382062100,223941536550,3542286,5565902,87765701900,74307154800,2182319,1845497,1118.599975585938,-0.0080110807472016,14.97
2019-01-15,41100,41100,39850,0.0262172284644195,468237873750,55141486350,29812307000,-84357544350,220819782650,165678296300,5414187,4070269,190975933750,161163626750,4689903,3953823,55749093650,140106638000,1371635,3437044,1122.0,0.0186422129136949,15.06
